aminoacid	AAs	molar_percent	MW	weight_AA	mass_percent
Alanine	32	0.115523466	0.0710779	2.2744928	0.077439708
Arginine	7	0.025270758	0.1561011	1.0927077	0.037203444
Asparagine	5	0.018050542	0.1140429	0.5702145	0.019414106
Aspartic acid	9	0.032490975	0.1150269	1.0352421	0.035246912
Cysteine	5	0.018050542	0.1030092	0.515046	0.017535783
Glutamine	18	0.064981949	0.1280585	2.305053	0.078480192
Glutamic acid	18	0.064981949	0.1290425	2.322765	0.079083233
Glycine	25	0.090252708	0.0570214	1.425535	0.048535223
Histidine	11	0.039711191	0.1370589	1.5076479	0.051330923
Isoleucine	10	0.036101083	0.113084	1.13084	0.038501735
Leucine	40	0.144404332	0.113084	4.52336	0.154006942
Lysine	6	0.02166065	0.1280949	0.7685694	0.0261675
Methionine	5	0.018050542	0.1310405	0.6552025	0.022307695
Phenylalanine	12	0.0433213	0.1470684	1.7648208	0.060086894
Proline	17	0.061371841	0.0970527	1.6498959	0.056174044
Serine	23	0.083032491	0.087032	2.001736	0.068153151
Threonine	15	0.054151625	0.1010476	1.515714	0.051605549
Tryptophan	2	0.007220217	0.18607931	0.37215862	0.012670893
Tyrosine	4	0.014440433	0.1630633	0.6522532	0.02220728
Valine	13	0.046931408	0.0990684	1.2878892	0.043848793
