aminoacid	AAs	molar_percent	MW	weight_AA	mass_percent
Alanine	28	0.090032154	0.0710779	1.9901812	0.058926659
Arginine	11	0.035369775	0.1561011	1.7171121	0.05084144
Asparagine	12	0.038585209	0.1140429	1.3685148	0.040519931
Aspartic acid	14	0.045016077	0.1150269	1.6103766	0.047681142
Cysteine	5	0.01607717	0.1030092	0.515046	0.015249837
Glutamine	16	0.051446945	0.1280585	2.048936	0.060666311
Glutamic acid	18	0.057877814	0.1290425	2.322765	0.068774029
Glycine	18	0.057877814	0.0570214	1.0263852	0.030389921
Histidine	8	0.025723473	0.1370589	1.0964712	0.032465076
Isoleucine	13	0.041800643	0.113084	1.470092	0.043527499
Leucine	22	0.07073955	0.113084	2.487848	0.073661921
Lysine	16	0.051446945	0.1280949	2.0495184	0.060683555
Methionine	2	0.006430868	0.1310405	0.262081	0.007759875
Phenylalanine	13	0.041800643	0.1470684	1.9118892	0.056608535
Proline	16	0.051446945	0.0970527	1.5528432	0.045977653
Serine	38	0.122186495	0.087032	3.307216	0.097922334
Threonine	26	0.083601286	0.1010476	2.6272376	0.077789064
Tryptophan	2	0.006430868	0.18607931	0.37215862	0.011019129
Tyrosine	12	0.038585209	0.1630633	1.9567596	0.057937089
Valine	21	0.067524116	0.0990684	2.0804364	0.061598997
