genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	OE	1000	2	3.05607840155356e-08	3.14402519155946e-08	3.07447160076225e-08	1.00000972874185	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	OE	1000	2	1.76460384916335e-09	2.13184124439137e-09	1.9228680960928e-09	1.00000156044592	1	5	0	1
PAL2	P45724	PAL2	77.86	OE	1000	2	2.07563690595465e-07	2.07563680521649e-07	2.07563690595465e-07	1.0000829096085	1	3	0	1
C4H	Q84TQ4	C4H	57.937	OE	1000	2	3.86165005759004e-07	3.86164987017021e-07	3.86165005759004e-07	1.00011439967318	1	7	0	1
CHI	P28012	CHI	23.826	OE	1000	2	9.8987154978463e-13	9.8987154978463e-13	9.8987154978463e-13	1.00000100002269	1	3	0	1
CHS	Q9FUB7	CHS	42.713	OE	1000	2	1.58143764263211e-05	1.58143756587923e-05	1.58143764263211e-05	1.00343606862446	1	6	0	1
4CL2	Q9S725	4CL2	60.842	OE	1000	2	2.21401269968496e-07	2.21401259223092e-07	2.21401269968496e-07	1.00006927262976	1	6	0	1
F3’H	Q9SBQ9	F3’H	56.936	OE	1000	2	3.90708123473816e-08	3.90708104511338e-08	3.90708123473816e-08	1.00001227391013	1	7	0	1
F3H	Q06942	F3H	40.771	OE	1000	2	0.00239113371565975	0.00239113371565976	0.00239113371565975	1.97633251175884	1	6	0	1
DFR	B9GRL5	DFR	38.699	OE	1000	2	2.40607350728116e-08	2.40607339050572e-08	2.40607350728116e-08	1.00000571884574	1	5	0	1
LAR	Q4W2K4	LAR	38.019	OE	1000	2	1.02185201523921e-05	1.02185196564484e-05	1.02185201523921e-05	1.00197377976778	1	6	0	1
YDR380W	Q06408	ARO10	71.38357	OE	79.617943684948	2	6.09866803661007e-09	6.79271065929243e-09	6.7906811423855e-09	1.00000345656343	1	4	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	3.49496383388977	2	6.24340640904649e-07	6.352839969026e-07	6.31514960990505e-07	1.00008477671295	1	4	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.25217422910001	2	9.80076859126866e-07	9.82343599968721e-07	9.80158973151802e-07	1.00022323143969	1	4	0	1
YDR050C	P00942	TPI1	26.79508	OE	1.24949691076167	2	3.03362740226375e-08	3.40233017420164e-08	3.03413211630748e-08	1.00000512015199	1	2	0	1
YMR205C	P16862	PFK2	104.61673	OE	1.23820334346834	2	7.34089630369698e-07	7.37403083378068e-07	7.37310454094031e-07	1.0003919184072	1	9	0	1
YDR516C	Q04409	EMI2	55.92028	OE	1.00082609575482	2	1.85761224476385e-07	1.86184906240389e-07	1.86178e-07	1.00005376313971	1	4	0	1
YDR226W	P07170	ADK1	24.2546	deletion	0.119246085936509	0	0	6.44243298350015e-08	0	1.00001683826571	1	4	0	1
YPR035W	P32288	GLN1	41.7656	deletion	0.0377548340091255	0	0	6.51767163179193e-10	0	1.00000127581782	1	7	0	1
YLR153C	P52910	ACS2	75.49079	deletion	0.0136653869235834	0	0	2.64668336358214e-10	0	1.00000120241925	1	13	0	1
YJR130C	P47164	STR2	72.34965	deletion	0.0131263247366666	0	0	2.24662471777431e-09	0	1.00000264742256	1	11	0	1
YKL085W	P17505	MDH1	35.64959	deletion	8.57026647344093e-07	0	0	2.74156276465648e-09	0	1.00000199054418	1	5	0	1
YBR263W	P37292	SHM1	53.68589	deletion	0	0	0	2.84003907994023e-09	0	1.00000254532856	1	5	0	1
YCL040W	P17709	GLK1	55.37689	deletion	0	0	0	2.18698953272447e-09	0	1.00000222755002	1	6	0	1
YDR234W	P49367	LYS4	75.14989	deletion	0	0	0	1.31309217877209e-09	0	1.00000200010382	1	6	0	1
YDR300C	P32264	PRO1	47.16164	deletion	0	0	0	5.52461550657447e-10	0	1.00000126399473	1	4	0	1
YDR353W	P29509	TRR1	34.23767	deletion	0	0	0	1.10684755838251e-09	0	1.00000138401314	1	6	0	1
YER023W	P32263	PRO3	30.13145	deletion	0	0	0	9.16656858061583e-12	0	1.00000100270273	1	6	0	1
YER091C	P05694	MET6	85.85892	deletion	0	0	0	1.12948856066728e-09	0	1.00000198285181	1	7	0	1
YER152C	P10356	YER152C	49.48976	deletion	0	0	0	1.97486383053919e-09	0	1.00000199054365	1	6	0	1
YGL009C	P07264	LEU1	85.79356	deletion	0	0	0	1.1497153887853e-09	0	1.00000199969274	1	4	0	1
YJL088W	P05150	ARG3	37.84479	deletion	0	0	0	1.68423803350969e-11	0	1.00000100636377	1	5	0	1
YJR139C	P31116	HOM6	38.50163	deletion	0	0	0	4.4661646002568e-10	0	1.00000117429301	1	7	0	1
YLR043C	P22217	TRX1	11.23485	deletion	0	0	0	1.07845770046559e-09	0	1.00000112271323	1	23	0	1
YLR174W	P41939	IDP2	46.56172	deletion	0	0	0	2.09905600308388e-09	0	1.00000199054488	1	5	0	1
YLR304C	P19414	ACO1	85.36736	deletion	0	0	0	1.1449999591718e-09	0	1.00000199064589	1	8	0	1
YLR355C	P06168	ILV5	44.36792	deletion	0	0	0	1.95383869381153e-09	0	1.00000187856416	1	7	0	1
YMR062C	Q04728	ARG7	47.84821	deletion	0	0	0	2.04241666942149e-09	0	1.0000019904468	1	9	0	1
YMR246W	P47912	FAA4	77.26612	deletion	0	0	0	1.35823605850299e-09	0	1.00000206362465	1	48	0	1
YNL104C	P06208	LEU4	68.40819	deletion	0	0	0	7.50994825085132e-10	0	1.00000152062839	1	13	0	1
YNR001C	P00890	CIT1	53.35945	deletion	0	0	0	1.63079887128996e-10	0	1.00000108810453	1	7	0	1
YOL064C	P32179	MET22	39.14886	deletion	0	0	0	3.43261548114971e-10	0	1.00000113611281	1	4	0	1
YOR184W	P33330	SER1	43.41501	deletion	0	0	0	2.12405513191474e-09	0	1.00000193459675	1	4	0	1
YOR317W	P30624	FAA1	77.86529	deletion	0	0	0	1.34712561146983e-09	0	1.00000206310464	1	52	0	1
YOR388C	Q08911	FDH1	41.7138	deletion	0	0	0	1.74123081820336e-09	0	1.0000017361097	1	4	0	1
YPR001W	P43635	CIT3	53.81073	deletion	0	0	0	1.62958347190177e-10	0	1.00000107942445	1	9	0	1
YPR167C	P18408	MET16	30.3799	deletion	0	0	0	1.06872335556805e-09	0	1.00000132899356	1	7	0	1
YLR446W	Q06204	YLR446W	48.96875	deletion	0	0	0	1.99843371927206e-09	0	1.00000199181332	1	20	0	1
YJL200C	P39533	ACO2	86.58224	deletion	0	0	0	1.13971169549857e-09	0	1.00000200010441	1	7	0	1
YHR163W	P38858	SOL3	27.78417	OE	1000	2	0	1.3490042594132e-07	1.21679231192499e-07	1.00006907664275	0	5	2	2
YHR183W	P38720	GND1	53.54274	OE	1000	2	0	3.70605384304091e-08	3.34283438512075e-08	1.00001007076815	0	6	3	2
YOL086C	P00330	ADH1	36.84874	OE	1000	2	4.85525118291017e-07	4.94085868703486e-07	4.92978731186214e-07	1.00009317699429	0	21	1	2
YAL038W	P00549	CDC19	54.54404	OE	3.49496383388977	2	2.11585522225384e-06	2.26771808690292e-06	2.26746722492226e-06	1.00062778920697	0	6	5	2
YGR254W	P00924	ENO1	46.81564	OE	3.49496383388977	2	2.08847282050668e-06	2.28926920368734e-06	2.28718153171697e-06	1.00054365614625	0	5	4	2
YJL052W	P00360	TDH1	35.74956	OE	1.25217422910001	2	1.81359771180912e-05	1.81424340988622e-05	1.81396999236686e-05	1.00328750915935	0	8	6	2
YLL052C		AQY2	NaN	deletion	0.100506353805668	0	NaN	NaN	NaN	1.00000099990317	0	2	8	2
YMR189W	P49095	GCV2	114.45033	deletion	0.0549000000000295	0	0	1.144458736878e-10	0	1.0000011314654	0	18	9	2
YOR222W		ODC2	NaN	deletion	0.0483075769115982	0	NaN	NaN	NaN	1.00000099990317	0	6	10	2
YPL134C		ODC1	NaN	deletion	0.0483075769115982	0	NaN	NaN	NaN	1.00000099990317	0	6	10	2
YER053C		PIC2	NaN	deletion	0.0214636131087245	0	NaN	NaN	NaN	1.00000099990317	0	4	12	2
YGL080W		MPC1	NaN	deletion	0.00326750739950804	0	NaN	NaN	NaN	1.00000099990316	0	4	13	2
YGR243W		MPC3	NaN	deletion	0.00326750739950804	0	NaN	NaN	NaN	1.00000099990317	0	4	13	2
YHR162W		MPC2	NaN	deletion	0.00326750739950804	0	NaN	NaN	NaN	1.00000099990317	0	4	13	2
YAL062W	P39708	GDH3	49.62653	deletion	0	0	0	1.65072849333928e-09	0	1.00000183023775	0	8	14	2
YBR218C	P32327	PYC2	130.16549	deletion	0	0	0	2.47722351948677e-10	0	1.0000013267352	0	8	16	2
YDR384C		ATO3	NaN	deletion	0	0	NaN	NaN	NaN	1.00000099990317	0	2	17	2
YER070W	P21524	RNR1	99.56021	deletion	0	0	0	9.95727178814721e-10	0	1.00000200472656	0	24	18	2
YFR053C	P04806	HXK1	53.73784	deletion	0	0	0	2.26967853389282e-09	0	1.00000223615835	0	12	20	2
YGL062W	P11154	PYC1	130.09827	deletion	0	0	0	2.47736135030304e-10	0	1.0000013265846	0	8	16	2
YGL184C	P53101	STR3	51.82796	deletion	0	0	0	1.61974377279733e-09	0	1.00000185079431	0	6	22	2
YGL253W	P04807	HXK2	53.9419	deletion	0	0	0	2.0053465252858e-09	0	1.00000209632895	0	12	20	2
