genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	OE	1000	2	7.64557278900329e-08	7.73401044389838e-08	7.66378651681606e-08	1.00002275852478	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	OE	1000	2	1.76456201509538e-09	2.1317732243982e-09	1.92286809609241e-09	1.00000156024622	1	5	0	1
CYP76AD1	I3PFJ5	CYP76AD1	56.212	OE	1000	2	0.00059202147024536	0.000592021470245361	0.00059202147024536	1.20287176553876	1	3	0	1
DODC	Q88JU5	DODC	51.444	OE	1000	2	1.82722676001654e-07	1.82722676001655e-07	1.82722676001654e-07	1.00004864082124	1	4	0	1
NCS	B6E2Z2	NCS	26.001	OE	1000	2	5.67070373798237e-08	5.67070373798239e-08	5.67070373798237e-08	1.00000847217599	1	4	0	1
6OMT	Q6WUC1	6OMT	38.511	OE	1000	2	4.11126021003722e-06	4.11126021003723e-06	4.11126021003722e-06	1.00080404946558	1	4	0	1
CNMT	Q7XB08	CNMT	41.032	OE	1000	2	4.11126021003722e-06	4.11126021003723e-06	4.11126021003722e-06	1.00085666354287	1	5	0	1
CYP80B1	O64899	CYP80B1	54.644	OE	1000	2	0.00118404294049072	0.00118404294049072	0.00118404294049072	1.48787892930779	1	7	0	1
4"OMT	Q7XB11	4"OMT	39.402	OE	1000	2	4.576329717587e-06	4.57632971758701e-06	4.576329717587e-06	1.00091567448885	1	5	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	3.49307867790865	2	6.24340287389281e-07	6.35284182612455e-07	6.31514960990506e-07	1.00008477652637	1	4	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.25149743929993	2	9.80077626453327e-07	9.82343492815564e-07	9.80158973151803e-07	1.00022323127495	1	4	0	1
YDR050C	P00942	TPI1	26.79508	OE	1.24917914341529	2	3.03372601358301e-08	3.40234831564806e-08	3.03413211630748e-08	1.00000511995285	1	2	0	1
