genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YBL098W	P38169	BNA4	52.42905	2	1000	tightly_const	2	8.72050788355749e-08	8.72050818458249e-08	8.72050788355782e-08	1	7	0	1
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10047357929943e-07	2.10436514492746e-07	2.10188074822914e-07	1	4	0	1
YDR428C	Q04066	BNA7	29.99102	2	1000	tightly_const	2	1.09954645464197e-09	1.09975602716381e-09	1.09954645464197e-09	1	5	0	1
YEL041W	P32622	YEF1	55.87302	2	1000	essential	2	1.06950233275073e-08	1.25977760185818e-08	1.09954645464197e-08	0	18	2	1
YFR047C	P43619	BNA6	32.36461	2	1000	tightly_const	2	2.95044614815953e-08	2.95044638437657e-08	2.95044614815953e-08	1	12	0	1
YHR074W	P38795	QNS1	80.68505	2	1000	essential	2	2.76604445883016e-08	2.8802707747785e-08	2.76604445883016e-08	1	18	0	1
YJR025C	P47096	BNA1	20.23471	2	1000	tightly_const	2	7.08106310802708e-09	7.08106118487483e-09	7.08106310802708e-09	1	4	0	1
YJR078W	P47125	BNA2	50.77489	2	1000	tightly_const	2	1.47521988759818e-08	1.47706429264705e-08	1.47521988759818e-08	1	3	0	1
YLR231C	Q05979	BNA5	51.03155	2	1000	essential	2	5.05790859298229e-08	5.15769634830309e-08	5.05790859298251e-08	1	7	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72283814836428e-08	2.72800453438481e-08	2.72466152002226e-08	1	6	0	1
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.17597511734348e-11	4.41340328442366e-09	1.5728024228112e-10	1	16	0	1
D12D	Q9Y8H5	D12D	46.001	2	1000	tightly_const	2	0.000318648158509368	0.000318648542991149	0.000318648158509368	1	7	0	1
FAD3	D5KSD6	FAD3	47.718	2	1000	tightly_const	2	0.000318648158509368	0.000318648490266699	0.000318648158509368	1	7	0	1
D6D	A0A1Y5I9G7	D6D	51.674	2	1000	tightly_const	2	0.000318648158509368	0.000318648542991149	0.000318648158509368	1	9	0	1
D6E	D5KSD4	D6E	36.746	2	1000	tightly_const	2	0.000318648158509368	0.000318648542991149	0.000318648158509368	1	11	0	1
D5D	HQ678517	D5D	59.89	2	1000	tightly_const	2	0.000318648158509368	0.000318648542991149	0.000318648158509368	1	9	0	1
YLR044C	P06169	PDC1	61.49468	2	12.10272352441	tightly_const	2	9.35433302931212e-07	9.42142590582232e-07	9.37147754908745e-07	0	17	3	1
YAL038W	P00549	CDC19	54.54404	2	2.44996472612009	essential	2	1.90168837071446e-06	2.04649403203142e-06	2.04599036974975e-06	0	6	4	1
YOR283W	Q12040	YOR283W	26.17622	2	2.29530616176331	essential	2	5.72796201740047e-07	5.83222471645295e-07	5.79581469279555e-07	1	4	0	1
YGR254W	P00924	ENO1	46.81564	2	2.29530616176331	essential	2	1.909928125523e-06	2.10124384244225e-06	2.09909204776784e-06	0	5	5	1
