genes	enzymes	shortNames	MWs	actions	k_scores
YAL054C	Q01574	ACS1	79.13997	1	1000
YBR208C	P32528	DUR1,2	201.82994	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YEL047C	P32614	FRD1	50.84351	1	1000
YER037W	P40025	PHM8	37.7185	1	1000
YER056C		FCY2	NaN	1	1000
YER060W		FCY21	NaN	1	1000
YER060W-A		FCY22	NaN	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YER073W	P40047	ALD5	56.69214	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YGL186C		TPN1	NaN	1	1000
YHR037W	P07275	PUT2	64.43444	1	1000
YIL099W	P08019	SGA1	61.46231	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YLR089C	P52893	ALT1	66.42089	1	1000
YLR138W		NHA1	NaN	1	1000
YLR142W	P09368	PUT1	53.27087	1	1000
YLR153C	P52910	ACS2	75.49079	1	1000
YLR209C	Q05788	PNP1	33.7546	1	1000
YLR438W	P07991	CAR2	46.08557	1	1000
YMR170C	P47771	ALD2	55.18718	1	1000
YMR278W	Q03262	PRM15	71.06819	1	1000
YOR374W	P46367	ALD4	56.72295	1	1000
YPL111W	P00812	CAR1	35.66162	1	1000
YMR110C	Q04458	HFD1	59.97826	1	1000
YBR241C		YBR241C	NaN	1	1000
YGL104C		VPS73	NaN	1	1000
YDR456W		NHX1	NaN	1	1000
YDR038C	Q12691	ENA5	120.29497	1	1000
YDR039C	Q01896	ENA2	120.31602	1	1000
YDR040C	P13587	ENA1	120.35609	1	1000
LDHA	P19858	LDHA	36.598	1	1000
YPR021C		AGC1	NaN	1	501.414649135916
YKL127W	P33401	PGM1	63.11105	1	501.089791210986
YMR105C	P37012	PGM2	63.08769	1	401.364733889135
YBR296C		PHO89	NaN	1	38.8777078356482
YCR037C		PHO87	NaN	1	38.8777078356482
YJL198W		PHO90	NaN	1	38.8777078356482
YML123C		PHO84	NaN	1	38.8777078356482
YNR013C		PHO91	NaN	1	38.8777078356482
YJR051W	P21375	OSM1	55.06455	1	9.59634258998839
YFR015C	P23337	GSY1	80.50931	1	8.55606328234584
YJL137C	P47011	GLG2	44.54552	1	8.55606328234584
YKR058W	P36143	GLG1	69.72308	1	8.55606328234584
YLR258W	P27472	GSY2	80.07802	1	8.55606328234584
YHR216W	P38697	IMD2	56.52936	1	8.41472479228258
YLR432W	P50095	IMD3	56.58423	1	8.41472479228258
YML056C	P50094	IMD4	56.39328	1	8.41472479228258
YMR217W	P38625	GUA1	58.48154	1	8.41472479228258
YJR095W		SFC1	NaN	1	6.90322194400927
YPL262W	P08417	FUM1	53.15125	1	5.7457337269268
