genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR145W	P38113	ADH5	37.64764	1	1000
YBR252W	P33317	DUT1	15.30716	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YOL086C	P00330	ADH1	36.84874	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YJR069C	P47119	HAM1	22.09268	1	1000
YDR452W	Q04119	PPN1	78.34335	1	1000
TAL	A5FKY3	TAL	56.649	1	1000
YBR166C	P20049	TYR1	50.92272	1	12.8396717519909
YGR087C	P26263	PDC6	61.57964	1	11.6301082657661
YLR044C	P06169	PDC1	61.49468	1	11.6301082657661
YPR060C	P32178	ARO7	29.7468	1	5.63842332614504
YDR127W	P08566	ARO1	174.75305	1	5.04895202030845
YGL148W	P28777	ARO2	40.83793	1	5.04895202030845
aroL	P0A6E1	aroL	19.151	1	5.04895202030845
YGR254W	P00924	ENO1	46.81564	1	2.14042863525291
YHR174W	P00925	ENO2	46.91368	1	2.14042863525291
YKL152C	P00950	GPM1	27.60828	1	2.14042863525291
YMR323W	P42222	ERR3	47.31216	1	2.14042863525291
YOR393W	P0CX10	ERR1	47.32712	1	2.14042863525291
YPL281C	P0CX11	ERR2	47.32712	1	2.14042863525291
YOR283W	Q12040	YOR283W	26.17622	1	2.14042863525291
YOR347C	P52489	PYK2	55.19478	1	1.91298980966967
YAL038W	P00549	CDC19	54.54404	1	1.91298980966967
YOR095C	Q12189	RKI1	28.25777	1	1.45951531241709
YDR050C	P00942	TPI1	26.79508	1	1.18666990011176
YGR240C	P16861	PFK1	107.96906	1	1.17904323687857
YKL060C	P14540	FBA1	39.62024	1	1.17904323687857
YMR205C	P16862	PFK2	104.61673	1	1.17904323687857
YJL052W	P00360	TDH1	35.74956	1	1.13674739053985
YCR012W	P00560	PGK1	44.73787	1	1.13674739053985
YGR192C	P00359	TDH3	35.74626	1	1.13674739053985
YJR009C	P00358	TDH2	35.84645	1	1.13674739053985
YBR196C	P12709	PGI1	61.29832	1	1.12990258614624
YLR354C	P15019	TAL1	37.0359	1	1.11630211050049
YGR043C	P53228	NQM1	37.25314	1	1.11630211050049
