genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10039463499628e-07	2.1031712295967e-07	2.10188074822914e-07
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72363387091041e-08	2.72775793009181e-08	2.72466152002226e-08
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.67112515184272e-11	4.25789769406784e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000	opt_isoenz	2	0	1.13456698220535e-09	1.59461388661699e-12
TAL	A5FKY3	TAL	56.649		2	1000	tightly_const	2	0.00153769730673003	0.00153769730673311	0.00153769730673003
YBR166C	P20049	TYR1	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	12.4885356054875	tightly_const	2	1.40174839944613e-06	1.40179682358433e-06	1.40174839944613e-06
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	2	7.69402097204108	tightly_const	2	1.53368016182327e-06	1.53654385547348e-06	1.53482245494695e-06
YPR060C	P32178	ARO7	29.7468	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.566907834572	tightly_const	2	1.07571834937253e-07	1.07576048337369e-07	1.07572520484917e-07
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.00032538672984	tightly_const	2	1.83092230159636e-06	1.83155027445832e-06	1.83092230159636e-06
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	5.00032538672984	tightly_const	2	4.51161229294165e-05	4.51176446620229e-05	4.51161229294165e-05
aroL	P0A6E1	aroL	19.151		2	5.00032538672984	tightly_const	2	1.2285314235737e-06	1.22977499036576e-06	1.22973349498472e-06
YGR254W	P00924	ENO1	46.81564	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	2	2.07723282534874	essential	2	1.75280401783703e-06	1.93712822983033e-06	1.93523194995419e-06
YOR283W	Q12040	YOR283W	26.17622	sce00NNN  None	2	2.07723282534874	essential	2	5.27749499045317e-07	5.37797434439095e-07	5.34337966809944e-07
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.84865472876287	essential	2	1.44097637631593e-06	1.58021748472282e-06	1.58017998897605e-06
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.16214775148807	essential	2	2.72049660959788e-08	3.05873092978455e-08	2.72077467477274e-08
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.15061160175224	tightly_const	2	3.79187814341148e-07	3.80746209977766e-07	3.79297956435923e-07
YLR354C	P15019	TAL1	37.0359	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.11060088499489	tightly_const	2	2.99331291205439e-06	2.99734196267868e-06	2.99494495112927e-06
YCR012W	P00560	PGK1	44.73787	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.10520405522953	tightly_const	2	8.29286090766529e-07	8.31357068622382e-07	8.29332929884982e-07
YJL052W	P00360	TDH1	35.74956	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.10520405522953	tightly_const	2	1.53449606974001e-05	1.53508613242149e-05	1.53483780662186e-05
YDR516C	Q04409	EMI2	55.92028	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.00066794389395	tightly_const	2	1.85810031621678e-07	1.86182985027236e-07	1.85800271527242e-07
YGL125W	P53128	MET13	68.55958	sce00670  One carbon pool by folate sce01200  Carbon metabolism	0	0.29388445045431	opt_isoenz_tight	0	0	1.40947766382323e-08	1.4092433644586e-08
YPL023C	P46151	MET12	73.94088	sce00670  One carbon pool by folate sce01200  Carbon metabolism	0	0.29388445045431	subOpt_isoenz	0	0	1.40930020863998e-08	0
YER091C	P05694	MET6	85.85892	sce00270  Cysteine and methionine metabolism sce00450  Selenocompound metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	0	0.293884450454309	tightly_const	0	6.44205922246332e-07	6.44333226219295e-07	6.44226117841574e-07
YER043C	P39954	SAH1	49.12498	sce00270  Cysteine and methionine metabolism	0	0.293827460547136	tightly_const	0	1.9108851155787e-06	1.91164129596417e-06	1.91105956507182e-06
YJR105W	P47143	ADO1	36.37191	sce00230  Purine metabolism	0	0.293827460547136	tightly_const	0	5.90893119287074e-08	5.96196944979319e-08	5.92051978551671e-08
YDR502C	P19358	SAM2	42.2555	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	0	0.293827460547136	subOpt_isoenz	0	0	2.14337285459006e-09	0
YLR180W	P10659	SAM1	41.81793	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	0	0.293827460547136	tightly_const	0	2.58937778792613e-06	2.59039337346854e-06	2.58960509176977e-06
YBL030C		PET9	NaN		0	0.293255801125883		0	NaN	NaN	NaN
YBR085W		AAC3	NaN		0	0.293255801125883		0	NaN	NaN	NaN
YMR056C		AAC1	NaN		0	0.293255801125883		0	NaN	NaN	NaN
Q0080	P00856	ATP8	5.82221	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
Q0085	P00854	ATP6	29.09876	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
Q0130	P61829	OLI1	7.75937	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32049881975384e-05	7.32112410380644e-05	7.32072891040771e-05
YBL099W	P07251	ATP1	58.60746	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	2.25249775401948e-06	2.2533057427079e-06	2.2525375677342e-06
YBR039W	P38077	ATP3	34.35021	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YDL004W	Q12165	ATP16	17.02022	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YDR298C	P09457	ATP5	22.81414	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YDR322C-A	P81449	TIM11	10.87534	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YDR377W	Q06405	ATP17	11.312	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YJR121W	P00830	ATP2	54.7932	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	2.25249775401948e-06	2.2533057427079e-06	2.2525375677342e-06
YKL016C	P30902	ATP7	19.80938	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YML081C-A	P81450	ATP18	6.68769	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YPL078C	P05626	ATP4	26.92481	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YPL271W	P21306	ATP15	6.7425	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YPR020W	Q12233	ATP20	12.92094	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YOL077W-A	P81451	ATP19	7.53367	sce00190  Oxidative phosphorylation	0	0.291350271731893	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
YLR295C	Q12349	ATP14	14.12765	sce00190  Oxidative phosphorylation	0	0.291350271731885	tightly_const	0	7.32060829540581e-06	7.3211090732804e-06	7.32072891040771e-06
