genes	enzymes	shortNames	MWs	actions	k_scores
YHR190W	P29704	ERG9	51.71933	1	28.8719987893862
YML075C	P12683	HMG1	115.62448	1	28.8715755472466
YMR208W	P07277	ERG12	48.45901	1	28.8715755472466
YMR220W	P24521	ERG8	50.45437	1	28.8715755472466
YNR043W	P32377	MVD1	44.11544	1	28.8715755472466
YLR450W	P12684	HMG2	115.69085	1	28.8715755472466
YJL167W	P08524	ERG20	40.48289	1	28.8715755472466
YPL117C	P15496	IDI1	33.35113	1	28.8715755472466
YHR002W		LEU5	NaN	1	28.8658561928846
YCL040W	P17709	GLK1	55.37689	1	23.0408590368589
YGL253W	P04807	HXK2	53.9419	1	23.0408590368589
YLR446W	Q06204	YLR446W	48.96875	1	23.0408590368589
YFR053C	P04806	HXK1	53.73784	1	23.0408590368589
YBR221C	P32473	PDB1	40.0532	1	6.95271081901432
YER178W	P16387	PDA1	46.34261	1	6.95271081901432
YGR193C	P16451	PDX1	45.36125	1	6.95271081901432
YNL071W	P12695	LAT1	51.81762	1	6.95271081901432
YGL080W		MPC1	NaN	1	4.7477808234849
YGR243W		MPC3	NaN	1	4.7477808234849
YHR162W		MPC2	NaN	1	4.7477808234849
YAL038W	P00549	CDC19	54.54404	1	2.35569345798709
YOR347C	P52489	PYK2	55.19478	1	2.35569345798709
YGR254W	P00924	ENO1	46.81564	1	2.20576031069101
YHR174W	P00925	ENO2	46.91368	1	2.20576031069101
YKL152C	P00950	GPM1	27.60828	1	2.20576031069101
YMR323W	P42222	ERR3	47.31216	1	2.20576031069101
YOR393W	P0CX10	ERR1	47.32712	1	2.20576031069101
YPL281C	P0CX11	ERR2	47.32712	1	2.20576031069101
YOR283W	Q12040	YOR283W	26.17622	1	2.20576031069101
YML120C	P32340	NDI1	57.24915	1	1.59439008808955
YCR012W	P00560	PGK1	44.73787	1	1.17610069445385
YGR192C	P00359	TDH3	35.74626	1	1.17610069445385
YJL052W	P00360	TDH1	35.74956	1	1.17610069445385
YJR009C	P00358	TDH2	35.84645	1	1.17610069445385
YKL067W	P36010	YNK1	17.16647	0	0.293555026453871
YDL166C	Q12055	FAP7	22.7229	0	0.291464645128245
YDR226W	P07170	ADK1	24.2546	0	0.290619490461101
YBR029C	P38221	CDS1	51.82218	0	0.283400737251249
YPL061W	P54115	ALD6	54.41344	0	0.273665977267853
YLR153C	P52910	ACS2	75.49079	0	0.273665977267853
YOR175C	Q08548	ALE1	72.22714	0	0.273467831513108
YGR087C	P26263	PDC6	61.57964	0	0.270629037337958
YLR044C	P06169	PDC1	61.49468	0	0.270629037337958
YLR134W	P16467	PDC5	61.91138	0	0.270629037337958
YDL052C	P33333	SLC1	33.88654	0	0.255342102795661
YCR048W	P25628	ARE1	71.61215	0	0.229253162159922
YDR503C	Q04396	LPP1	31.58604	0	0.218716632954047
YNR019W	P53629	ARE2	74.022	0	0.218387469886192
YOR245C	Q08650	DGA1	47.71075	0	0.180581204829288
YDL066W	P21954	IDP1	48.18986	0	0.0294
YDR148C	P19262	KGD2	50.43011	0	0.0294
YIL125W	P20967	KGD1	114.41496	0	0.0294
YER081W	P40054	SER3	51.1927	0	0.0271320473969856
YGR208W	P42941	SER2	34.20684	0	0.0271320473969856
YIL074C	P40510	SER33	51.18777	0	0.0271320473969856
YOR184W	P33330	SER1	43.41501	0	0.0271320473969856
YAL062W	P39708	GDH3	49.62653	0	0.0257703185224031
YOR375C	P07262	GDH1	49.56931	0	0.0257703185224031
YAL044C	P39726	GCV3	18.79276	0	0.0152879888605507
YDR019C	P48015	GCV1	44.46849	0	0.0152879888605507
YMR189W	P49095	GCV2	114.45033	0	0.0152879888605507
YLR058C	P37291	SHM2	52.21793	0	0.00876098363042615
YBR263W	P37292	SHM1	53.68589	0	0.00117594963842068
YOR388C	Q08911	FDH1	41.7138	0	0.000366369231133416
