genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YEL046C	P37303	GLY1	42.81463	2	1000	2	1.14276608085738e-06	1.14284425208784e-06	1.14276608085737e-06	1.000001000001	1	4	0	1
YOR120W	P14065	GCY1	35.07875	1	1000	2	0.000125039717032757	0.0002839612078752	0.000125085234061308	1.000001000001	1	5	0	1
YDR158W	P13663	HOM2	39.54334	2	6.42480743553865	2	2.7636069831313e-07	2.76378411142839e-07	2.76360698313128e-07	1.000001000001	1	6	0	1
YER052C	P10869	HOM3	58.10913	2	6.42480743553865	2	2.3107132953803e-07	2.31086137292427e-07	2.31071329538029e-07	1.00000100000099	1	4	0	1
YJR139C	P31116	HOM6	38.50163	2	6.42480743553865	2	2.32298734879245e-06	2.32313623638588e-06	2.32298734879249e-06	1.000001000001	1	7	0	1
YCR053W	P16120	THR4	57.47349	2	6.42480743553865	2	1.28533246944487e-08	1.2857007434182e-08	1.28561834407993e-08	1.000001000001	1	6	0	1
YHR025W	P17423	THR1	38.71215	2	6.42480743553865	2	1.2853324694424e-06	1.28570073041821e-06	1.28561834407993e-06	1.000001000001	1	5	0	1
YPR035W	P32288	GLN1	41.7656	2	4.70813712354066	2	1.07131211851136e-07	1.65339042545701e-06	1.65324215370271e-06	1.000001000001	1	7	0	1
YDR050C	P00942	TPI1	26.79508	1	1.29572675750982	2	3.02520352360598e-08	0.00335582806086233	3.02523762330364e-08	1.00000099999613	1	2	0	1
YMR205C	P16862	PFK2	104.61673	2	1.28729586711972	2	4.08797699474525e-07	7.35175047827859e-07	7.35152231649295e-07	1.00000100000099	1	9	0	1
YCR012W	P00560	PGK1	44.73787	1	1.28461665422991	2	9.739566891506e-07	0.00201087914143192	9.73961824901601e-07	1.00000100000125	1	4	0	1
YBR196C	P12709	PGI1	61.29832	1	1.2628723174567	2	3.91910868348535e-07	0.0014672994327936	3.91917662784338e-07	1.0000010000008	1	2	0	1
YDR516C	Q04409	EMI2	55.92028	2	1.00040561758676	2	1.15074381202613e-08	1.8618191640429e-07	1.86129140532345e-07	1.000001000001	1	4	0	1
YNR019W	P53629	ARE2	74.022	0	0.107676212045643	0	0	0.00121475963450616	0	1.000001000001	1	84	0	1
YOR245C	Q08650	DGA1	47.71075	0	0.0852643180684648	0	0	5.68677834184131e-08	0	1.000001000001	1	122	0	1
YDL066W	P21954	IDP1	48.18986	0	0	0	0	8.34753791380127e-10	0	1.000001000001	1	5	0	1
YGR208W	P42941	SER2	34.20684	0	0	0	0	4.84517720497932e-12	0	1.000001000001	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	0	0	0	0	7.91486021049123e-12	0	1.000001000001	1	5	0	1
