genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
GgbAS1	Q9MB42	GgbAS1	87.516	OE	1000	tightly_const	2	5.92122888803764e-07	5.92122888804948e-07	5.92122888803764e-07	1	2	0	1	1.00028586810167	1.00028590187422	0
CYP716A12	Q2MJ20	CYP716A12	54.713	OE	1000	tightly_const	2	0.00164136464776403	0.00164136464776732	0.00164136464776403	1	7	0	1	1.98123866049572	1.98146829430313	0.99065583704841
YLR438W	P07991	CAR2	46.08557	KO	0	unusable	0	0	7.82096447055852e-13	0	1	4	0	1	1.00000000000028	1.00000000000027	0
YPL023C	P46151	MET12	73.94088	KD	0.293884450454309	subOpt_isoenz	0	0	1.40930418434759e-08	0	0	6	7	2	1.00000000000126	1.00000000000125	0
YDR502C	P19358	SAM2	42.2555	KD	0.293827460547136	subOpt_isoenz	0	0	2.09947814892392e-09	0	0	7	8	2	0.999999999996921	0.999999999996914	0
YMR145C	P40215	NDE1	62.77345	KD	0.212224067322972	subOpt_isoenz	0	0	8.12875266172952e-08	0	0	6	13	2	1.00000000000183	1.00000000000182	0
YER081W	P40054	SER3	51.1927	KO	0.0284390434503375	subOpt_isoenz	0	0	2.98336005949329e-08	0	0	6	20	2	0.999999999996642	0.999999999996636	0
YER070W	P21524	RNR1	99.56021	KO	0	subOpt_isoenz	0	0	9.2157077429714e-10	0	0	24	22	3	1.00000000000182	1.00000000000182	0
YGR180C	P49723	RNR4	40.05407	KO	0	subOpt_isoenz	0	0	2.30029817305669e-09	0	0	24	22	3	0.999999999998603	0.999999999998597	0
YIL066C	P21672	RNR3	97.51369	KO	0	subOpt_isoenz	0	0	9.24191231673048e-10	0	0	24	22	3	1.00000000000195	1.00000000000195	0
