genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	3.38853001482914e-07	3.38251948060902e-07	1.000001
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00153478293997013	6.72736422096e-12	1.000001
YCL064C	P25379	CHA1	39.30093	2	1000	2	0	1.04800852021314e-05	1.03009552921539e-05	1.000001
YEL046C	P37303	GLY1	42.81463	2	1000	2	2.13490898891524e-06	2.13506988317424e-06	2.13490898891521e-06	1.000001
YER024W	P40017	YAT2	103.33286	1	1000	2	0	8.99956841071492e-07	0	1.000001
YER073W	P40047	ALD5	56.69214	2	1000	2	0	2.75663574509287e-06	2.75546512477107e-06	1.000001
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00357665824064372	4.17441764088e-13	1.000001
YML042W	P32796	CAT2	77.24096	2	1000	2	3.04632205430597e-07	3.41774775014115e-07	3.41168538984917e-07	1.000001
YMR170C	P47771	ALD2	55.18718	1	1000	2	0	3.12187072504726e-06	0	1.000001
YOR374W	P46367	ALD4	56.72295	1	1000	2	0	2.75663870461859e-06	0	1.000001
YMR110C	Q04458	HFD1	59.97826	1	1000	2	0	0.00150496893630836	0	1.000001
YAL054C	Q01574	ACS1	79.13997	1	668.178736818926	2	0	1.60098371755478e-06	7.82703527448e-13	1.000001
YLR174W	P41939	IDP2	46.56172	1	35.3214040797727	2	4.2238356165589e-06	0.00193951128938816	4.24572376059019e-06	1.000001
YDR158W	P13663	HOM2	39.54334	2	9.71381837166287	2	5.01135024775404e-07	5.01171473606732e-07	5.01135024775389e-07	1.000001
YER052C	P10869	HOM3	58.10913	2	9.71381837166287	2	4.19010145652915e-07	4.19040623395819e-07	4.19010145652905e-07	1.000001
YCR053W	P16120	THR4	57.47349	2	9.71381837166287	2	2.28578571651166e-08	2.33142862608452e-08	2.33125905617089e-08	1.000001
YHR025W	P17423	THR1	38.71215	2	9.71381837166287	2	2.28578515583446e-06	2.33142862608441e-06	2.33125905617089e-06	1.000001
YJR139C	P31116	HOM6	38.50163	2	9.71381837166287	2	4.21235844928659e-06	4.21266484563365e-06	4.21235844928656e-06	1.000001
YOL126C	P22133	MDH2	40.7305	1	9.49019550373284	2	3.04033940784365e-08	0.00221235911878231	3.04047454685916e-08	1.000001
