genes	enzymes	shortNames	MWs	actions	k_scores
YBL015W	P32316	ACH1	58.71137	1	1000
YBR208C	P32528	DUR1,2	201.82994	1	1000
YCL064C	P25379	CHA1	39.30093	1	1000
YDL215C	P33327	GDH2	124.33061	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YEL047C	P32614	FRD1	50.84351	1	1000
YER062C	P40106	GPP2	27.8134	1	1000
YER065C	P28240	ICL1	62.40816	1	1000
YER170W	P26364	ADK2	25.19373	1	1000
YFL030W	P43567	AGX1	41.90679	1	1000
YFL053W	P43550	DAK2	62.13397	1	1000
YGR248W	P53315	SOL4	28.44737	1	1000
YGR256W	P53319	GND2	53.92235	1	1000
YHR037W	P07275	PUT2	64.43444	1	1000
YHR163W	P38858	SOL3	27.78417	1	1000
YHR183W	P38720	GND1	53.54274	1	1000
YIL053W	P41277	GPP1	27.94655	1	1000
YLR142W	P09368	PUT1	53.27087	1	1000
YLR438W	P07991	CAR2	46.08557	1	1000
YML070W	P54838	DAK1	62.20593	1	1000
YNL241C	P11412	ZWF1	57.5209	1	1000
YOR120W	P14065	GCY1	35.07875	1	1000
YPL111W	P00812	CAR1	35.66162	1	1000
ADS	Q9AR04	ADS	63.933	1	1000
YML126C	P54839	ERG13	55.01283	1	352.30269722923
YPL262W	P08417	FUM1	53.15125	1	335.499709016547
YDL022W	Q00055	GPD1	42.8683	1	136.819644110884
YOL059W	P41911	GPD2	49.42115	1	136.819644110884
YMR208W	P07277	ERG12	48.45901	1	28.6538030653106
YJL167W	P08524	ERG20	40.48289	1	28.6538030653106
YLR450W	P12684	HMG2	115.69085	1	28.6538030653106
YML075C	P12683	HMG1	115.62448	1	28.6538030653106
YMR220W	P24521	ERG8	50.45437	1	28.6538030653106
YNR043W	P32377	MVD1	44.11544	1	28.6538030653106
YPL117C	P15496	IDI1	33.35113	1	28.6538030653106
YHR002W		LEU5	NaN	1	28.2542886223792
YJR109C	P03965	CPA2	123.91392	1	16.3997131208811
YOR303W	P07258	CPA1	45.36103	1	16.3997131208811
YBR221C	P32473	PDB1	40.0532	1	12.0403747182977
YER178W	P16387	PDA1	46.34261	1	12.0403747182977
YGR193C	P16451	PDX1	45.36125	1	12.0403747182977
YNL071W	P12695	LAT1	51.81762	1	12.0403747182977
YBR296C		PHO89	NaN	1	8.55413221994285
YCR037C		PHO87	NaN	1	8.55413221994285
YJL198W		PHO90	NaN	1	8.55413221994285
YML123C		PHO84	NaN	1	8.55413221994285
YNR013C		PHO91	NaN	1	8.55413221994285
YJR051W	P21375	OSM1	55.06455	1	8.16029160334686
YGL080W		MPC1	NaN	1	7.99835895365127
YGR243W		MPC3	NaN	1	7.99835895365127
