genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBR069C		TAT1	NaN	1	1000		2	NaN	NaN	NaN
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630816827298e-09	1.51086592844369e-09
YGR191W		HIP1	NaN	1	1000		2	NaN	NaN	NaN
YKL106W	Q01802	AAT1	51.79484	1	1000	opt_isoenz	2	0	0.000147190189777424	1.69427475789597e-07
YKR039W		GAP1	NaN	1	1000		2	NaN	NaN	NaN
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928952402312e-10	1.95853083511588e-10
YBR248C	P33734	HIS7	61.06729	2	76.8490999512012	tightly_const	2	8.18355766950494e-07	8.18355774396645e-07	8.18355766950494e-07
YFR025C	P38635	HIS2	38.58138	2	76.8490999512012	tightly_const	2	5.27726608727172e-08	5.27726613528893e-08	5.27726608727172e-08
YIL020C	P40545	HIS6	29.55623	2	76.8490999512012	tightly_const	2	3.5291653433686e-06	3.52916536938245e-06	3.5291653433686e-06
YCL030C	P00815	HIS4	87.72027	2	76.8490999512012	tightly_const	2	3.3056527579675e-06	3.30565278806465e-06	3.3056527579675e-06
YER055C	P00498	HIS1	32.26611	2	76.8490999512012	tightly_const	2	4.1827262260857e-05	4.18272626416838e-05	4.1827262260857e-05
YIL116W	P07172	HIS5	42.64564	2	76.8490999512012	tightly_const	2	3.6430061079963e-08	3.64300614116483e-08	3.6430061079963e-08
YOR202W	P06633	HIS3	23.83295	2	76.8490999512012	tightly_const	2	1.12933323512566e-07	1.12933324540796e-07	1.12933323512566e-07
YNL220W	P80210	ADE12	48.27868	2	48.7031459763523	tightly_const	2	2.06363420663263e-05	2.06366972825477e-05	2.06363420663263e-05
YLR028C	P54113	ADE16	65.28175	1	35.7312601042255	subOpt_isoenz	2	0	0.000963071250560939	0
YMR120C	P38009	ADE17	65.26269	1	35.7312601042255	opt_isoenz	2	0	0.000963353105816351	2.65264391934511e-05
YBL068W	P38063	PRS4	35.71972	1	20.0028660500923	subOpt_isoenz	2	0	0.000175371684693915	0
YER099C	P38620	PRS2	34.76468	2	20.0028660500923	opt_isoenz_tight	2	0	0.000175371684693897	0.000175369079780108
YHL011C	P38689	PRS3	35.12352	1	20.0028660500923	subOpt_isoenz	2	0	0.00017537168469391	0
YKL181W	P32895	PRS1	47.04715	2	20.0028660500923	opt_isoenz_tight	2	0	0.000175371684693902	0.000175369079780108
YOL061W	Q12265	PRS5	53.50438	1	20.0028660500923	subOpt_isoenz	2	0	0.000175371684693896	0
YPL262W	P08417	FUM1	53.15125	1	15.1150717199237	essential	2	1.13035176953038e-07	0.00115041113739675	1.13035526477424e-07
YOR095C	Q12189	RKI1	28.25777	1	8.6546711813815	essential	2	1.12104033379488e-05	0.00217485565467463	1.12110385599408e-05
YPR035W	P32288	GLN1	41.7656	2	7.14739623525254	tightly_const	2	2.33099465758533e-06	2.33109660530066e-06	2.33099465758533e-06
YKL085W	P17505	MDH1	35.64959	1	4.98820106309558	essential	2	7.86045547608954e-08	0.00171561111198349	5.89408466562903e-07
YGR248W	P53315	SOL4	28.44737	1	4.31164347527456	subOpt_isoenz	2	0	8.75329342642707e-06	0
YGR256W	P53319	GND2	53.92235	1	4.31164347527456	subOpt_isoenz	2	0	2.40474976395771e-06	0
YHR163W	P38858	SOL3	27.78417	2	4.31164347527456	opt_isoenz_tight	2	0	8.75329342640972e-06	8.75297380852848e-06
YHR183W	P38720	GND1	53.54274	2	4.31164347527456	opt_isoenz_tight	2	0	2.40474976395595e-06	2.40466195688899e-06
YNL241C	P11412	ZWF1	57.5209	2	4.31164347527456	tightly_const	2	1.38292263567972e-07	1.38326211811294e-07	1.38321173773103e-07
YDR384C		ATO3	NaN	1	3.08671291024212		2	NaN	NaN	NaN
YGR121C		MEP1	NaN	1	3.08671291024212		2	NaN	NaN	NaN
YNL142W		MEP2	NaN	1	3.08671291024212		2	NaN	NaN	NaN
YPR138C		MEP3	NaN	1	3.08671291024212		2	NaN	NaN	NaN
YDR226W	P07170	ADK1	24.2546	1	2.06172047588406	subOpt_isoenz	2	0	6.16639653572947e-06	0
YAL062W	P39708	GDH3	49.62653	1	1.55333710883029	subOpt_isoenz	2	0	8.54412161718811e-06	0
YOR375C	P07262	GDH1	49.56931	2	1.55333710883029	opt_isoenz_tight	2	0	8.54412161718837e-06	8.54394582229828e-06
YMR267W	P28239	PPA2	35.57213	2	1.42139730529433	tightly_const	2	1.28690005815628e-06	1.28694983301378e-06	1.28693108654048e-06
YLL052C		AQY2	NaN	1	1.40187021355317		2	NaN	NaN	NaN
YPR192W		AQY1	NaN	1	1.40187021355317		2	NaN	NaN	NaN
