genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YBR145W	P38113	ADH5	37.64764	1	1000	2	0	3.78615738106077e-09	0	1.0000000004019
YGR155W	P32582	CYS4	56.02121	2	1000	2	3.0560781524054e-08	3.14403301553356e-08	3.07447160076225e-08	1.00000972786709
YGR248W	P53315	SOL4	28.44737	1	1000	2	0	1.23893534286741e-07	0	1.00000000480113
YGR256W	P53319	GND2	53.92235	1	1000	2	0	3.65496637539585e-08	0	1.00000000509856
YHR163W	P38858	SOL3	27.78417	2	1000	2	0	1.3490189888905e-07	1.21679231192434e-07	1.0000543793413
YHR183W	P38720	GND1	53.54274	2	1000	2	0	3.70605876482674e-08	3.34283438511897e-08	1.00001006985528
YNL241C	P11412	ZWF1	57.5209	2	1000	2	1.76458379848044e-09	2.12981517440617e-09	1.92286809609178e-09	1.00000156048129
YOL086C	P00330	ADH1	36.84874	2	1000	2	4.83471240164247e-07	4.92029018672054e-07	4.90926527637839e-07	1.00009278356108
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	1.26028428768163e-09	8.27138155473039e-13	1.00000000040223
CHI1	Q8VZW3	CHI1	23.332	2	1000	2	0.00279077286859882	0.00279077286859883	0.00279077286859882	1.4924502904159
CHS3	P13114	CHS3	43.116	2	1000	2	0.000775214685721895	0.000775214685721896	0.000775214685721895	1.20391184432846
4CL3	Q9S777	4CL3	61.311	2	1000	2	9.22874625859398e-07	9.228746258594e-07	9.22874625859398e-07	1.00028780800147
TAL	A0A1M4NET9	TAL	55.539	2	1000	2	2.79323147753149e-08	2.79860897372526e-08	2.79860897372525e-08	1.00000887642913
YAL038W	P00549	CDC19	54.54404	2	3.49877441572429	2	2.11583833311765e-06	2.26772048962779e-06	2.26746722492227e-06	1.00062771946597
YGR254W	P00924	ENO1	46.81564	2	3.49877441572429	2	2.08847012859136e-06	2.28926985944664e-06	2.28718153171698e-06	1.00054359577962
YHR174W	P00925	ENO2	46.91368	1	3.49877441572429	2	0	3.01172405593198e-09	0	1.00000000955629
YKL152C	P00950	GPM1	27.60828	1	3.49877441572429	2	0	1.03795958628928e-08	0	1.00000000030012
YOR347C	P52489	PYK2	55.19478	1	3.49877441572429	2	0	1.51628891751386e-07	0	1.00000000030006
YMR323W	P42222	ERR3	47.31216	1	3.49877441572429	2	0	1.98730844589014e-07	0	1.00000000020226
YOR393W	P0CX10	ERR1	47.32712	1	3.49877441572429	2	0	1.92922937999029e-07	0	1.00000000030006
