genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	OE	1000	2	3.0560781524054e-08	3.14403301553356e-08	3.07447160076225e-08	1.00000972786709	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	OE	1000	2	1.76458379848044e-09	2.12981517440617e-09	1.92286809609178e-09	1.00000156048129	1	5	0	1
CHI1	Q8VZW3	CHI1	23.332	OE	1000	2	0.00279077286859882	0.00279077286859883	0.00279077286859882	1.4924502904159	1	3	0	1
CHS3	P13114	CHS3	43.116	OE	1000	2	0.000775214685721895	0.000775214685721896	0.000775214685721895	1.20391184432846	1	6	0	1
4CL3	Q9S777	4CL3	61.311	OE	1000	2	9.22874625859398e-07	9.228746258594e-07	9.22874625859398e-07	1.00028780800147	1	6	0	1
TAL	A0A1M4NET9	TAL	55.539	OE	1000	2	2.79323147753149e-08	2.79860897372526e-08	2.79860897372525e-08	1.00000887642913	1	3	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	3.49877441572429	2	6.24339841549773e-07	6.35285169714792e-07	6.31514960990507e-07	1.0000847674761	1	4	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.25350443569248	2	9.80076833575581e-07	9.82344286181743e-07	9.80158973151804e-07	1.00022320677579	1	4	0	1
YDR050C	P00942	TPI1	26.79508	OE	1.25141984139678	2	3.03362330793236e-08	3.40244474609081e-08	3.03413211630748e-08	1.00000511979073	1	2	0	1
YMR205C	P16862	PFK2	104.61673	OE	1.24024947929211	2	7.34089271509021e-07	7.3740376450811e-07	7.37310454094033e-07	1.00039187494767	1	9	0	1
YDR516C	Q04409	EMI2	55.92028	OE	1.00082615840883	2	1.85761210223306e-07	1.8618470442059e-07	1.86178e-07	1.0000537573585	1	4	0	1
YDR226W	P07170	ADK1	24.2546	deletion	0.122766022927463	0	0	6.44315058456956e-08	0	1.00001683816706	1	4	0	1
YPR035W	P32288	GLN1	41.7656	deletion	0.0422435925148999	0	0	6.51840480335544e-10	0	1.0000012758181	1	7	0	1
YJR130C	P47164	STR2	72.34965	deletion	0.0131263247366666	0	0	2.24619806474427e-09	0	1.00000264692613	1	11	0	1
YKL085W	P17505	MDH1	35.64959	deletion	7.12879279044049e-07	0	0	2.74242391395966e-09	0	1.00000199084276	1	5	0	1
YBR263W	P37292	SHM1	53.68589	deletion	0	0	0	2.84063346799972e-09	0	1.00000254547975	1	5	0	1
YCL040W	P17709	GLK1	55.37689	deletion	0	0	0	2.16697560921844e-09	0	1.00000221608288	1	6	0	1
YDR234W	P49367	LYS4	75.14989	deletion	0	0	0	1.31272630609154e-09	0	1.0000019997137	1	6	0	1
YDR300C	P32264	PRO1	47.16164	deletion	0	0	0	5.52586801431712e-10	0	1.00000126402516	1	4	0	1
YDR353W	P29509	TRR1	34.23767	deletion	0	0	0	1.10584433690257e-09	0	1.00000138362221	1	6	0	1
YER023W	P32263	PRO3	30.13145	deletion	0	0	0	9.1323941755756e-12	0	1.00000100269197	1	6	0	1
YER091C	P05694	MET6	85.85892	deletion	0	0	0	1.11882625063594e-09	0	1.00000197346433	1	7	0	1
YER152C	P10356	YER152C	49.48976	deletion	0	0	0	1.97548415085717e-09	0	1.00000199074439	1	6	0	1
YGL009C	P07264	LEU1	85.79356	deletion	0	0	0	1.13916633735298e-09	0	1.00000199040892	1	4	0	1
YJL088W	P05150	ARG3	37.84479	deletion	0	0	0	1.64610627841997e-11	0	1.00000100621678	1	5	0	1
YJR139C	P31116	HOM6	38.50163	deletion	0	0	0	4.46666699598922e-10	0	1.00000117419532	1	7	0	1
YLR043C	P22217	TRX1	11.23485	deletion	0	0	0	1.06848129064049e-09	0	1.00000112156361	1	23	0	1
YLR174W	P41939	IDP2	46.56172	deletion	0	0	0	2.09950798452837e-09	0	1.00000199074562	1	5	0	1
YLR304C	P19414	ACO1	85.36736	deletion	0	0	0	1.14501094417479e-09	0	1.00000199054499	1	8	0	1
YLR355C	P06168	ILV5	44.36792	deletion	0	0	0	1.95405842263459e-09	0	1.00000187866289	1	7	0	1
YMR062C	Q04728	ARG7	47.84821	deletion	0	0	0	2.06214714958649e-09	0	1.00000199990436	1	9	0	1
YMR246W	P47912	FAA4	77.26612	deletion	0	0	0	1.35804891826743e-09	0	1.00000206335956	1	48	0	1
YNL104C	P06208	LEU4	68.40819	deletion	0	0	0	7.51079304746837e-10	0	1.00000152062892	1	13	0	1
YNR001C	P00890	CIT1	53.35945	deletion	0	0	0	1.58280821179509e-10	0	1.00000108549942	1	7	0	1
YOL064C	P32179	MET22	39.14886	deletion	0	0	0	3.40086164035557e-10	0	1.00000113483773	1	4	0	1
