genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	1.65724707010625e-09	6.72736422096e-12
YBR145W	P38113	ADH5	37.64764	1	1000	2	0	3.75674376795753e-09	0
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	4.10035457037699e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	2	1.0887473273444e-07	1.09300608767387e-07	1.0902612724658e-07
YER170W	P26364	ADK2	25.19373	1	1000	2	0	3.88723029500319e-09	4.17441764092931e-13
YOL086C	P00330	ADH1	36.84874	2	1000	2	4.26666046557162e-07	4.35029962943673e-07	4.32727141684606e-07
YOR323C	P54885	PRO2	49.73991	2	1000	2	1.41134019165317e-08	1.41681965526963e-08	1.41330231905917e-08
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	4.50963987200289e-09	8.15824385982e-11
YDR452W	Q04119	PPN1	78.34335	1	1000	2	0	1.25032853093894e-09	8.27138155472884e-13
CHI1	Q8VZW3	CHI1	23.332	2	1000	2	0.00273914973057172	0.00273914973057172	0.00273914973057172
CHS3	P13114	CHS3	43.116	2	1000	2	0.000760874925158811	0.000760874925158812	0.000760874925158811
4CL3	Q9S777	4CL3	61.311	2	1000	2	9.05803482331918e-07	9.05803482331919e-07	9.05803482331918e-07
TAL	A0A1M4NET9	TAL	55.539	2	1000	2	2.74237879998532e-08	2.74684088504986e-08	2.74684088504986e-08
YLR044C	P06169	PDC1	61.49468	2	16.0049505369005	2	3.04850180894621e-06	3.1078810334808e-06	3.04891349253625e-06
YAL038W	P00549	CDC19	54.54404	2	2.42442919588724	2	2.04880187818056e-06	2.19978467870001e-06	2.19505397819128e-06
YOR347C	P52489	PYK2	55.19478	1	2.42442919588724	2	0	1.50465883654959e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.26675466897824	2	2.04533678235675e-06	2.24461530766871e-06	2.23827362986571e-06
YHR174W	P00925	ENO2	46.91368	1	2.26675466897824	2	0	3.01594972018353e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.26675466897824	2	0	1.02989757223927e-08	0
YMR323W	P42222	ERR3	47.31216	1	2.26675466897824	2	0	1.97187267372515e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.26675466897824	2	0	1.91443200346376e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.26675466897824	2	0	1.91443200346376e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.26675466897824	2	6.12064484318732e-07	6.22924730856466e-07	6.18010973090368e-07
YLR354C	P15019	TAL1	37.0359	2	1.23587028835601	2	3.4362007536289e-06	3.4656747658888e-06	3.43640510062942e-06
