genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YCL050C	P16550	APA1	36.49211	2	74.883277676906	tightly_const	2	9.8659993048275e-07	9.86652665112121e-07	9.86644673805978e-07	1	9	0	1
YFR030W	P39692	MET10	114.82714	2	74.883277676906	tightly_const	2	6.07166739998044e-07	6.07168796735158e-07	6.07166739998044e-07	0	6	3	1
YKL001C	Q02196	MET14	23.06018	2	74.883277676906	tightly_const	2	2.15267773837566e-05	2.15269518512404e-05	2.15267773837566e-05	1	5	0	1
YOL064C	P32179	MET22	39.14886	2	74.883277676906	tightly_const	2	8.61069746424284e-06	8.61078228123206e-06	8.61070413381814e-06	1	4	0	1
YPR167C	P18408	MET16	30.3799	2	74.883277676906	tightly_const	2	2.70622470904224e-05	2.70624664210773e-05	2.70622470904223e-05	1	7	0	1
YJR137C	P47169	MET5	161.21721	2	74.8832773939571	tightly_const	2	6.07166739998044e-07	6.07168796735158e-07	6.07166739998044e-07	0	6	3	1
YDR353W	P29509	TRR1	34.23767	2	64.1702831009636	tightly_const	2	2.84862265926462e-06	2.84864747453433e-06	2.84862265926462e-06	1	6	0	1
YJL121C	P46969	RPE1	25.96689	1	34.3503047202726	essential	2	2.01104723717743e-06	0.00292178487782502	2.0111546931195e-06	1	2	0	1
YER091C	P05694	MET6	85.85892	2	28.1399071868988	tightly_const	2	2.74661048263985e-05	2.74662632676394e-05	2.74661433236633e-05	1	7	0	1
YNL241C	P11412	ZWF1	57.5209	2	18.4910336168888	tightly_const	2	5.5014367699349e-07	5.50177638044503e-07	5.50172587198534e-07	1	5	0	1
YCR053W	P16120	THR4	57.47349	2	10.1246290748631	tightly_const	2	2.45737833945933e-08	2.45751660595402e-08	2.45748368536002e-08	1	6	0	1
YDR158W	P13663	HOM2	39.54334	2	10.1246290748631	tightly_const	2	5.28268233068558e-07	5.28275753556963e-07	5.28268681375464e-07	1	6	0	1
YER052C	P10869	HOM3	58.10913	2	10.1246290748631	tightly_const	2	4.41696824884804e-07	4.41703116725514e-07	4.41697199724188e-07	1	4	0	1
YJR139C	P31116	HOM6	38.50163	2	10.1246290748631	tightly_const	2	4.44043031327415e-06	4.44049356589187e-06	4.44043408157866e-06	1	7	0	1
YHR025W	P17423	THR1	38.71215	2	10.1246290748631	tightly_const	2	2.45737833945871e-06	2.4575166059543e-06	2.45748368536002e-06	1	5	0	1
YOR095C	Q12189	RKI1	28.25777	1	9.74359786312394	essential	2	1.2484771837319e-05	0.00269554892549269	1.24854070593069e-05	1	2	0	1
YGL125W	P53128	MET13	68.55958	2	28.1399071891238	opt_isoenz_tight	2	0	6.00823967038134e-07	6.00821344465578e-07	0	6	5	2
YHR163W	P38858	SOL3	27.78417	2	18.4910336168888	opt_isoenz_tight	2	0	3.48152804410106e-05	3.4814960823124e-05	0	5	6	2
YHR183W	P38720	GND1	53.54274	2	18.4910336168888	opt_isoenz_tight	2	0	9.56463280095066e-06	9.56454499388263e-06	0	6	7	2
YER086W	P00927	ILV1	63.83052	2	17.8548242629373	opt_isoenz_tight	2	0	3.39556871853775e-07	3.39556304751243e-07	1	3	0	2
YGL062W	P11154	PYC1	130.09827	2	2.18124594629373	opt_isoenz_tight	2	0	2.11944019698275e-06	2.11891145229235e-06	0	8	8	2
YOR375C	P07262	GDH1	49.56931	2	1.02712861416735	opt_isoenz_tight	2	0	6.21535934462758e-06	6.21518354973806e-06	0	8	10	2
YDR516C	Q04409	EMI2	55.92028	2	1.00016734306466	opt_isoenz_tight	2	0	1.8617944038522e-07	1.86076589502098e-07	1	4	0	2
YNR019W	P53629	ARE2	74.022	0	0.207585615493879	subOpt_isoenz	0	0	0.00102425598468942	0	1	84	0	2
YOR245C	Q08650	DGA1	47.71075	0	0.164378423240818	subOpt_isoenz	0	0	1.01733999410064e-07	0	1	122	0	2
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630815302279e-09	1.5108659241281e-09	1	4	0	3
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928950266299e-10	1.9585308295216e-10	1	6	0	3
YPR074C	P23254	TKL1	73.80488	1	130.80377434147	opt_isoenz	2	0	0.00103057701784161	3.30820147152169e-06	0	10	2	3
YLR027C	P23542	AAT2	46.05711	1	3.67992058939072	opt_isoenz	2	0	0.0016463584179891	1.95866030241942e-07	1	14	0	3
YNL036W	P53615	NCE103	24.85889	1	1.55868827180246	opt_isoenz	2	0	0.00304991271094259	1.52675771789161e-10	1	4	0	3
YOR222W		ODC2	NaN	0	0.293666280487029		0	NaN	NaN	NaN	0	6	12	3
YPL134C		ODC1	NaN	0	0.293666280487029		0	NaN	NaN	NaN	0	6	12	3
