genes	enzymes	shortNames	MWs	actions	k_scores
YBR208C	P32528	DUR1,2	201.82994	1	1000
YDL080C	Q07471	THI3	68.36566	1	1000
YDL171C	Q12680	GLT1	238.09944	1	1000
YEL046C	P37303	GLY1	42.81463	1	1000
YGR248W	P53315	SOL4	28.44737	1	1000
YGR256W	P53319	GND2	53.92235	1	1000
YHR163W	P38858	SOL3	27.78417	1	1000
YHR183W	P38720	GND1	53.54274	1	1000
YLR438W	P07991	CAR2	46.08557	1	1000
YNL241C	P11412	ZWF1	57.5209	1	1000
YPL111W	P00812	CAR1	35.66162	1	1000
YER069W	Q01217	ARG5,6	94.86823	1	237.052315266338
YMR062C	Q04728	ARG7	47.84821	1	237.052315266338
YOL140W	P18544	ARG8	46.68082	1	237.052315266338
YOR130C		ORT1	NaN	1	237.052315266338
YER023W	P32263	PRO3	30.13145	1	219.810869735591
YDR380W	Q06408	ARO10	71.38357	1	92.4717113347962
YPR021C		AGC1	NaN	1	67.1065449160022
YOL126C	P22133	MDH2	40.7305	1	37.3602548208745
YKL085W	P17505	MDH1	35.64959	1	18.0131562024322
YNR001C	P00890	CIT1	53.35945	1	18.0131562024322
YPR001W	P43635	CIT3	53.81073	1	18.0131562024322
YBR218C	P32327	PYC2	130.16549	1	16.3043931025225
YGL062W	P11154	PYC1	130.09827	1	16.3043931025225
YOR323C	P54885	PRO2	49.73991	1	11.1508789923069
YDR300C	P32264	PRO1	47.16164	1	11.1508789923069
YOR095C	Q12189	RKI1	28.25777	1	8.62811344362995
YNL036W	P53615	NCE103	24.85889	1	7.13847329843733
YBR221C	P32473	PDB1	40.0532	1	5.3061703047937
YER178W	P16387	PDA1	46.34261	1	5.3061703047937
YGR193C	P16451	PDX1	45.36125	1	5.3061703047937
YNL071W	P12695	LAT1	51.81762	1	5.3061703047937
YKL069W	P36088	YKL069W	19.73402	1	4.73981637448849
YLR155C	P0CZ17	ASP3-1	38.6862	1	3.57747617422292
YLR157C	P0CX77	ASP3-2	38.6862	1	3.57747617422292
YLR158C	P0CX78	ASP3-3	38.6862	1	3.57747617422292
YLR160C	P0CX79	ASP3-4	38.6862	1	3.57747617422292
YAL038W	P00549	CDC19	54.54404	1	3.36029788284484
YGR254W	P00924	ENO1	46.81564	1	3.36029788284484
YHR174W	P00925	ENO2	46.91368	1	3.36029788284484
YKL152C	P00950	GPM1	27.60828	1	3.36029788284484
YOR347C	P52489	PYK2	55.19478	1	3.36029788284484
YMR323W	P42222	ERR3	47.31216	1	3.36029788284484
YOR393W	P0CX10	ERR1	47.32712	1	3.36029788284484
YPL281C	P0CX11	ERR2	47.32712	1	3.36029788284484
YOR283W	Q12040	YOR283W	26.17622	1	3.36029788284484
YDR384C		ATO3	NaN	1	2.3503729164891
YGR121C		MEP1	NaN	1	2.3503729164891
YNL142W		MEP2	NaN	1	2.3503729164891
YPR138C		MEP3	NaN	1	2.3503729164891
YML120C	P32340	NDI1	57.24915	1	1.27068627187932
YCR012W	P00560	PGK1	44.73787	1	1.24196985832829
YGR192C	P00359	TDH3	35.74626	1	1.24196985832829
YJL052W	P00360	TDH1	35.74956	1	1.24196985832829
YJR009C	P00358	TDH2	35.84645	1	1.24196985832829
YDR050C	P00942	TPI1	26.79508	1	1.15010618687582
YGR240C	P16861	PFK1	107.96906	1	1.13973733969503
YKL060C	P14540	FBA1	39.62024	1	1.13973733969503
YMR205C	P16862	PFK2	104.61673	1	1.13973733969503
YAL012W	P31373	CYS3	42.5416	1	1.0435155049468
YGL184C	P53101	STR3	51.82796	1	1.0435155049468
YFR055W	P43623	IRC7	36.97108	1	1.0435155049468
YDR516C	Q04409	EMI2	55.92028	1	1.00050421420886
YKL067W	P36010	YNK1	17.16647	0	0.15239233314696
YER141W	P40086	COX15	54.65792	0	0.149704166666667
YMR246W	P47912	FAA4	77.26612	0	0.144921792402568
YOR317W	P30624	FAA1	77.86529	0	0.144921792402568
YJL130C	P07259	URA2	245.03829	0	0.138237174535869
YIL125W	P20967	KGD1	114.41496	0	0.125812500127012
YER070W	P21524	RNR1	99.56021	0	0.125812500000005
YIL066C	P21672	RNR3	97.51369	0	0.125812500000005
YJL026W	P09938	RNR2	46.14681	0	0.125812500000005
YGR180C	P49723	RNR4	40.05407	0	0.125812500000004
YDR148C	P19262	KGD2	50.43011	0	0.1258125
YDL022W	Q00055	GPD1	42.8683	0	0.12578286731452
YOR303W	P07258	CPA1	45.36103	0	0.115957811105925
YJR109C	P03965	CPA2	123.91392	0	0.115957811105613
YLR153C	P52910	ACS2	75.49079	0	0.114947690389182
YPL061W	P54115	ALD6	54.41344	0	0.114947690389182
YAL044C	P39726	GCV3	18.79276	0	0.114122482301666
YMR189W	P49095	GCV2	114.45033	0	0.114122482301666
YDR019C	P48015	GCV1	44.46849	0	0.114122482301666
YDR503C	Q04396	LPP1	31.58604	0	0.107871351836235
YBR263W	P37292	SHM1	53.68589	0	0.10243244139634
YLR058C	P37291	SHM2	52.21793	0	0.0850791704669051
YOR388C	Q08911	FDH1	41.7138	0	0.0833752460762336
YER081W	P40054	SER3	51.1927	0	0.0592840676669437
YGR208W	P42941	SER2	34.20684	0	0.0592840676669437
YIL074C	P40510	SER33	51.18777	0	0.0592840676669437
YOR184W	P33330	SER1	43.41501	0	0.0592840676669437
YDL085W	Q07500	NDE2	61.65854	0	0.0506613185673112
YMR145C	P40215	NDE1	62.77345	0	0.0506613185673112
YDR353W	P29509	TRR1	34.23767	0	0.0338854386326487
YHR002W		LEU5	NaN	0	0.0108146911069987
YGL080W		MPC1	NaN	0	0.000799159148023693
YGR243W		MPC3	NaN	0	0.000799159148023693
YHR162W		MPC2	NaN	0	0.000799159148023693
YDL066W	P21954	IDP1	48.18986	0	2.15635385064253e-06
YBR115C	P07702	LYS2	155.34394	0	0
YCL009C	P25605	ILV6	33.98652	0	0
YCL018W	P04173	LEU2	38.95257	0	0
YCR053W	P16120	THR4	57.47349	0	0
YDL131W	Q12122	LYS21	48.59372	0	0
YDR158W	P13663	HOM2	39.54334	0	0
YDR234W	P49367	LYS4	75.14989	0	0
YER052C	P10869	HOM3	58.10913	0	0
YER152C	P10356	YER152C	49.48976	0	0
YGL009C	P07264	LEU1	85.79356	0	0
YGL154C	P50113	LYS5	30.68281	0	0
YHR018C	P04076	ARG4	51.9886	0	0
YHR025W	P17423	THR1	38.71215	0	0
YIL094C	P40495	LYS12	40.06854	0	0
YIR034C	P38998	LYS1	41.46445	0	0
YJL060W	P47039	BNA3	50.08168	0	0
YJL088W	P05150	ARG3	37.84479	0	0
YJR016C	P39522	ILV3	62.86049	0	0
YJR139C	P31116	HOM6	38.50163	0	0
YLR355C	P06168	ILV5	44.36792	0	0
YMR108W	P07342	ILV2	74.93608	0	0
