Row	sensitivities
"YDL174C"	0
"YEL039C"	0
"YJR048W"	0
"YEL071W"	0
"YDL178W"	0
"YAL060W"	0
"YML054C"	0
"YGR032W"	0
"YMR306W"	0.000845279353227751
"YLR342W"	0
"YCR034W"	0
"YIL020C"	0
"YHR037W"	0
"YEL038W"	0
"YMR009W"	0
"YOL066C"	0
"YBR153W"	0.00342320624125126
"YCL009C"	0
"YMR108W"	0.0005681983588404
"YNL256W"	0
"YER152C"	0
"YGL202W"	0
"YJL060W"	0
"YHR063C"	0
"YDR035W"	0
"YBR249C"	0
"YDR204W"	0
"YGL119W"	0
"YGR255C"	0
"YLR201C"	0
"YML110C"	0
"YOL096C"	0
"YOR125C"	0
"YGL009C"	0.000499065476045487
"YNL104C"	6.06268276525769e-05
"YOR108W"	0
"YHR208W"	0
"YJR148W"	0
"YHR137W"	0
"YDR234W"	0.0017796820916969
"YPR001W"	0
"YOL064C"	0
"YGL248W"	0
"YOR360C"	0
"YDR487C"	0
"YDR127W"	0.000219456826745525
"YBR265W"	0
"YPL252C"	0
"YDR376W"	0
"YDR538W"	0
"YDR539W"	0
"YLR231C"	0
"YKR009C"	0
"YJR025C"	0
"YER175C"	0
"YCL018W"	3.93679258827666e-05
"YGR087C"	0
"YLR044C"	0.031200256642399
"YLR134W"	0
"YBR176W"	0
"YDL080C"	0
"YNR033W"	0
"YMR289W"	0
"YGR019W"	0
"YCR053W"	0
"YLR410W"	0
"YOR163W"	0
"YDR017C"	0
"YLR017W"	0
"YER037W"	0
"YGL224C"	0
"YOR155C"	0
"YGR061C"	0.000146969110164026
"YGL125W"	0
"YPL023C"	0
"YDR232W"	0
"YER183C"	0
"YER091C"	0.000311189301284483
"YJR024C"	0
"YPR118W"	0
"YIL107C"	0
"YOL136C"	0
"YGR248W"	0
"YHR163W"	0.0239723609059929
"YLR355C"	0.00100165057345743
"YIL160C"	0
"YPL028W"	0
"YMR207C"	0
"YDL141W"	0
"YNR016C"	0.150965487455737
"YBL015W"	0
"YAL054C"	0
"YLR153C"	0.0274548902722923
"YER069W"	0.000332586453378783
"YBR093C"	0
"YAR071W"	0
"YBR092C"	0
"YHR215W"	0
"YPR002W"	0
"YOL140W"	0.000428711642553248
"YPL148C"	0
"YGL205W"	0
"YCR048W"	0
"YNR019W"	0
"YJL091C"	0
"YNL141W"	0
"YDR441C"	0
"YML022W"	0
"YJR105W"	0
"YML035C"	0
"YER043C"	0.00059762007550142
"YOL052C"	0
"YNR058W"	0
"YJL005W"	0
"YDL166C"	0.0104871385731913
"YDR226W"	0
"YER170W"	0
"YLR359W"	4.43367889820856e-05
"YNL220W"	0
"YKL001C"	0
"YGR247W"	0
"YFL030W"	0
"YOR335C"	0
"YGR177C"	0
"YOR377W"	0
"YMR303C"	0
"YDR368W"	0
"YHR104W"	0
"YGL256W"	0
"YMR083W"	0
"YBR145W"	0
"YDL168W"	0
"YOL086C"	0.00198914723028573
"YCR105W"	0
"YMR318C"	0
"YMR110C"	0
"YMR169C"	0
"YMR170C"	0
"YPL061W"	0.0562356978740828
"YOR374W"	0
"YER073W"	0
"YDR481C"	0
"YIR029W"	0
"YIR027C"	0
"YBR208C"	0
"YBR199W"	0
"YBR205W"	0
"YDR483W"	0
"YJL139C"	0
"YKR061W"	0
"YNL029C"	0
"YOR099W"	0
"YPL053C"	0
"YPR026W"	0
"YBR001C"	0
"YDR001C"	0
"YBR126C"	0
"YDR074W"	0
"YML100W"	0
"YMR261C"	0
"YBR299W"	0
"YGR287C"	0
"YGR292W"	0
"YIL172C"	0
"YJL216C"	0
"YJL221C"	0
"YDR242W"	0
"YMR293C"	0
"YDR354W"	0
"YER090W"	0.000203657129168675
"YKL211C"	0.000201071384433181
"YDR305C"	0
"YPL111W"	0
"YHR018C"	0
"YOL058W"	0
"YDR341C"	0
"YHR091C"	0
"YGR124W"	0
"YPR145W"	0.000321334177997602
"YHR019C"	0
"YCR024C"	0
"YJL130C"	0
"YER052C"	0
"YLR027C"	0
"YKL106W"	0
"YDR158W"	0
"YLL018C"	0.000207812193068683
"YPL104W"	0
"YDR530C"	0
"YCL050C"	0
"YER055C"	0
"Q0080"	0
"Q0085"	0
"Q0130"	0
"YBL099W"	0
"YBR039W"	0
"YDL004W"	0
"YDR298C"	0
"YDR322C-A"	0
"YDR377W"	0
"YJR121W"	0
"YKL016C"	0
"YLR295C"	0
"YML081C-A"	0
"YPL078C"	0
"YPL271W"	0
"YPR020W"	0
"YOL077W-A"	0
"YCR024C-A"	0
"YEL017C-A"	0
"YGL008C"	0
"YPL036W"	0
"YER005W"	0
"YBR110W"	0
"YGR286C"	0
"YNL280C"	0.00220894336718516
"YMR015C"	0
"YGL001C"	0
"YLR100W"	0.00022146816114374
"YGR060W"	0
"YLR056W"	0
"YMR202W"	0
"YGL012W"	0.000139377687286518
"YDL090C"	0
"YKL019W"	0
"YJR109C"	0
"YOR303W"	0
"YAR035W"	0
"YER024W"	0
"YML042W"	0
"YGR088W"	0
"YDR256C"	0
"YDR297W"	0
"YMR272C"	0
"YHL003C"	0
"YMR298W"	0
"YKL008C"	0
"YLR307W"	0
"YLR308W"	0
"YBR023C"	0
"YBR038W"	0
"YNL192W"	0
"YLR133W"	0
"YGR202C"	0
"YPR060C"	0
"YGL148W"	0.00125530747869547
"YLR304C"	3.26059080182177e-05
"YBR002C"	0
"YMR101C"	0
"YNR001C"	0
