genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00160565580899191	6.72736422103947e-12
YBR068C		BAP2	NaN	1	1000	2	0	0	0
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	1.7572646328079e-09	0
YCL025C		AGP1	NaN	1	1000	2	0	0	0
YDL171C	Q12680	GLT1	238.09944	2	1000	2	0	2.46883418347018e-06	2.46834603683389e-06
YDR046C		BAP3	NaN	1	1000	2	0	0	0
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00374182041930863	4.17441764092931e-13
YKR039W		GAP1	NaN	1	1000	2	0	0	0
YOL020W		TAT2	NaN	1	1000	2	0	0	0
YOR348C		PUT4	NaN	1	1000	2	0	0	0
YPL265W		DIP5	NaN	1	1000	2	0	0	0
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	0.00426703399391994	3.75718011368998e-11
YKL060C	P14540	FBA1	39.62024	1	667.039586347417	2	0	0.00238140388355055	3.61159911882425e-10
YGR240C	P16861	PFK1	107.96906	1	500.559379521125	2	0	3.32805535170127e-07	0
YMR205C	P16862	PFK2	104.61673	2	400.671264357568	2	3.32541091683496e-07	5.98490154422658e-07	5.98457875872659e-07
YBR117C	P33315	TKL2	75.02862	1	34.1685840559819	2	0	0.00125782129515116	0
YHR137W	P38840	ARO9	58.52706	1	33.6470202973568	2	0	0.00161105955503861	3.47576011632172e-07
YPR074C	P23254	TKL1	73.80488	1	28.8635590296845	2	0	0.00127867622373801	1.38567842315755e-06
YPR035W	P32288	GLN1	41.7656	2	12.8782857974231	2	1.07131211851137e-07	3.38642363613867e-06	3.38577524282923e-06
YJL121C	P46969	RPE1	25.96689	1	7.64345892449497	2	8.4232096497645e-07	0.00363124498455005	8.42395388514798e-07
YGR248W	P53315	SOL4	28.44737	1	4.15504193908361	2	0	1.46875355823208e-05	0
YGR256W	P53319	GND2	53.92235	1	4.15504193908361	2	0	4.03503527233686e-06	0
YHR163W	P38858	SOL3	27.78417	2	4.15504193908361	2	0	1.46875355823208e-05	1.46400608008576e-05
YHR183W	P38720	GND1	53.54274	2	4.15504193908361	2	0	4.03503527233686e-06	4.02199275634329e-06
YNL241C	P11412	ZWF1	57.5209	2	4.15504193908361	2	2.31333393291891e-07	2.32103649116445e-07	2.313534163796e-07
YDR384C		ATO3	NaN	1	2.97079009453438	2	0	0	0
YGR121C		MEP1	NaN	1	2.97079009453438	2	0	0	0
YNL142W		MEP2	NaN	1	2.97079009453438	2	0	0	0
YPR138C		MEP3	NaN	1	2.97079009453438	2	0	0	0
YAL038W	P00549	CDC19	54.54404	2	2.42587395053196	2	0	2.00489198230621e-06	2.00484350598464e-06
YOR347C	P52489	PYK2	55.19478	1	2.42587395053196	2	0	2.00489198230626e-06	0
YGR254W	P00924	ENO1	46.81564	1	2.26099866046762	2	0	0.00201569122859231	2.03979308178646e-06
YHR174W	P00925	ENO2	46.91368	1	2.26099866046762	2	0	0.00201147626825589	0
YKL152C	P00950	GPM1	27.60828	1	2.26099866046762	2	0	0.00341509776653754	0
YMR323W	P42222	ERR3	47.31216	1	2.26099866046762	2	0	0.00199453405847303	0
YOR393W	P0CX10	ERR1	47.32712	1	2.26099866046762	2	0	0.0019939061189316	0
YPL281C	P0CX11	ERR2	47.32712	1	2.26099866046762	2	0	0.0019939061189316	0
YOR283W	Q12040	YOR283W	26.17622	1	2.26099866046762	2	0	0.00360193777737758	5.63208398900486e-07
YOR095C	Q12189	RKI1	28.25777	1	2.23098112205695	2	5.28877893943345e-06	0.00334137128137654	5.28921889153789e-06
YCR012W	P00560	PGK1	44.73787	1	1.20033987029639	2	8.82740910705204e-07	0.00210805170099241	8.83036560273159e-07
YGR192C	P00359	TDH3	35.74626	1	1.20033987029639	2	0	0.00265354821195946	0
YJL052W	P00360	TDH1	35.74956	1	1.20033987029639	2	0	0.00265330324258068	1.63422655546131e-05
YJR009C	P00358	TDH2	35.84645	1	1.20033987029639	2	0	0.00264613825793294	0
YDR050C	P00942	TPI1	26.79508	1	1.12598283511621	2	2.46005940721228e-08	0.00351821641489286	2.46189115543394e-08
YDR516C	Q04409	EMI2	55.92028	2	1.00066848452747	2	1.15004869423664e-08	1.86183839569284e-07	1.86178186178e-07
YLR058C	P37291	SHM2	52.21793	0	0.00460893361275318	0	1.75654212941984e-07	0.00180551206868558	1.86672748580405e-07
YOR388C	Q08911	FDH1	41.7138	0	0.000260988873778034	0	0	5.24085531771804e-09	4.96876297434394e-09
YAL044C	P39726	GCV3	18.79276	0	0	0	0	1.3755184598307e-11	0
YBR263W	P37292	SHM1	53.68589	0	0	0	0	0.00175596013234525	0
YCL040W	P17709	GLK1	55.37689	0	0	0	0	9.5116772501649e-07	0
YDL066W	P21954	IDP1	48.18986	0	0	0	0	1.20498024695985e-09	0
YDR019C	P48015	GCV1	44.46849	0	0	0	0	1.3755184598307e-11	0
YDR148C	P19262	KGD2	50.43011	0	0	0	0	3.65676235786612e-10	0
YFR053C	P04806	HXK1	53.73784	0	0	0	0	9.51167725016369e-07	0
YGL253W	P04807	HXK2	53.9419	0	0	0	0	2.0569838250556e-06	0
YIL125W	P20967	KGD1	114.41496	0	0	0	0	3.65676235786612e-10	0
YMR189W	P49095	GCV2	114.45033	0	0	0	0	1.3755184598307e-11	0
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	0.000156059472250538	0
