genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	3.86561630211989e-08	3.83752399224024e-08	1.000001000001
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00153934304834557	6.72736422096e-12	1.00000100000101
YCL064C	P25379	CHA1	39.30093	2	1000	2	0	2.07020442760335e-05	2.05244888228293e-05	1.000001000001
YEL046C	P37303	GLY1	42.81463	2	1000	2	4.03696345065688e-06	4.03704461268667e-06	4.03696345065688e-06	1.000001000001
YER024W	P40017	YAT2	103.33286	1	1000	2	0	1.0266657874909e-07	0	1.00000006876772
YER073W	P40047	ALD5	56.69214	2	1000	2	0	6.27777153116213e-06	4.75301171179876e-06	1.000001000001
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00358728525062928	4.17441764088e-13	1.000001000001
YIL099W	P08019	SGA1	61.46231	2	1000	2	0	2.53362130802168e-08	1.73904162870883e-08	1.000001000001
YML042W	P32796	CAT2	77.24096	2	1000	2	0	3.89894773293999e-08	3.87061319604415e-08	1.000001000001
YMR170C	P47771	ALD2	55.18718	1	1000	2	0	7.10953240614326e-06	0	1.000001000001
YOR108W	Q12166	LEU9	67.19951	2	1000	2	0	1.63850241436826e-07	1.6383786303264e-07	1.000001000001
YOR374W	P46367	ALD4	56.72295	1	1000	2	0	6.2777715311824e-06	0	1.000001000001
YMR110C	Q04458	HFD1	59.97826	1	1000	2	0	0.00151132070471371	0	1.00000100000101
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	3.73609886503952e-07	1.30195297538934e-09	1.00000022562035
YDR039C	Q01896	ENA2	120.31602	1	1000	2	0	3.73609886503879e-07	0	1.00000022562034
YDR040C	P13587	ENA1	120.35609	1	1000	2	0	3.73609886506507e-07	0	1.00000022562034
YCR053W	P16120	THR4	57.47349	2	16.5109077951971	2	4.29041698499968e-08	4.33595216551771e-08	4.33587509047249e-08	1.00000100000101
YDR158W	P13663	HOM2	39.54334	2	16.5109077951971	2	9.32053803774106e-07	9.32072194066898e-07	9.32053803774111e-07	1.00000100000101
YER052C	P10869	HOM3	58.10913	2	16.5109077951971	2	7.79310925734593e-07	7.79326302267642e-07	7.79310925734588e-07	1.000001000001
YHR025W	P17423	THR1	38.71215	2	16.5109077951971	2	4.29040119013605e-06	4.33596064134103e-06	4.33587509047249e-06	1.000001000001
YJR139C	P31116	HOM6	38.50163	2	16.5109077951971	2	7.83450471712146e-06	7.83465929922304e-06	7.83450471712143e-06	1.000001000001
YPL061W	P54115	ALD6	54.41344	2	15.5089843703582	2	1.53328510189289e-05	1.82775636430627e-05	1.8276458233157e-05	1.000001000001
YGR087C	P26263	PDC6	61.57964	1	13.6086168463144	2	0	6.43749959868642e-06	0	1.000001000001
YLR044C	P06169	PDC1	61.49468	2	13.6086168463144	2	0	2.75258621512278e-06	2.75258573802132e-06	1.000001000001
YLR134W	P16467	PDC5	61.91138	1	13.6086168463144	2	0	6.43749959868636e-06	0	1.00000100000101
YFR015C	P23337	GSY1	80.50931	1	8.5827046841679	2	0	1.47637240631507e-07	0	1.00000023275064
YJL137C	P47011	GLG2	44.54552	1	8.5827046841679	2	0	1.47637240629521e-07	5.36386920400423e-08	1.00000023275065
YKR058W	P36143	GLG1	69.72308	1	8.5827046841679	2	0	1.4763724063414e-07	0	1.00000023275063
YLR258W	P27472	GSY2	80.07802	1	8.5827046841679	2	0	1.47637240631507e-07	5.36386920400423e-08	1.00000023275064
YLR027C	P23542	AAT2	46.05711	1	5.78670343991683	2	0	0.00196260053556556	3.19184627952799e-07	1.00000100000077
YBR218C	P32327	PYC2	130.16549	1	3.34428620805614	2	0	3.27695392884306e-06	0	1.000001000001
YGL062W	P11154	PYC1	130.09827	2	3.34428620805613	2	0	3.27695392883882e-06	3.27654899430497e-06	1.000001000001
YAL038W	P00549	CDC19	54.54404	2	2.61215020613015	2	0	2.23580085586954e-06	2.23576332005477e-06	1.000001000001
YOR347C	P52489	PYK2	55.19478	1	2.61215020613015	2	0	2.23580084915781e-06	0	1.000001000001
YOR283W	Q12040	YOR283W	26.17622	1	2.43376557373569	2	0	0.00345326726390807	6.27522147638103e-07	1.00000100000101
YGR254W	P00924	ENO1	46.81564	1	2.43376557373569	2	0	0.00193276145531011	2.27272060913663e-06	1.00000100000106
YHR174W	P00925	ENO2	46.91368	1	2.43376557373569	2	0	0.00192871990883689	0	1.000001000001
YKL152C	P00950	GPM1	27.60828	1	2.43376557373569	2	0	0.00327413910141159	0	1.000001000001
YMR323W	P42222	ERR3	47.31216	1	2.43376557373569	2	0	0.0019124747356329	0	1.00000100000101
YOR393W	P0CX10	ERR1	47.32712	1	2.43376557373569	2	0	0.00191187263084374	0	1.00000100000101
YPL281C	P0CX11	ERR2	47.32712	1	2.43376557373569	2	0	0.00191187263084374	0	1.00000100000101
YNL036W	P53615	NCE103	24.85889	1	2.29138975511852	2	0	0.00363559885627518	2.18180335936739e-10	1.00000100009724
YKL035W	P32861	UGP1	55.98734	1	2.18600878130427	2	0	0.00161459897952333	0	1.00000100000097
YKL127W	P33401	PGM1	63.11105	1	2.18600878130427	2	0	0.00143217330382386	0	1.0000010000009
YMR105C	P37012	PGM2	63.08769	1	2.18600878130427	2	0	0.00143270451442926	1.42834134541536e-07	1.000001000001
YHL012W	P38709	YHL012W	55.99958	1	2.18600878130427	2	0	0.00161424434185721	3.28652610951891e-07	1.00000100000101
YLR354C	P15019	TAL1	37.0359	1	1.3420103354901	2	0	0.00244375274904788	3.49914623913466e-06	1.00000100000092
YGR043C	P53228	NQM1	37.25314	1	1.3420103354901	2	0	0.00242950472412933	0	1.00000100000102
YDR050C	P00942	TPI1	26.79508	1	1.2957258983079	2	3.02515985939836e-08	0.00337292262479733	3.02523762330364e-08	1.00000099999607
