genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz_tight	2	0	2.05857332554002e-09	2.0585733316405e-09
YIL099W	P08019	SGA1	61.46231	2	1000	opt_isoenz	2	0	5.48153522504499e-08	5.38093526867896e-08
YLR138W		NHA1	NaN	1	1000		2	NaN	NaN	NaN
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz_tight	2	0	2.66852224453158e-10	2.66852224969969e-10
YBR241C		YBR241C	NaN	1	1000		2	NaN	NaN	NaN
YGL104C		VPS73	NaN	1	1000		2	NaN	NaN	NaN
YDR456W		NHX1	NaN	1	1000		2	NaN	NaN	NaN
YDR038C	Q12691	ENA5	120.29497	1	1000	opt_isoenz	2	0	8.0831170259107e-07	1.43927445802751e-08
YDR039C	Q01896	ENA2	120.31602	1	1000	subOpt_isoenz	2	0	8.08311702591102e-07	0
YDR040C	P13587	ENA1	120.35609	1	1000	subOpt_isoenz	2	0	8.08311702591112e-07	0
YBR296C		PHO89	NaN	1	77.052034065113		2	NaN	NaN	NaN
YCR037C		PHO87	NaN	1	77.052034065113		2	NaN	NaN	NaN
YJL198W		PHO90	NaN	1	77.052034065113		2	NaN	NaN	NaN
YML123C		PHO84	NaN	1	77.052034065113		2	NaN	NaN	NaN
YNR013C		PHO91	NaN	1	77.052034065113		2	NaN	NaN	NaN
YFR015C	P23337	GSY1	80.50931	1	20.9019129193298	subOpt_isoenz	2	0	3.18350008099595e-07	0
YJL137C	P47011	GLG2	44.54552	2	20.9019129193298	opt_isoenz	2	0	3.18350008099599e-07	1.60693491074543e-07
YKR058W	P36143	GLG1	69.72308	1	20.9019129193298	subOpt_isoenz	2	0	3.18350016942714e-07	0
YLR258W	P27472	GSY2	80.07802	2	20.9019129193298	opt_isoenz	2	0	3.18350008099526e-07	1.60693491074543e-07
YOL126C	P22133	MDH2	40.7305	1	10.6159980082635	essential	2	1.30245772579181e-05	0.000228512231348489	1.30245772579146e-05
YKL035W	P32861	UGP1	55.98734	1	5.26497917023437	subOpt_isoenz	2	0	0.000157690829463387	0
YKL127W	P33401	PGM1	63.11105	1	5.26497917023437	subOpt_isoenz	2	0	0.000139472670685404	0
