genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	subOpt_isoenz	2	0	0.000653362886878539	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	4.47720237484742e-10	0
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	0.00152259691100074	0
YJR069C	P47119	HAM1	22.09268	1	1000	subOpt_isoenz	2	0	0.00173631333284614	0
SAS	E5LLI1	SAS	63.937	2	1000	tightly_const	2	0.000470671711617015	0.000470671711617956	0.000470671711617015
YJL167W	P08524	ERG20	40.48289	2	29.0977265508576	tightly_const	2	3.28136912432581e-05	3.28137303089111e-05	3.28136912432581e-05
YLR450W	P12684	HMG2	115.69085	2	29.0977265508576	opt_isoenz_tight	2	0	1.16998668886026e-06	1.16998529595875e-06
YML075C	P12683	HMG1	115.62448	1	29.0977265508576	subOpt_isoenz	2	0	2.3413133539291e-06	0
YMR208W	P07277	ERG12	48.45901	2	29.0977265508576	tightly_const	2	4.9445222709211e-06	4.94452815391156e-06	4.9445222709211e-06
YMR220W	P24521	ERG8	50.45437	2	29.0977265508576	tightly_const	2	3.1848564587285e-05	3.18486025039271e-05	3.1848564587285e-05
YNR043W	P32377	MVD1	44.11544	2	29.0977265508576	tightly_const	2	2.20990000215176e-05	2.20990263148982e-05	2.20990000215176e-05
YPL117C	P15496	IDI1	33.35113	1	29.0977265508576	essential	2	1.20719308564346e-09	0.001150183600471	1.20719308564346e-09
YHR002W		LEU5	NaN	1	27.5650684844496		2	NaN	NaN	NaN
YBR221C	P32473	PDB1	40.0532	2	6.64512715757145	tightly_const	2	4.98406102153034e-06	4.98416186794231e-06	4.98410037851521e-06
YER178W	P16387	PDA1	46.34261	2	6.64512715757145	tightly_const	2	4.98406102153034e-06	4.98416186794231e-06	4.98410037851521e-06
YGR193C	P16451	PDX1	45.36125	2	6.64512715757145	tightly_const	2	4.98406102153034e-06	4.98416186794231e-06	4.98410037851521e-06
YNL071W	P12695	LAT1	51.81762	2	6.64512715757145	tightly_const	2	4.98406102153034e-06	4.98416186794231e-06	4.98410037851521e-06
YGL080W		MPC1	NaN	1	4.53856589168873		2	NaN	NaN	NaN
YGR243W		MPC3	NaN	1	4.53856589168873		2	NaN	NaN	NaN
YHR162W		MPC2	NaN	1	4.53856589168873		2	NaN	NaN	NaN
YCL040W	P17709	GLK1	55.37689	1	2.68878325728521	subOpt_isoenz	2	0	8.92854493246898e-07	0
YGL253W	P04807	HXK2	53.9419	1	2.68878325728521	subOpt_isoenz	2	0	1.93087633488096e-06	0
YLR446W	Q06204	YLR446W	48.96875	1	2.68878325728521	subOpt_isoenz	2	0	0.000146491935489323	0
YFR053C	P04806	HXK1	53.73784	1	2.68878325728521	opt_isoenz	2	0	8.92854473135933e-07	1.47104362806622e-09
YAL038W	P00549	CDC19	54.54404	2	2.36786109562072	opt_isoenz_tight	2	0	1.79762008699054e-06	1.79760156061496e-06
YOR347C	P52489	PYK2	55.19478	1	2.36786109562072	subOpt_isoenz	2	0	1.7976200869908e-06	0
YGR254W	P00924	ENO1	46.81564	1	2.21745541009844	opt_isoenz	2	0	0.000821228787203442	1.84700427885412e-06
YHR174W	P00925	ENO2	46.91368	1	2.21745541009844	subOpt_isoenz	2	0	0.000819511499412154	0
YKL152C	P00950	GPM1	27.60828	1	2.21745541009844	subOpt_isoenz	2	0	0.00138991531772922	0
YMR323W	P42222	ERR3	47.31216	1	2.21745541009844	subOpt_isoenz	2	0	0.000812608938708523	0
YOR393W	P0CX10	ERR1	47.32712	1	2.21745541009844	subOpt_isoenz	2	0	0.000812353104879828	0
YPL281C	P0CX11	ERR2	47.32712	1	2.21745541009844	subOpt_isoenz	2	0	0.000812353104879982	0
YOR283W	Q12040	YOR283W	26.17622	1	2.21745541009844	opt_isoenz	2	0	0.00146595758125128	5.09977375619259e-07
YML120C	P32340	NDI1	57.24915	1	1.52450741009867	opt_isoenz	2	0	4.05906214883588e-05	7.48208572989841e-07
YJL052W	P00360	TDH1	35.74956	1	1.1831803186923	opt_isoenz	2	0	0.00108816263969371	1.51478922155445e-05
YCR012W	P00560	PGK1	44.73787	1	1.1831803186923	essential	2	8.18499894809729e-07	0.000858253685019145	8.18499894809703e-07
