genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00155995750810043	6.72736422096e-12
YBR068C		BAP2	NaN	1	1000	2	0	0	0
YBR069C		TAT1	NaN	1	1000	2	0	0	0
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	1.4736834753255e-09	0
YCL025C		AGP1	NaN	1	1000	2	0	0	0
YDL171C	Q12680	GLT1	238.09944	1	1000	2	0	4.04209713628444e-10	0
YDR046C		BAP3	NaN	1	1000	2	0	0	0
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.0036353250595011	4.17441764088813e-13
YKR039W		GAP1	NaN	1	1000	2	0	0	0
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	0.00414559060805368	3.10288247581825e-11
YHR208W	P38891	BAT1	43.59553	1	353.179269961879	2	2.01222402105364e-07	0.00210104397111067	2.01248321994221e-07
YBR117C	P33315	TKL2	75.02862	1	28.3842291869025	2	0	0.00122191561155216	0
YKL029C	P36013	MAE1	74.37529	2	24.3899458573561	2	1.61776029092152e-06	1.61832596607839e-06	1.6179682304252e-06
YPR074C	P23254	TKL1	73.80488	1	23.9811975770123	2	0	0.00124217521672543	1.23744805851374e-06
YPR021C		AGC1	NaN	1	8.77620016761271	2	0	0	0
YOL126C	P22133	MDH2	40.7305	1	8.03079401105497	2	2.58967251713817e-08	0.00224864273497502	2.58999764975325e-08
YJL121C	P46969	RPE1	25.96689	1	6.36907113745173	2	7.52115029738126e-07	0.00352783055621314	7.52281713128792e-07
YGL062W	P11154	PYC1	130.09827	2	3.63869291642432	2	0	3.86055946188952e-06	3.85976051944881e-06
YBR218C	P32327	PYC2	130.16549	1	3.63869291642432	2	0	3.86055946189158e-06	0
YGR248W	P53315	SOL4	28.44737	1	3.47409573908002	2	0	1.31079921073501e-05	0
YGR256W	P53319	GND2	53.92235	1	3.47409573908002	2	0	3.60109496969125e-06	0
YHR163W	P38858	SOL3	27.78417	2	3.47409573908002	2	0	1.31079921073485e-05	1.31058734338749e-05
YHR183W	P38720	GND1	53.54274	2	3.47409573908002	2	0	3.60109496969171e-06	3.60051291682539e-06
YNL241C	P11412	ZWF1	57.5209	2	3.47409573908002	2	2.07064176221029e-07	2.0714249736808e-07	2.07109016472663e-07
YGL080W		MPC1	NaN	1	2.6432831398056	2	0	0	0
YGR243W		MPC3	NaN	1	2.6432831398056	2	0	0	0
YHR162W		MPC2	NaN	1	2.6432831398056	2	0	0	0
YNL036W	P53615	NCE103	24.85889	1	2.4886816556525	2	0	0.00368428566593997	2.55406565975037e-10
YAL038W	P00549	CDC19	54.54404	2	2.45408805919132	2	0	2.02692716629189e-06	2.02688644696912e-06
YOR347C	P52489	PYK2	55.19478	1	2.45408805919132	2	0	2.02692716629206e-06	0
YGR254W	P00924	ENO1	46.81564	1	2.28716655093216	2	0	0.00195840324561547	2.0620276733035e-06
YHR174W	P00925	ENO2	46.91368	1	2.28716655093216	2	0	0.001954308099955	0
YKL152C	P00950	GPM1	27.60828	1	2.28716655093216	2	0	0.00331792222982932	0
YMR323W	P42222	ERR3	47.31216	1	2.28716655093216	2	0	0.00193784740318267	0
YOR393W	P0CX10	ERR1	47.32712	1	2.28716655093216	2	0	0.00193723731031185	0
YPL281C	P0CX11	ERR2	47.32712	1	2.28716655093216	2	0	0.00193723731031185	0
YOR283W	Q12040	YOR283W	26.17622	1	2.28716655093216	2	0	0.00349944576381893	5.69347604293589e-07
YOR095C	Q12189	RKI1	28.25777	1	1.8773666653824	2	4.75552975514025e-06	0.0032458895419479	4.75651509808753e-06
YDR384C		ATO3	NaN	1	1.57913478655003	2	0	0	0
YGR121C		MEP1	NaN	1	1.57913478655003	2	0	0	0
YNL142W		MEP2	NaN	1	1.57913478655003	2	0	0	0
YPR138C		MEP3	NaN	1	1.57913478655003	2	0	0	0
YCR012W	P00560	PGK1	44.73787	1	1.21415187411635	2	8.92552092021592e-07	0.00204808941433545	8.92565071275708e-07
YGR192C	P00359	TDH3	35.74626	1	1.21415187411635	2	0	0.00257866748661501	0
YJL052W	P00360	TDH1	35.74956	1	1.21415187411635	2	0	0.00257842945310677	1.65186087142842e-05
YJR009C	P00358	TDH2	35.84645	1	1.21415187411635	2	0	0.00257146663477481	0
YDR050C	P00942	TPI1	26.79508	1	1.15380194606231	2	2.52084820772005e-08	0.00341808630424772	2.52092669945449e-08
YGR240C	P16861	PFK1	107.96906	1	1.14641766666472	2	0	3.40768538165214e-07	0
YKL060C	P14540	FBA1	39.62024	1	1.14641766666472	2	0	0.00231381306969452	0
YMR205C	P16862	PFK2	104.61673	2	1.14641766666472	2	3.40742401708319e-07	6.12810162580209e-07	6.12782676183077e-07
YDR516C	Q04409	EMI2	55.92028	2	1.00058781102819	2	1.15041383700834e-08	1.86182927244974e-07	1.86154189434755e-07
YLR058C	P37291	SHM2	52.21793	0	0.00460893200631196	0	1.85729592583372e-07	0.00175413097006228	1.86672748580411e-07
YOR388C	Q08911	FDH1	41.7138	0	0.000260988780135957	0	4.66451891760205e-09	5.57725108751212e-09	4.96876297434127e-09
YAL044C	P39726	GCV3	18.79276	0	0	0	0	3.07611240455089e-11	0
YBR263W	P37292	SHM1	53.68589	0	0	0	0	0.00170598402928715	0
YDL066W	P21954	IDP1	48.18986	0	0	0	2.58711010720573e-08	2.85782574386779e-08	2.7583119601006e-08
YDR019C	P48015	GCV1	44.46849	0	0	0	0	3.07611240455089e-11	0
YDR148C	P19262	KGD2	50.43011	0	0	0	0	6.1383972497767e-10	0
YIL125W	P20967	KGD1	114.41496	0	0	0	0	6.1383972497767e-10	0
YMR189W	P49095	GCV2	114.45033	0	0	0	0	3.07611240455089e-11	0
