genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10058715534525e-07	2.10416021297341e-07	2.10188074822914e-07	1	4	0	1
YEL038W	P32626	UTR4	25.18714	2	1000	tightly_const	2	1.69851321901891e-07	1.69869809043494e-07	1.69851321901891e-07	0	6	2	1
YLR017W	Q07938	MEU1	37.85618	2	1000	tightly_const	2	7.70866189305846e-06	7.7097320284362e-06	7.70866189305846e-06	1	8	0	1
YLR209C	Q05788	PNP1	33.7546	2	1000	essential	2	1.57749152485613e-08	1.83347113847986e-08	1.57814790171608e-08	1	13	0	1
YMR009W	Q03677	ADI1	20.8791	2	1000	tightly_const	2	1.69851321901891e-07	1.69869809043494e-07	1.69851321901891e-07	0	6	2	1
YNL141W	P53909	AAH1	39.63458	2	1000	tightly_const	2	3.64263957236549e-07	3.64908349727004e-07	3.64408487406266e-07	1	9	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72298307274873e-08	2.72773887343837e-08	2.72466152002226e-08	1	6	0	1
YJR024C	P47095	MDE1	27.42662	2	1000	tightly_const	2	1.21469255292723e-07	1.21486457790958e-07	1.21469255292723e-07	1	3	0	1
YPR118W	Q06489	MRI1	45.01983	1	1000	essential	2	1.20014654647222e-10	2.00233689237751e-09	1.20014654647222e-10	1	2	0	1
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	3.25242290468508e-11	4.07533677562301e-09	1.5728024228112e-10	1	16	0	1
NAS2	Q9FKT9	NAS2	35.679	2	1000	tightly_const	2	0.00240509365988957	0.00240509365989438	0.00240509365988957	1	4	0	1
YLR044C	P06169	PDC1	61.49468	2	11.8651588262159	essential	2	8.79482143537564e-07	8.91965046874769e-07	8.81053937244361e-07	0	17	3	1
YAL038W	P00549	CDC19	54.54404	2	2.43758031168462	essential	2	1.9051878449951e-06	2.03903573652799e-06	2.0380278715143e-06	0	6	4	1
YGR254W	P00924	ENO1	46.81564	2	2.28211783963298	essential	2	1.91538241710513e-06	2.09149871270809e-06	2.08952095648622e-06	0	5	5	1
