Row	succinate	Growth	
YEL047C	1.076588837	1	
YJL052W	1.071811992	1	
YJR009C	1.069069915	1	
YGR192C	1.063699282	1	
YGL062W	1.052184502	1	
YBR218C	1.05218306	1	
YLR011W	1.02560411	1	
YKR067W	1.021926986	1	
YBL011W	1.020789591	1	
YOR374W	1.018730649	1	
YER073W	1.018729744	1	
YLR354C	1.018212148	1	
YKL060C	1.016897701	1	
YNL169C	1.016388911	1	
YAL038W	1.015980017	1	
YOR347C	1.015971006	1	
YGR170W	1.015590552	1	
YBR153W	1.015370449	1	
YGR043C	1.014551769	1	
YMR170C	1.014146134	1	
YGR254W	1.014092839	1	
YOR393W	1.01408577	1	
YHR163W	1.013897244	1	
YGR248W	1.013889121	1	
YMR110C	1.013803378	1	
YMR323W	1.013501337	1	
YPL281C	1.013472142	1	
YHR174W	1.012590173	1	
YDL131W	1.010735726	1	
YML126C	1.010234955	1	
YNL280C	1.010055771	1	
YMR205C	1.009816384	1	
YLR044C	1.009756302	1	
YGR175C	1.009726634	1	
YGR087C	1.009660528	1	
YLR134W	1.009659745	1	
YKL181W	1.009089155	1	
YFL045C	1.008825047	1	
YKL182W	1.008641668	1	
YOL061W	1.008640213	1	
YGL245W	1.008310881	1	
YDR234W	1.008141413	1	
YPL231W	1.007792859	1	
YER099C	1.006350971	1	
YHL011C	1.006347329	1	
YBL068W	1.006341921	1	
YGL148W	1.005776967	1	
YGL055W	1.005455979	1	
YCR012W	1.005337211	1	
YLR355C	1.004981681	1	
YGR264C	1.004877218	1	
YOR184W	1.004827923	1	
YER065C	1.004058152	1	ICL
YGR240C	1.004029816	1	
YMR306W	1.003908132	1	
YGR032W	1.003897781	1	
YLR304C	1.003586746	1	
YLR180W	1.003567567	1	
YJL200C	1.003541318	1	
YLR342W	1.00335146	1	
YHR183W	1.003317221	1	
YGR256W	1.003315226	1	
YAL054C	1.003084066	1	
YNR016C	1.002904396	1	
YER043C	1.002795084	1	
YBR196C	1.002738115	1	
YMR108W	1.002705906	1	
YOL140W	1.002621415	1	
YGL009C	1.002495949	1	
YOR095C	1.002479494	1	
YOR283W	1.002409561	1	
YMR217W	1.002407633	1	
YKL152C	1.002379482	1	
YIL078W	1.002292038	1	
YER069W	1.002264331	1	
YJL167W	1.002259	1	
YBR263W	1.00221231	1	
YOR375C	1.002181669	1	
YAL062W	1.002181563	1	
YPR145W	1.001875006	1	
YGR124W	1.001874819	1	
YER091C	1.001830053	1	
YGR204W	1.001535807	1	
YOR168W	1.00150684	1	
YPR074C	1.001485619	1	
YBR117C	1.001483498	1	
YOL086C	1.001451754	1	
YLR100W	1.00143257	1	
YDR127W	1.001423649	1	
YBL015W	1.001409499	1	
YGL012W	1.001394029	1	
YBR145W	1.001379848	1	
YLL018C	1.001373239	1	
YMR120C	1.00136771	1	
YER090W	1.001353546	1	
YKL211C	1.00134207	1	
YDR516C	1.001322138	1	
Q0130	1.001243135	1	
YMR220W	1.001172956	1	
YHR011W	1.001167274	1	
YDR023W	1.001163695	1	
YPL262W	1.00116111	1	
YHR020W	1.00110922	1	
YGR061C	1.001101879	1	
YLR028C	1.001059589	1	
YER170W	1.000952775	1	
YBR039W	1.000941255	1	
Q0085	1.00092711	1	
YJR016C	1.000924149	1	
YGL234W	1.000922591	1	
YPL078C	1.000921669	1	
YDR298C	1.000910015	1	
YKL016C	1.000901651	1	
YBL099W	1.000896776	1	
YDL004W	1.000893896	1	
YJR121W	1.000893451	1	
YLR295C	1.000885886	1	
YPR020W	1.00088241	1	
YDR377W	1.000877781	1	
YDR322C-A	1.000876819	1	
YOL077W-A	1.000867027	1	
YPL271W	1.000865256	1	
Q0080	1.000862162	1	
YML081C-A	1.000808453	1	
YBR256C	1.000750869	1	
YNL104C	1.0007176	1	
YNR043W	1.000712962	1	
YNL071W	1.000709417	1	
YLR420W	1.000695331	1	
YDR300C	1.000669806	1	
Q0045	1.000657431	1	
YLR359W	1.000645176	1	
YLR058C	1.000639935	1	
YPR081C	1.000633273	1	
YCL018W	1.000622975	1	
YFL018C	1.000622885	1	
YJL153C	1.000609506	1	
YDR226W	1.000572019	1	
YDL166C	1.000571245	1	
YER178W	1.000545414	1	
YBR115C	1.000520922	1	
YGR193C	1.000518557	1	
YOL097C	1.000489279	1	
YPL160W	1.000479528	1	
YGR185C	1.000476949	1	
YNL220W	1.000449956	1	
YKL085W	1.00043361	1	
YHR216W	1.000430122	1	
YML056C	1.000430093	1	
YLR432W	1.000430016	1	
YHR190W	1.000414324	1	
YGL154C	1.000412438	1	
YIL074C	1.000407259	1	
YLR174W	1.000397864	1	
YER055C	1.000387393	1	
YBR221C	1.000387276	1	
YJR139C	1.000362936	1	
YJR130C	1.000353491	1	
YGR060W	1.00034442	1	
YNL229C	1.000342488	1	
YCL009C	1.000341632	1	
YLL015W	1.000340707	1	
YNL191W	1.000340694	1	
YPL132W	1.000340694	1	
YPL214C	1.000340694	1	
YHL003C	1.000340694	1	
YEL017C-A	1.000340694	1	
YJL003W	1.000340694	1	
YOR321W	1.000340694	1	
YPR139C	1.000340694	1	
YBR293W	1.000340694	1	
YML059C	1.000340694	1	
YLL060C	1.000340694	1	
YKL218C	1.000340694	1	
YPL059W	1.000340694	1	
YDL066W	1.000340507	1	
YBL030C	1.000340494	1	
YBR085W	1.000340494	1	
YMR056C	1.000340494	1	
YGL063W	1.000340494	1	
YIL094C	1.000330046	1	
YKR080W	1.000326389	1	
YLR020C	1.000326362	1	
YML086C	1.000326362	1	
YLR109W	1.000326362	1	
YOR002W	1.000326362	1	
YLR099C	1.000326362	1	
YOR286W	1.000326362	1	
YBR222C	1.000326362	1	
YDR178W	1.000326362	1	
YMR087W	1.000326362	1	
YGR202C	1.000326362	1	
YHL012W	1.000326332	1	
YGR094W	1.000325657	1	
YMR281W	1.000323983	1	
YOL165C	1.000323983	1	
YJR149W	1.000323983	1	
YJR049C	1.000323983	1	
YMR101C	1.000323983	1	
YHR018C	1.000323725	1	
YBR252W	1.00030965	1	
YOL075C	1.00030965	1	
YPL252C	1.00030965	1	
YDL093W	1.000309132	1	
YIR034C	1.000308914	1	
YHR019C	1.00030663	1	
YDR341C	1.000305468	1	
YHR042W	1.000298811	1	
YPR035W	1.000287339	1	
YKL035W	1.000284212	1	
YBR018C	1.00027618	1	
YHR072W	1.000271044	1	
YOL066C	1.000262871	1	
YPR167C	1.000251911	1	
YHR007C	1.00023663	1	
YMR062C	1.000214872	1	
Q0275	1.000214406	1	
YOL058W	1.00021431	1	
YJL121C	1.000213479	1	
YDR037W	1.000208601	1	
YOR335C	1.000206257	1	
YDR287W	1.000205777	1	
YHR046C	1.000205446	1	
YHR025W	1.00020226	1	
YNR001C	1.00020214	1	
YML075C	1.000198765	1	
YLR450W	1.000198765	1	
YDR354W	1.000198724	1	
Q0250	1.000190422	1	
YPR001W	1.000188578	1	
YPR113W	1.000176968	1	
YMR208W	1.000176176	1	
YKL216W	1.000172823	1	
YKL127W	1.000168587	1	
YEL071W	1.000168082	1	
YDL178W	1.000167332	1	
YDL174C	1.00016634	1	
YMR105C	1.000160379	1	
YKL001C	1.000147541	1	
YDR272W	1.000145652	1	
YNL241C	1.000144958	1	
YBL076C	1.00014475	1	
YJR010W	1.000132504	1	
YBR029C	1.000127421	1	
YDR408C	1.000118739	1	
YLR395C	1.000117891	1	
YPR183W	1.000111351	1	
YOL126C	1.000105041	1	
YMR271C	1.000104899	1	
YOL064C	1.000100491	1	
YBR166C	1.000097206	1	
YML106W	1.000096575	1	
YML004C	1.000091576	1	
YDR050C	1.000090592	1	
YGR209C	1.000090394	1	
YLR043C	1.000090381	1	
YER003C	1.000088908	1	
YCL030C	1.000084039	1	
YBL039C	1.000078888	1	
YJR103W	1.000078783	1	
YMR261C	1.000076461	1	
YML100W	1.000076321	1	
YJR105W	1.000072384	1	
YDR074W	1.000066359	1	
YOR128C	1.000059377	1	
YKL067W	1.000057925	1	
YER052C	1.000055177	1	
YOR175C	1.00005398	1	
YDL055C	1.000052998	1	
YER081W	1.000051515	1	
YLR027C	1.000050372	1	
YPR033C	1.000049349	1	
YJR048W	1.000048279	1	
YOR323C	1.000045942	1	
YDR158W	1.00004506	1	
YKR089C	1.000042988	1	
YBR249C	1.000042839	1	
YDR035W	1.00004274	1	
YHR051W	1.000039728	1	
YMR300C	1.000039079	1	
YIL111W	1.000037873	1	
YGR244C	1.000037228	1	
YBR126C	1.000037155	1	
YJL088W	1.000037123	1	
YGL187C	1.00003706	1	
YJL130C	1.000036618	1	
YOR081C	1.000035335	1	
YDR353W	1.0000345	1	
YEL039C	1.000033637	1	
YGL125W	1.000032867	1	
YPL023C	1.000032735	1	
YIL020C	1.000030808	1	
YJR073C	1.000030707	1	
YLL058W	1.000030547	1	
YML082W	1.000030303	1	
YJR137C	1.000029678	1	
YNL247W	1.000028209	1	
YER086W	1.000027195	1	
YLR258W	1.000023962	1	
YFR015C	1.000023955	1	
YBR204C	1.000021811	1	
YNR050C	1.00002176	1	
YMR313C	1.000021537	1	
YFR030W	1.000021498	1	
YGL202W	1.000021083	1	
YAR015W	1.000018261	1	
YDL024C	1.000015372	1	
YBR248C	1.000015227	1	
YDR044W	1.000015115	1	
YJR148W	1.000015022	1	
YDR400W	1.000014361	1	
YEL063C	1.000014247	1	
YIL066C	1.000014247	1	
YJR110W	1.000014247	1	
YMR241W	1.000014247	1	
YOR109W	1.000014247	1	
YOR155C	1.000014247	1	
YGR208W	1.000014175	1	
YPL087W	1.000013978	1	
YJL137C	1.000013807	1	
YKR058W	1.000013423	1	
YDL015C	1.000011786	1	
YHR137W	1.000011683	1	
YMR020W	1.000011632	1	
YNR008W	1.000011632	1	
YLR089C	1.000011632	1	
YCL050C	1.000011561	1	
YIL053W	1.000011534	1	
YPR060C	1.000010563	1	
YNL045W	1.000010371	1	
YDL022W	1.000010332	1	
YOL059W	1.000010297	1	
YOR388C	1.000009304	1	
YGR155W	1.000009296	1	
YGR157W	1.00000926	1	
YHR144C	1.000009129	1	
YLR245C	1.000009105	1	
YDL095W	1.000009105	1	
YNR060W	1.000009105	1	
YNL334C	1.000009105	1	
YJR155W	1.000009105	1	
YNL331C	1.000009105	1	
YPL088W	1.000009105	1	
YDR367W	1.000009105	1	
YKL004W	1.000009105	1	
YKL188C	1.000009105	1	
YPL147W	1.000009105	1	
YDL090C	1.000009105	1	
YER005W	1.000009105	1	
YMR169C	1.000009105	1	
YGL224C	1.000009105	1	
YPL268W	1.000009105	1	
YDL243C	1.000009105	1	
