"chemicals"	"results_folder"	"ecModel"	"media"	"carbon_source"	"overexpression"	"downregulation"	"deletion"	"common_OE"	"common_KO_KD"	"ovlp_OE"	"ovlp_KO_KD"
"2-phenylethanol"	"2-phenylethanol_targets"	"ec2-phenylethanol.mat"	"Min"	"glucose"	"YGL148W,YHR137W,YNL316C,YPR074C,YDR380W"	"YAL038W,YBR166C"	"YDR035W,YBR249C,YPR060C,YGL202W"	"YGL148W,YNL316C,YDR380W"	NA	0.6	0
"3-Methyl-1-Butanol"	"3-methylbutanol_targets"	"ec3-methylbutanol.mat"	"YEP"	"glucose"	"YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C"	""	"YPL061W,YHR208W"	NA	NA	0	0
"4-hydroxymandelic"	"4-hydroxymandelic_acid_targets"	"ec4-hydroxymandelic_acid.mat"	"Min"	"glucose"	"YDR127W"	""	"YNL316C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C"	"YDR127W"	NA	1	0
"Adipic acid"	"adipic_acid_targets"	"ecAdipic_acid.mat"	"YEP"	"glucose"	""	""	"YDR035W,YBR249C,YNL241C"	NA	"YNL241C"	0	0.25
"Amorphadiene"	"amorphadiene_targets"	"ecAmorphadiene.mat"	"Min"	"glucose"	"YML075C,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YJL167W,YPL117C"	"YHR190W"	"YBR020W,YBR018C,YBR019C"	"YML075C,YMR220W,YMR208W,YNR043W,YJL167W,YPL117C"	NA	0.75	0
"Artemisinic acid"	"artemisinic-acid_targets"	"ecArtemisinic.mat"	"YEP"	"glucose"	"YML075C,YLR450W"	"YHR190W"	""	"YML075C"	NA	0.5	0
"Astaxanthin"	"astaxanthin_targets"	"ecAstaxanthin.mat"	"YEP"	"glucose"	"YML075C"	""	""	NA	NA	0	0
"_-Amyrin"	"beta_amyrin_targets"	"ecbeta_Amyrin.mat"	"YEP"	"glucose"	"YHR190W,YJL167W"	""	""	"YHR190W,YJL167W"	NA	1	0
"_-Carotene"	"beta_carotene_targets"	"ecbeta_Carotene.mat"	"YEP"	"glucose"	"YML075C"	""	""	NA	NA	0	0
"_-ionone"	"beta_ionone_targets"	"ecbeta_Ionone.mat"	"YEP"	"glucose"	"YJL167W,YML075C,YPL069C"	"YHR190W"	"YDR284C,YDR503C"	"YPL069C"	"YDR503C"	0.333333333333333	0.333333333333333
"Betaxanthin"	"betaxanthin_targets"	"ecBetaxanthin.mat"	"YEP"	"raffinose"	""	""	"YBR249C"	NA	NA	0	0
"Caffeic acid"	"caffeic_acid_targets"	"ecCaffeic_acid.mat"	"YEP"	"glucose"	""	""	"YDR380W,YLR134W"	NA	NA	0	0
"cis,cis-muconic acid"	"cis_muconate_targets"	"eccis_Muconate.mat"	"YEP"	"glucose"	""	""	"YDR035W,YBR249C,YNL241C"	NA	"YNL241C"	0	0.25
"p-coumaric acid"	"coumaric_acid_targets"	"ecCoumaric_acid.mat"	"YEP"	"glucose"	""	""	"YBR249C,YPR060C,YDR380W,YLR134W"	NA	NA	0	0
"p-coumaric acid"	"coumaric-acid_targets"	"ecCoumaric_acid_xylose.mat"	"Min"	"xylose"	""	""	"YBR249C,YPR060C,YDR380W,YLR134W"	NA	NA	0	0
"docosanol"	"docosanol_targets"	"ecDocosanol.mat"	"Min"	"glucose"	"YJL196C,YCR034W,YNR016C"	""	"YCR048W,YOR245C,YNR019W,YNR008W,YGL205W,YLR372W,YBR020W"	NA	NA	0	0
"Farnesene"	"farnesene_targets"	"ecFarnesene.mat"	"Min"	"glucose"	"YML075C,YJL167W,YDL215C"	"YHR190W"	"YDR503C,YDR284C,YOR375C"	"YML075C,YJL167W"	"YDR503C,YOR375C"	0.666666666666667	0.5
"FFA"	"ffas_targets"	"ecFFAs.mat"	"Min"	"glucose"	""	""	"YGL205W,YOR317W,YMR246W,YMR110C,YDL078C"	NA	NA	0	0
"Fumaric acid"	"fumaric_acid_targets"	"ecFumaric_acid.mat"	"Min"	"glucose"	"YBR218C"	""	""	NA	NA	0	0
"Geraniol"	"geraniol_targets"	"ecGeraniol.mat"	"YEP"	"glucose"	"YML075C,YPL117C,YJL167W"	""	""	"YML075C,YPL117C"	NA	0.666666666666667	0
"Glutathione"	"glutathione_targets"	"ecGlutathione.mat"	"YEP"	"glucose"	"YJL101C,YDR300C"	""	""	"YJL101C"	NA	0.5	0
"Hemoglobin"	"hemoglobin_targets"	"ecHemoglobin.mat"	"Min"	"glucose"	"YDL205C"	""	""	"YDL205C"	NA	1	0
