"families"	"KO_KD_genelist"
"alcohol"	"YAL062W,YBL039C,YDL052C,YER053C,YER070W,YIL066C,YJL026W,YJR077C,YMR145C,YNR019W,YOR222W,YOR245C,YPL134C"
"alkaloid"	"YBL039C,YBR218C,YER053C,YJR077C,YLL052C,YOR222W,YPL134C,YPR192W"
"amino acid"	"YBL039C,YDL052C,YER070W,YIL066C,YJL026W,YNR019W,YOR245C"
"bioamine"	"YBL039C,YDL052C,YER070W,YER081W,YGL080W,YGR243W,YHR162W,YIL066C,YJL026W,YMR145C,YNR019W,YOR245C,YBR117C,YCL040W,YFR053C,YGL253W,YGR138C,YLL028W,YMR020W,YOR273C,YPR069C,YPR156C,YDR071C,YLR446W"
"fatty acids and lipids"	"YAL062W,YBR218C,YNR019W,YOR222W,YOR245C,YPL134C"
"nucleic acid"	"YBL039C,YBR218C,YDL052C,YER070W,YIL066C,YJL026W,YNR019W,YOR222W,YOR245C,YOR317W,YPL134C,YCL040W,YDL238C,YDR399W,YFR053C,YGL253W,YMR101C,YLR446W"
"organic acid"	"YBL039C,YER070W,YIL066C,YJL026W,YOR222W,YOR317W,YPL134C,YCL040W,YFR053C,YGL253W,YLR446W"
"other"	"YAL062W,YBL039C,YBR218C,YDR502C,YMR145C,YER070W,YER081W,YGR180C,YIL066C,YLR438W,YMR246W,YOR317W"
"aromatic"	"YBL039C,YBR218C,YDR502C,YOR222W,YPL134C,YBR117C,YER070W,YER081W,YGR180C,YIL066C,YMR246W,YOR317W"
"flavonoid"	"YAL062W,YBL039C,YBR218C,YDR502C,YER053C,YJR077C,YLL052C,YMR145C,YOR222W,YPL023C,YPL134C,YPR192W,YER070W,YER081W,YGR180C,YIL066C,YLR438W,YMR246W,YOR317W"
"terpene"	"YBL039C,YER053C,YJR077C,YOR222W,YPL134C,YER081W"
"protein"	"YNR019W,YOR245C"
