genes	shortNames	enzymes	subSystems	sreticuline_2	phenylethanol_1	methylbutanol_1	hpasp_0	hpmalcoa_0	hydroxymandelicacid_4	acetaldehyde_14	acetate_13	adipicacid_13	alanine_3	alphaamylase_16	amorphadiene_19	ara_6	arginine_3	artemisinicacid_0	asparagine_3	aspartate_3	astaxanthin_10	betaamyrin_19	betacarotene_10	betaionone_19	betaxanthin_10	catechin_8	choline_2	cinnamate_4	cismuconate_13	citrate_13	citrulline_3	coumaricacid_0	cysteine_3	dha_6	docosanol_7	epa_6	ergosterol_17	ethylene_14	farnesene_19	ffas_6	fumaricacid_13	genistein_8	geraniol_19	glucagon_16	glutamate_3	glutamine_3	glutathione_3	glycerol_1	glycine_3	glycolate_13	guanine_12	hemoglobin_16	hexanoate_13	histidine_3	homoserine_3	hsa_16	hypoxanthine_2	isobutanol_1	isoleucine_3	itaconicacid_13	kaempferol_8	lpac_1	lactase_16	lactate_13	laurate_6	leucine_3	limonene_19	linalool_19	lupeol_19	lysine_3	malate_13	mandelicacid_4	methionine_3	nbutanol_1	narinrenin_0	nicotianamine_3	oleanolate_19	oleate_6	ornithine_3	oxoglutarate_13	palmitoleate_6	patchoulol_19	phenylalanine_3	proline_3	protopanaxadiol_19	psilocybin_2	putrescine_5	pyruvate_13	quercetin_8	rrbutanediol_1	resveratrol_18	santalene_19	serine_3	spermine_5	sucretca_6	threonine_3	thymidine_12	triacylglycerol_9	tryptophan_3	tyrosine_3	urea_14	valine_3	vanillinbetaglucoside_0	xanthine_2	xanthone_15
Q0045	COX1	P00401		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	-1	-1	1	-1
Q0080	ATP8	P00856		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	-1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	0	-1	1	-1
Q0085	ATP6	P00854		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	-1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	0	-1	1	-1
Q0105	COB	P00163		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	-1	-1	1	-1
Q0130	OLI1	P61829		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	-1	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	-1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	0	-1	1	-1
Q0250	COX2	P00410		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	-1	-1	1	-1
Q0275	COX3	P00420		-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	-1	0	-1	0	0	0	0	0	-1	0	-1	-1	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	-1	0	0	0	0	-1	0	0	-1	-1	0	1	-1	0	-1	0	0	0	0	0	1	0	0	0	1	-1	-1	1	-1
YAL012W	CYS3	P31373	sce00260  Glycine, serine and threonine metabolism // sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids //  // 	0	0	1	-1	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	-1	1	1	1	0	0	1	0	-1	1	1	0	0	0	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	-1	1	-1	0	1	1	0	1	0	0	0
YAL022C	FUN26			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL023C	PMT2	P31382		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YAL038W	CDC19	P00549		1	0	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	-1	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	0	1	1	1	1	-1	1	1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	0	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	0	1	1	-1	1	-1	-1	1	1	1	1	1
