genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDL238C	Q07729	GUD1	55.20292	2	1000	tightly_const	2	2.09598906687471e-07	2.09599954555117e-07	2.09598906687471e-07
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.91941996867822e-09	1.56397774048839e-09
YER037W	P40025	PHM8	37.7185	1	1000	subOpt_isoenz	2	0	3.53555596090976e-12	0
YKL106W	Q01802	AAT1	51.79484	1	1000	opt_isoenz	2	0	5.22171312490416e-05	2.11363567777928e-07
YLR209C	Q05788	PNP1	33.7546	1	1000	essential	2	2.30558846326896e-06	0.000633271740143862	2.30558846326896e-06
YMR278W	Q03262	PRM15	71.06819	1	1000	subOpt_isoenz	2	0	0.000300245878960756	0
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.48813817215861e-10	2.02737951297679e-10
YHR216W	P38697	IMD2	56.52936	1	156.624415435016	subOpt_isoenz	2	0	5.55260600741837e-05	0
YLR432W	P50095	IMD3	56.58423	1	156.624415435016	subOpt_isoenz	2	0	5.55260600741831e-05	0
YML056C	P50094	IMD4	56.39328	2	156.624415435016	opt_isoenz_tight	2	0	5.55260600741833e-05	5.55260047773629e-05
YMR217W	P38625	GUA1	58.48154	2	156.624415435016	tightly_const	2	0.000317659907686574	0.000317661489235696	0.000317659907686574
YBR296C		PHO89	NaN	1	91.0011982491899		2	NaN	NaN	NaN
YCR037C		PHO87	NaN	1	91.0011982491899		2	NaN	NaN	NaN
YJL198W		PHO90	NaN	1	91.0011982491899		2	NaN	NaN	NaN
YML123C		PHO84	NaN	1	91.0011982491899		2	NaN	NaN	NaN
YNR013C		PHO91	NaN	1	91.0011982491899		2	NaN	NaN	NaN
YAR015W	P27616	ADE1	34.60299	2	78.2974322029709	tightly_const	2	1.77163710471429e-06	1.77163898320349e-06	1.77163710471429e-06
YDR408C	P04161	ADE8	23.53994	2	78.2974322029709	tightly_const	2	1.82880166132848e-05	1.82880360042999e-05	1.82880166132848e-05
YGR061C	P38972	ADE6	148.90358	2	78.2974322029709	tightly_const	2	2.70667781156817e-05	2.70668068149282e-05	2.70667781156816e-05
YMR300C	P04046	ADE4	56.71874	2	78.2974322029709	tightly_const	2	2.46632200934743e-06	2.46632462441983e-06	2.46632200934744e-06
YOR128C	P21264	ADE2	62.33875	2	78.2974322029709	tightly_const	2	3.42900434943328e-06	3.42900798524989e-06	3.42900434943326e-06
YGL234W	P07244	ADE5,7	86.06721	2	78.2974321980508	tightly_const	2	3.91886070284676e-05	3.91886485806425e-05	3.91886070284675e-05
YLR028C	P54113	ADE16	65.28175	1	42.1941070643261	subOpt_isoenz	2	0	0.000358362296321012	0
YMR120C	P38009	ADE17	65.26269	1	42.1941070643261	opt_isoenz	2	0	0.000358467175828906	3.21242751578287e-05
YPR035W	P32288	GLN1	41.7656	2	24.6034883221719	tightly_const	2	7.9501653073072e-06	7.95027015627215e-06	7.95016530730715e-06
YBL068W	P38063	PRS4	35.71972	1	23.5973818783344	subOpt_isoenz	2	0	0.000211842518793588	0
YER099C	P38620	PRS2	34.76468	2	23.5973818783344	opt_isoenz_tight	2	0	0.000211842518793587	0.000211839839748582
YHL011C	P38689	PRS3	35.12352	1	23.5973818783344	subOpt_isoenz	2	0	0.000211842518793578	0
YKL181W	P32895	PRS1	47.04715	2	23.5973818783344	opt_isoenz_tight	2	0	0.000211842518793586	0.000211839839748582
YOL061W	Q12265	PRS5	53.50438	1	23.5973818783344	subOpt_isoenz	2	0	0.000211842518793604	0
YKL085W	P17505	MDH1	35.64959	1	8.49835299173521	essential	2	7.86037336468777e-08	0.000598142539549628	7.15833825700667e-07
YDR384C		ATO3	NaN	1	4.69675133720879		2	NaN	NaN	NaN
YGR121C		MEP1	NaN	1	4.69675133720879		2	NaN	NaN	NaN
YNL142W		MEP2	NaN	1	4.69675133720879		2	NaN	NaN	NaN
YPR138C		MEP3	NaN	1	4.69675133720879		2	NaN	NaN	NaN
YML120C	P32340	NDI1	57.24915	1	2.43439017518779	opt_isoenz	2	0	2.46859464303902e-05	8.2177319265904e-07
YDR226W	P07170	ADK1	24.2546	1	2.38419173005604	subOpt_isoenz	2	0	7.12922877832322e-06	0
YLL052C		AQY2	NaN	1	2.2591767519837		2	NaN	NaN	NaN
YPR192W		AQY1	NaN	1	2.2591767519837		2	NaN	NaN	NaN
YAL062W	P39708	GDH3	49.62653	1	2.00946683295248	subOpt_isoenz	2	0	1.09142985593055e-05	0
YOR375C	P07262	GDH1	49.56931	2	2.00946683295248	opt_isoenz_tight	2	0	1.09142985593056e-05	1.09141178496001e-05
YER053C		PIC2	NaN	1	1.89417694584369		2	NaN	NaN	NaN
YJR077C		MIR1	NaN	1	1.89417694584369		2	NaN	NaN	NaN
