genes	enzymes	shortNames	MWs	actions	k_scores
YDL238C	Q07729	GUD1	55.20292	1	1000
YDR300C	P32264	PRO1	47.16164	1	1000
YER037W	P40025	PHM8	37.7185	1	1000
YKL106W	Q01802	AAT1	51.79484	1	1000
YLR209C	Q05788	PNP1	33.7546	1	1000
YMR278W	Q03262	PRM15	71.06819	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
YHR216W	P38697	IMD2	56.52936	1	156.624415435016
YLR432W	P50095	IMD3	56.58423	1	156.624415435016
YML056C	P50094	IMD4	56.39328	1	156.624415435016
YMR217W	P38625	GUA1	58.48154	1	156.624415435016
YBR296C		PHO89	NaN	1	91.0011982491899
YCR037C		PHO87	NaN	1	91.0011982491899
YJL198W		PHO90	NaN	1	91.0011982491899
YML123C		PHO84	NaN	1	91.0011982491899
YNR013C		PHO91	NaN	1	91.0011982491899
YAR015W	P27616	ADE1	34.60299	1	78.2974322029709
YDR408C	P04161	ADE8	23.53994	1	78.2974322029709
YGR061C	P38972	ADE6	148.90358	1	78.2974322029709
YMR300C	P04046	ADE4	56.71874	1	78.2974322029709
YOR128C	P21264	ADE2	62.33875	1	78.2974322029709
YGL234W	P07244	ADE5,7	86.06721	1	78.2974321980508
YLR028C	P54113	ADE16	65.28175	1	42.1941070643261
YMR120C	P38009	ADE17	65.26269	1	42.1941070643261
YPR035W	P32288	GLN1	41.7656	1	24.6034883221719
YBL068W	P38063	PRS4	35.71972	1	23.5973818783344
YER099C	P38620	PRS2	34.76468	1	23.5973818783344
YHL011C	P38689	PRS3	35.12352	1	23.5973818783344
YKL181W	P32895	PRS1	47.04715	1	23.5973818783344
YOL061W	Q12265	PRS5	53.50438	1	23.5973818783344
YKL085W	P17505	MDH1	35.64959	1	8.49835299173521
YDR384C		ATO3	NaN	1	4.69675133720879
YGR121C		MEP1	NaN	1	4.69675133720879
YNL142W		MEP2	NaN	1	4.69675133720879
YPR138C		MEP3	NaN	1	4.69675133720879
YML120C	P32340	NDI1	57.24915	1	2.43439017518779
YDR226W	P07170	ADK1	24.2546	1	2.38419173005604
YLL052C		AQY2	NaN	1	2.2591767519837
YPR192W		AQY1	NaN	1	2.2591767519837
YAL062W	P39708	GDH3	49.62653	1	2.00946683295248
YOR375C	P07262	GDH1	49.56931	1	2.00946683295248
YER053C		PIC2	NaN	1	1.89417694584369
YJR077C		MIR1	NaN	1	1.89417694584369
YLR058C	P37291	SHM2	52.21793	1	1.63501325897825
YBL045C	P07256	COR1	50.22724	1	1.60064232141654
YDR529C	P00128	QCR7	14.56466	1	1.60064232141654
