Row	succinate	Growth	
YDR272W	1.020504277	1	
YML004C	1.020504197	1	
YGL187C	1.01991375	1	
YGL191W	1.01991375	1	
YHR051W	1.01991375	1	
YIL111W	1.01991375	1	
YLR038C	1.01991375	1	
YLR395C	1.01991375	1	
YMR256C	1.01991375	1	
Q0045	1.019913702	1	
Q0250	1.019913702	1	
Q0275	1.019913702	1	
YDL067C	1.019913702	1	
YBR196C	1.017107992	1	
YPL061W	1.005528567	1	
YOR184W	1.001158621	1	
YGR208W	1.001158251	1	
YGL256W	1.000455844	1	
YLR047C	1.000341632	1	
YPL280W	1.000340779	1	
YNL130C	1.000340694	1	
YLL048C	1.000340694	1	
YDL215C	1.000340694	1	
YOR391C	1.000340694	1	
YJR049C	1.000340694	1	
YKL215C	1.000340694	1	
YER037W	1.000340694	1	
YDR513W	1.000340694	1	
YAL012W	1.000340694	1	
YKL165C	1.000340694	1	
YMR303C	1.000340694	1	
YMR319C	1.000340694	1	
YNL334C	1.000340494	1	
YDL066W	1.000340494	1	IDP1
YNL048W	1.000340494	1	
YOR100C	1.000340494	1	
YER081W	1.000340494	1	SER3
YNR057C	1.000340494	1	
YLR209C	1.000326362	1	
YAL061W	1.000326362	1	
YAL023C	1.000326362	1	
YDL095W	1.000326362	1	
YDR403W	1.000326177	1	
YGR088W	1.000326174	1	
YPR069C	1.00032482	1	
YBR204C	1.00030945	1	
YPR074C	1.000306785	1	
YLR348C	1.000186684	1	
YLR174W	1.000101486	1	
YCL050C	1.000066237	1	
YNL117W	1.000038173	1	
YPL268W	1.000038156	1	
YDR502C	1.000037228	1	
YJR019C	1.000024042	1	
YKL188C	1.000022557	1	
YPL147W	1.000022557	1	
YHR100C	1.00001679	1	
YJR009C	1.000016659	1	
YML125C	1.000015487	1	
YNL037C	1.000015372	1	IDH1
YOR136W	1.000015372	1	
YGR240C	1.000014361	1	
YKL220C	1.000014267	1	
YKL088W	1.000014247	1	
YGR277C	1.000014247	1	
YIL145C	1.000014247	1	
YOR149C	1.000014247	1	
YHR063C	1.000014247	1	
YOL151W	1.000014247	1	
YDR437W	1.000014247	1	
YGR216C	1.000014247	1	
YNL038W	1.000014247	1	
YPL076W	1.000014247	1	
YPL096C-A	1.000014247	1	
YPL175W	1.000014247	1	
YBR004C	1.000014247	1	
YPL206C	1.000013995	1	
YKR058W	1.000011901	1	
YLR151C	1.000011786	1	
YMR169C	1.000011534	1	
YOR054C	1.000011497	1	
YMR110C	1.000011179	1	
YJL126W	1.000011051	1	
YER163C	1.0000105	1	
YJR025C	1.000010409	1	
YER024W	1.000010382	1	
YDR062W	1.000010268	1	
YMR296C	1.000010268	1	
YIL160C	1.000010237	1	
YDR248C	1.000010231	1	
YDR148C	1.000010231	1	
YDL174C	1.000010147	1	
YBR070C	1.00001005	1	
YGL047W	1.00001005	1	
YIR032C	1.000010033	1	
YML120C	1.000010033	1	
