Row	sensitivities
"YDL174C"	0
"YEL039C"	0
"YJR048W"	0
"YEL071W"	0.000347525145723742
"YDL178W"	0
"YAL060W"	0
"YML054C"	0
"YGR032W"	0
"YMR306W"	0.0198384554364555
"YLR342W"	0
"YCR034W"	0
"YIL020C"	4.11044367538423e-05
"YHR037W"	0
"YEL038W"	0
"YMR009W"	0
"YOL066C"	0.00113714553075352
"YBR153W"	0.0742137892316468
"YCL009C"	0
"YMR108W"	0.0140000439941062
"YNL256W"	0
"YER152C"	0
"YGL202W"	0.000355540501191608
"YJL060W"	0
"YHR063C"	0
"YDR035W"	0
"YBR249C"	9.84213364157014e-05
"YDR204W"	0
"YGL119W"	0
"YGR255C"	0
"YLR201C"	0
"YML110C"	0
"YOL096C"	0
"YOR125C"	0
"YGL009C"	0.0125418476015067
"YNL104C"	0.0032880469615413
"YOR108W"	0
"YHR208W"	0
"YJR148W"	0
"YHR137W"	0.00034808370728198
"YDR234W"	0.0395474941740141
"YPR001W"	0
"YOL064C"	0.000369903989611104
"YGL248W"	0
"YOR360C"	0
"YDR487C"	0
"YDR127W"	0.00663819404450858
"YBR265W"	0
"YPL252C"	0
"YDR376W"	0
"YDR538W"	0
"YDR539W"	0
"YLR231C"	0
"YKR009C"	0
"YJR025C"	0
"YER175C"	0
"YCL018W"	0.00283964019668277
"YGR087C"	0
"YLR044C"	0
"YLR134W"	0
"YBR176W"	0
"YDL080C"	0
"YNR033W"	0
"YMR289W"	0
"YGR019W"	0.0542969073211573
"YCR053W"	0
"YLR410W"	0
"YOR163W"	0
"YDR017C"	0
"YLR017W"	0
"YER037W"	0
"YGL224C"	0
"YOR155C"	0
"YGR061C"	0.00510923530081321
"YGL125W"	5.14969030114008e-05
"YPL023C"	0
"YDR232W"	0
"YER183C"	0
"YER091C"	0.00857307585263877
"YJR024C"	0
"YPR118W"	0
"YIL107C"	0
"YOL136C"	0
"YGR248W"	0
"YHR163W"	0
"YLR355C"	0.0231367403059846
"YIL160C"	0
"YPL028W"	0
"YMR207C"	0
"YDL141W"	0
"YNR016C"	0.0152273866449318
"YBL015W"	0
"YAL054C"	0
"YLR153C"	0.00265425667524972
"YER069W"	0.00902439873501708
"YBR093C"	0
"YAR071W"	0
"YBR092C"	0
"YHR215W"	0
"YPR002W"	0
"YOL140W"	0.0110519345757008
"YPL148C"	0
"YGL205W"	0
"YCR048W"	0
"YNR019W"	0
"YJL091C"	0
"YNL141W"	0
"YDR441C"	0
"YML022W"	0
"YJR105W"	0.000237656645129478
"YML035C"	0
"YER043C"	0.0146206262210837
"YOL052C"	0
"YNR058W"	0
"YJL005W"	0
"YDL166C"	0.00591874316086728
"YDR226W"	0
"YER170W"	0
"YLR359W"	0.00294444672264873
"YNL220W"	0.0020207979809915
"YKL001C"	0.000591979106653945
"YGR247W"	0
"YFL030W"	0
"YOR335C"	0.000869597268855276
"YGR177C"	0
"YOR377W"	0
"YMR303C"	0
"YDR368W"	0
"YHR104W"	0
"YGL256W"	0
"YMR083W"	0
"YBR145W"	0
"YDL168W"	0
"YOL086C"	0
"YCR105W"	0
"YMR318C"	0
"YMR110C"	0
"YMR169C"	0
"YMR170C"	0
"YPL061W"	0
"YOR374W"	0.00154197811253149
"YER073W"	0.00349519645326158
"YDR481C"	0
"YIR029W"	0
"YIR027C"	0
"YBR208C"	0
"YBR199W"	0
"YBR205W"	0
"YDR483W"	0
"YJL139C"	0
"YKR061W"	0
"YNL029C"	0
"YOR099W"	0
"YPL053C"	0
"YPR026W"	0
"YBR001C"	0
"YDR001C"	0
"YBR126C"	6.87611752071313e-05
"YDR074W"	0.000209512281638015
"YML100W"	0
"YMR261C"	0.000257179745248891
"YBR299W"	0
"YGR287C"	0
"YGR292W"	0
"YIL172C"	0
"YJL216C"	0
"YJL221C"	0
"YDR242W"	0
"YMR293C"	0
"YDR354W"	0.000833631778762636
"YER090W"	0.00630493637733242
"YKL211C"	0.00625039615177562
"YDR305C"	0
"YPL111W"	0
"YHR018C"	0
"YOL058W"	0.00090723345562115
"YDR341C"	0.00133822687923691
"YHR091C"	0
"YGR124W"	0
"YPR145W"	0.00878705829193438
"YHR019C"	0.00134332079197351
"YCR024C"	0
"YJL130C"	6.86767074526849e-05
"YER052C"	0.00073926032248433
"YLR027C"	0.000316080124500235
"YKL106W"	0
"YDR158W"	0.000583054999767321
"YLL018C"	0.00639854132770265
"YPL104W"	0
"YDR530C"	0
"YCL050C"	0
"YER055C"	0.00172568589317093
"Q0080"	0.0050020957615912
"Q0085"	0.0253999303812933
"Q0130"	0.067898134064247
"YBL099W"	0.0157027736442575
"YBR039W"	0.0300018995848723
"YDL004W"	0.0148151260085754
"YDR298C"	0.0198924674969067
"YDR322C-A"	0.00943021449304474
"YDR377W"	0.00981290363418677
"YJR121W"	0.0146742902418228
"YKL016C"	0.017259370346565
"YLR295C"	0.0122803618025452
"YML081C-A"	0.0057605313046451
"YPL078C"	0.0234947893793367
"YPL271W"	0.00580856230199819
"YPR020W"	0.0112228165958348
"YOL077W-A"	0.00650187907551661
"YCR024C-A"	0
"YEL017C-A"	0
"YGL008C"	0
"YPL036W"	0
"YER005W"	0
"YBR110W"	0
"YGR286C"	0
"YNL280C"	0.0486017560243533
"YMR015C"	0
"YGL001C"	0
"YLR100W"	0.00668061845209002
"YGR060W"	0
"YLR056W"	0
"YMR202W"	0
"YGL012W"	0.00495507561293918
