Row	succinate	Growth
FumC	1.052681445	1  ecFumC
YGL062W	1.042055179	1
YBR218C	1.042054398	1  PYC2
Q0130	1.041182149	1
YEL047C	1.039629949	1  FRDS
YKR067W	1.031241247	1
YGR192C	1.030815604	1
YBL011W	1.029677572	1
YJR009C	1.027815571	1
YJL052W	1.023637298	1
YNL169C	1.02356635	1
YBR153W	1.022146441	1
YGR170W	1.021967998	1
YGR019W	1.017977081	1
YDL131W	1.015692522	1
YML126C	1.014993974	1
YNL280C	1.014743836	1
YGR175C	1.013710557	1
YLR011W	1.013284796	1
YFL045C	1.013025597	1
YKL181W	1.012858025	1
YKL182W	1.012768631	1
YOL061W	1.012767929	1
YGL245W	1.012307431	1
YBR006W	1.012177835	1
YDR234W	1.012071548	1
YPL231W	1.01158394	1
YLR354C	1.010561371	1
YBR039W	1.010085127	1
YKL060C	1.009749695	1
YER099C	1.009567774	1
YHL011C	1.009561874	1
YBL068W	1.009553033	1
YBL045C	1.009468334	1
YGR043C	1.009292279	1
YAL038W	1.008669061	1
YOR347C	1.00866331	1
Q0085	1.008573538	1
YGL055W	1.008314514	1
Q0105	1.008264471	1
YGR264C	1.007973322	1
YPL078C	1.007944748	1
YPR191W	1.007711924	1
YGR254W	1.007604399	1
YOR393W	1.007600433	1
YMR323W	1.007599989	1
YPL281C	1.007599899	1
YJL200C	1.007457864	1
YOR184W	1.007452489	1
YLR355C	1.00714742	1
YLR304C	1.006869768	1
YDR298C	1.00675203	1
YHR174W	1.006719477	1
YOR065W	1.006566556	1
YMR205C	1.006280311	1
YOR375C	1.006173476	1
YAL062W	1.006172467	1
YMR306W	1.006145398	1
YGR032W	1.0061314	1
YMR250W	1.00605146	1
YKL016C	1.005890225	1
YJR121W	1.005464409	1
YBL099W	1.005356015	1
YLR180W	1.005244392	1
YDL004W	1.005058128	1
YFL018C	1.00504866	1
YLR342W	1.004911496	1
YNL071W	1.00483084	1
YNR016C	1.004738337	1
YEL024W	1.004586418	1
YER043C	1.00455188	1
Q0045	1.00453084	1
YMR108W	1.004361916	1
YER178W	1.004319733	1
YGR193C	1.004227426	1
YLR295C	1.004207862	1
YLR174W	1.00416433	1
YGL009C	1.003914161	1
YPR020W	1.003851853	1
YBR221C	1.003732244	1
YMR217W	1.003725944	1
YIL078W	1.003479447	1
YOL140W	1.003456153	1
YFR033C	1.003418603	1
YDR377W	1.003376443	1
YDR322C-A	1.003247455	1
YCR012W	1.003155173	1
YDR529C	1.002896216	1
YJL167W	1.002845808	1
YER069W	1.002831342	1
YPR145W	1.002771939	1
YGR124W	1.002757685	1
YGR240C	1.002749016	1
YER091C	1.002691917	1
YDR127W	1.002568731	1
Q0275	1.002349635	1
YOL077W-A	1.002255763	1
Q0250	1.002210801	1
YMR220W	1.002197821	1
YOR168W	1.002195946	1
YJL166W	1.002192997	1
YNR001C	1.002167706	1
YPR001W	1.00216675	1
YLR100W	1.002106926	1
YPL271W	1.00202004	1
YLL018C	1.00201976	1
YML081C-A	1.002003452	1
YER090W	1.00199185	1
YKL211C	1.001973772	1
YBR196C	1.001970951	1
YDL166C	1.001871021	1
YDR226W	1.001864365	1
Q0080	1.001745503	1
YJR139C	1.001738252	1
YHR001W-A	1.001723186	1
YHR011W	1.001716373	1
YDR023W	1.001711156	1
YOR283W	1.001664411	1
YHR020W	1.00163103	1
YGR061C	1.001620751	1
YGL012W	1.001572327	1
YMR120C	1.001558759	1
YLR028C	1.001558095	1
YGR183C	1.001501075	1
YML120C	1.001465675	1
YCL018W	1.001389716	1
YLR395C	1.001380389	1
YJR016C	1.001358759	1
YGL234W	1.001356465	1
YHR051W	1.001344618	1
YIL111W	1.001332897	1
YGL187C	1.001328803	1
YBR263W	1.001214927	1
YPL160W	1.001178797	1
YGL191W	1.001164402	1
YKL152C	1.001158648	1
YDL085W	1.001140152	1
YMR145C	1.001132201	1
YER073W	1.001119719	1
YOR374W	1.001119063	1
YMR170C	1.001113715	1
YBR256C	1.001103577	1
YKL085W	1.001074848	1
YMR110C	1.00106515	1
YNL104C	1.001055358	1
YNR043W	1.001047739	1
YLR420W	1.001001978	1
YHR025W	1.000968674	1
YLR359W	1.000947895	1
YLR058C	1.000940438	1
YPR081C	1.000931225	1
YDL066W	1.000930422	1
YJL153C	1.000896143	1
YDR516C	1.000858366	1
YLR153C	1.000857653	1
YAL054C	1.000855462	1
YBR115C	1.00076507	1
YLR038C	1.000759182	1
YOL097C	1.00071841	1
YEL046C	1.000706754	1
YGR185C	1.000700458	1
YNL220W	1.000661143	1
YDL178W	1.000643889	1
YML056C	1.000632679	1
YGR204W	1.000631791	1
YHR216W	1.000631409	1
YLR432W	1.000631375	1
YHR190W	1.000608237	1
YER055C	1.000570078	1
YKL067W	1.000557755	1
YDL055C	1.00054977	1
YOR095C	1.000548344	1
YOR128C	1.000546641	1
YDL067C	1.000540673	1
YMR256C	1.00053763	1
YPR033C	1.000535286	1
YJL137C	1.00048987	1
YOR081C	1.000487793	1
YIL094C	1.000484112	1
YDR300C	1.000484093	1
YMR313C	1.000481855	1
YHR208W	1.000481064	1
YCL064C	1.000480731	1
YHL012W	1.000479351	1
YGR094W	1.00047765	1
YAL035W	1.000474364	1
YEL017C-A	1.000474364	1
YOR381W	1.000474358	1
YNL333W	1.000474356	1
YBL030C	1.000474251	1
YBR085W	1.000474251	1
YMR056C	1.000474251	1
YLR328W	1.000474239	1
YIR036C	1.000474238	1
YGL065C	1.000474238	1
YBR036C	1.000474236	1
YBR161W	1.000474236	1
YJR025C	1.000474236	1
YBR243C	1.000474236	1
YDR196C	1.000474236	1
