genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YGR155W	P32582	CYS4	56.02121	2	1000	2	3.05590791346291e-08	3.14469717599293e-08	3.07447160076225e-08	1.00000973722968	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	2	1000	2	1.76458991955166e-09	2.13379867962358e-09	1.92286809609231e-09	1.00000156984024	1	5	0	1
PTS	Q49SP3	PTS	64.199	2	1000	2	0.0015306552726549	0.0015306552726549	0.0015306552726549	1.99185957084696	1	4	0	1
YDR380W	Q06408	ARO10	71.38357	2	92.471711334791	2	7.25731462543359e-09	7.95790424568762e-09	7.95594994490425e-09	1.00000388726079	1	4	0	1
YOR283W	Q12040	YOR283W	26.17622	2	3.51123105810914	2	6.24271986308964e-07	6.35320061130948e-07	6.31514960990506e-07	1.00008477687207	1	4	0	1
YCR012W	P00560	PGK1	44.73787	2	1.25800324669856	2	9.80076079754681e-07	9.82364485382009e-07	9.80158973151803e-07	1.00022321623335	1	4	0	1
YDR050C	P00942	TPI1	26.79508	2	1.25423110736086	2	3.03362336571034e-08	3.40585329796104e-08	3.03413211630748e-08	1.00000512915127	1	2	0	1
YMR205C	P16862	PFK2	104.61673	2	1.24489846821942	2	7.34058808727665e-07	7.37404860790931e-07	7.37310454094032e-07	1.00039188448027	1	9	0	1
YDR516C	Q04409	EMI2	55.92028	2	1.00082454901637	2	1.85761200522592e-07	1.86184905218538e-07	1.86178e-07	1.00005376674067	1	4	0	1
YDR226W	P07170	ADK1	24.2546	0	0.118834832971939	0	0	6.50277874919203e-08	0	1.000016994206	1	4	0	1
YLR153C	P52910	ACS2	75.49079	0	0.0219912640837283	0	0	2.6462379596686e-10	0	1.00000121181923	1	13	0	1
YJR130C	P47164	STR2	72.34965	0	0.0131263247366666	0	0	2.25967279540841e-09	0	1.00000266626376	1	11	0	1
YPR035W	P32288	GLN1	41.7656	0	0.010924901363693	0	0	6.58013326351963e-10	0	1.00000128788765	1	7	0	1
YKL085W	P17505	MDH1	35.64959	0	5.84707650247804e-07	0	0	2.76777258834977e-09	0	1.00000200936042	1	5	0	1
YBR263W	P37292	SHM1	53.68589	0	0	0	0	2.86721680263933e-09	0	1.00000256940087	1	5	0	1
YCL009C	P25605	ILV6	33.98652	0	0	0	0	6.89940348093926e-10	0	1.0000012470074	1	8	0	1
YCL018W	P04173	LEU2	38.95257	0	0	0	0	3.30703474786882e-10	0	1.00000113991372	1	5	0	1
YCL040W	P17709	GLK1	55.37689	0	0	0	0	2.18766031447799e-09	0	1.00000223724678	1	6	0	1
YCL050C	P16550	APA1	36.49211	0	0	0	0	3.93269928901489e-11	0	1.00000102400226	1	9	0	1
YCR053W	P16120	THR4	57.47349	0	0	0	0	1.50130268406274e-12	0	1.00000101023418	1	6	0	1
YDL066W	P21954	IDP1	48.18986	0	0	0	0	1.81818480839527e-10	0	1.0000010981589	1	5	0	1
YDL131W	Q12122	LYS21	48.59372	0	0	0	0	9.46789097594762e-10	0	1.00000147564182	1	6	0	1
YDR158W	P13663	HOM2	39.54334	0	0	0	0	5.21847734851897e-11	0	1.00000103037133	1	6	0	1
YDR234W	P49367	LYS4	75.14989	0	0	0	0	1.32539181680708e-09	0	1.00000201891497	1	6	0	1
YDR300C	P32264	PRO1	47.16164	0	0	0	0	5.57799097534316e-10	0	1.00000127607101	1	4	0	1
YDR353W	P29509	TRR1	34.23767	0	0	0	0	1.10682271399981e-09	0	1.00000139351627	1	6	0	1
YER023W	P32263	PRO3	30.13145	0	0	0	0	8.46980293506513e-12	0	1.00000101204403	1	6	0	1
YER052C	P10869	HOM3	58.10913	0	0	0	0	4.36279146084881e-11	0	1.0000010351511	1	4	0	1
YER069W	Q01217	ARG5,6	94.86823	0	0	0	0	4.19472253612242e-10	0	1.00000141267009	1	9	0	1
YER091C	P05694	MET6	85.85892	0	0	0	0	1.12959666559972e-09	0	1.00000199239118	1	7	0	1
YER152C	P10356	YER152C	49.48976	0	0	0	0	1.99393896043969e-09	0	1.00000200945774	1	6	0	1
YGL009C	P07264	LEU1	85.79356	0	0	0	0	1.1608313578896e-09	0	1.00000201880151	1	4	0	1
YGR208W	P42941	SER2	34.20684	0	0	0	0	6.70329702698673e-12	0	1.0000010116836	1	4	0	1
YHR025W	P17423	THR1	38.71215	0	0	0	0	1.53135027445874e-10	0	1.00000106944071	1	5	0	1
YIL094C	P40495	LYS12	40.06854	0	0	0	0	3.40136933190745e-11	0	1.00000102317221	1	6	0	1
YIR034C	P38998	LYS1	41.46445	0	0	0	0	3.1073264568545e-11	0	1.00000102241774	1	7	0	1
YJL088W	P05150	ARG3	37.84479	0	0	0	0	1.70035376159329e-11	0	1.0000010158814	1	5	0	1
YJR016C	P39522	ILV3	62.86049	0	0	0	0	2.87892914861263e-10	0	1.00000119277016	1	5	0	1
YJR139C	P31116	HOM6	38.50163	0	0	0	0	4.3865626534662e-10	0	1.00000118062407	1	7	0	1
YKL001C	Q02196	MET14	23.06018	0	0	0	0	8.58333798839683e-10	0	1.00000120996125	1	5	0	1
YLR043C	P22217	TRX1	11.23485	0	0	0	0	1.07868296466938e-09	0	1.00000113218179	1	23	0	1
YLR174W	P41939	IDP2	46.56172	0	0	0	0	2.11933070243481e-09	0	1.00000200945898	1	5	0	1
YLR304C	P19414	ACO1	85.36736	0	0	0	0	1.15582746908217e-09	0	1.00000200936024	1	8	0	1
YLR355C	P06168	ILV5	44.36792	0	0	0	0	1.96223550638129e-09	0	1.00000189169889	1	7	0	1
YMR062C	Q04728	ARG7	47.84821	0	0	0	0	2.06214623853329e-09	0	1.00000200936091	1	9	0	1
YMR108W	P07342	ILV2	74.93608	0	0	0	0	8.94079404456183e-10	0	1.00000168837949	1	8	0	1
YMR246W	P47912	FAA4	77.26612	0	0	0	0	1.37095854979133e-09	0	1.00000208292582	1	48	0	1
YNL104C	P06208	LEU4	68.40819	0	0	0	0	7.36966300771895e-10	0	1.00000152030111	1	13	0	1
YNR001C	P00890	CIT1	53.35945	0	0	0	0	1.46024048924781e-10	0	1.00000108832769	1	7	0	1
YNR050C	P38999	LYS9	48.91735	0	0	0	0	6.69197091852668e-13	0	1.00000100969147	1	7	0	1
YOL064C	P32179	MET22	39.14886	0	0	0	0	3.46520373212896e-10	0	1.00000114694506	1	4	0	1
YOL140W	P18544	ARG8	46.68082	0	0	0	0	1.04191326527589e-09	0	1.00000150228988	1	4	0	1
YOR184W	P33330	SER1	43.41501	0	0	0	0	2.1445694681815e-09	0	1.00000195307376	1	4	0	1
YOR317W	P30624	FAA1	77.86529	0	0	0	0	1.35961223045858e-09	0	1.00000208229699	1	52	0	1
YOR323C	P54885	PRO2	49.73991	0	0	0	0	7.23073247293134e-11	0	1.00000104590798	1	6	0	1
YOR388C	Q08911	FDH1	41.7138	0	0	0	0	1.75804929655417e-09	0	1.00000175269259	1	4	0	1
YPR001W	P43635	CIT3	53.81073	0	0	0	0	1.4592749886432e-10	0	1.0000010889429	1	9	0	1
YPR167C	P18408	MET16	30.3799	0	0	0	0	1.07904870855335e-09	0	1.00000134159269	1	7	0	1
YLR446W	Q06204	YLR446W	48.96875	0	0	0	0	2.01773650977508e-09	0	1.00000201073953	1	20	0	1
YJL200C	P39533	ACO2	86.58224	0	0	0	0	1.15038728918275e-09	0	1.00000201891557	1	7	0	1
YHR163W	P38858	SOL3	27.78417	2	1000	2	0	1.35026933667714e-07	1.21679231192468e-07	1.0000732895072	0	5	2	2
YHR183W	P38720	GND1	53.54274	2	1000	2	0	3.70952932817725e-08	3.3428343851199e-08	1.00001007921802	0	6	3	2
YOL086C	P00330	ADH1	36.84874	2	1000	2	4.96299181611914e-07	5.05320420382492e-07	5.03030356319725e-07	1.00009520268987	0	21	1	2
YAL038W	P00549	CDC19	54.54404	2	3.51123105810914	2	2.11443494508423e-06	2.26768718639705e-06	2.26746722492226e-06	1.00062772910351	0	6	4	2
YGR254W	P00924	ENO1	46.81564	2	3.51123105810914	2	2.08663097280885e-06	2.28928936842807e-06	2.28718153171697e-06	1.00054360537972	0	5	5	2
YJL052W	P00360	TDH1	35.74956	2	1.25800324669856	2	1.81359411283896e-05	1.8142460224214e-05	1.81396999236686e-05	1.00328715388472	0	8	6	2
YLR354C	P15019	TAL1	37.0359	2	1.22838237609986	2	3.50776339753599e-06	3.51225874434335e-06	3.50959431225485e-06	1.00065967528222	0	6	7	2
YLL052C		AQY2	NaN	0	0.0985251235077958	0	NaN	NaN	NaN	1.0000010093597	0	2	9	2
YPR192W		AQY1	NaN	0	0.0985251235077958	0	NaN	NaN	NaN	1.0000010093597	0	2	9	2
YOR222W		ODC2	NaN	0	0.0724027288973602	0	NaN	NaN	NaN	1.0000010093597	0	6	10	2
YPL134C		ODC1	NaN	0	0.0724027288973602	0	NaN	NaN	NaN	1.0000010093597	0	6	10	2
YMR189W	P49095	GCV2	114.45033	0	0.0549000049195647	0	0	1.15517475410915e-10	0	1.00000114201544	0	18	11	2
YAL044C	P39726	GCV3	18.79276	0	0.0549	0	0	1.15517475370768e-10	0	1.00000103002463	0	18	11	2
YDR019C	P48015	GCV1	44.46849	0	0.0549	0	0	1.15517475359414e-10	0	1.00000106008441	0	18	11	2
YGL080W		MPC1	NaN	0	0.0351416748610617	0	NaN	NaN	NaN	1.0000010093597	0	4	13	2
YGR243W		MPC3	NaN	0	0.0351416748610617	0	NaN	NaN	NaN	1.0000010093597	0	4	13	2
YHR162W		MPC2	NaN	0	0.0351416748610617	0	NaN	NaN	NaN	1.0000010093597	0	4	13	2
YER053C		PIC2	NaN	0	0.0214594078574427	0	NaN	NaN	NaN	1.0000010093597	0	4	14	2
YJR077C		MIR1	NaN	0	0.0214594078574427	0	NaN	NaN	NaN	1.0000010093597	0	4	14	2
YAL062W	P39708	GDH3	49.62653	0	0	0	0	1.66667281452129e-09	0	1.00000184762141	0	8	15	2
YBR115C	P07702	LYS2	155.34394	0	0	0	0	1.41434374329205e-11	0	1.00000103162685	0	8	16	2
