genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDL066W	P21954	IDP1	48.18986	2	1000	essential	2	2.56395840609056e-07	4.01929904643064e-07	3.1537658905729e-07	1	5	0	1	1	1
Pa_5_5120	3DSD	Pa_5_5120	40.48	2	1000	tightly_const	2	9.33340540274752e-07	9.33341523515829e-07	9.33340540274752e-07	1	3	0	1	1.00033208425609	1.00033474907278
ECL_01944	A0A0H3CJN8	ECL_01944	53.541	2	1000	tightly_const	2	1.25938750234407e-06	1.25938882906402e-06	1.25938750234407e-06	1	4	0	1	1.00059282525408	1.00059758364198
HQD2	P86029	HQD2	33.8	2	1000	tightly_const	2	7.1860061631247e-07	7.18601373332672e-07	7.1860061631247e-07	1	4	0	1	1.00021346193167	1.00021517465641
ERBC	G2TQU6	ERBC	72.835	2	1000	tightly_const	2	1.35321006698861e-05	1.35321006699132e-05	1.35321006698861e-05	1	5	0	1	1.00873587203619	1.00880656689982
ARO4K229L	P32449ly	ARO4K229L	39.7487	2	19.9025063229889	tightly_const	2	0.00141580724358872	0.00141581105788139	0.00141580724358872	1	5	0	1	3.08283556574309	3.13521931851254
YOR095C	Q12189	RKI1	28.25777	1	6.95705764770728	essential	2	4.3324704370607e-06	0.00101164400605571	4.33247043706075e-06	1	2	0	1	1.00470658322105	1.00474451778393
YJL121C	P46969	RPE1	25.96689	1	6.91655134911293	essential	2	3.6665177943309e-07	0.00109654709346485	3.66651779433091e-07	1	2	0	1	1.00036726710477	1.00037021435141
YBR196C	P12709	PGI1	61.29832	1	1.10778854254923	essential	2	3.79300781104406e-07	0.000464738117099647	3.79301117105948e-07	1	2	0	1	1.01813131803062	1.01827942313963
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz_tight	2	0	2.10335405917079e-07	2.10188074822914e-07	1	4	0	2	1.00329234635838	1.00331884466879
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz_tight	2	0	2.72657136843315e-08	2.72466152002226e-08	1	6	0	2	1.00045012826278	1.00045374075559
YBL039C	P28274	URA7	64.70953	0	0.289626218768426	subOpt_isoenz	0	0	4.15275477521087e-08	0	0	12	4	2	1.00000000000007	1.00000000000007
YER070W	P21524	RNR1	99.56021	0	0.282026481657666	subOpt_isoenz	0	0	4.872687510423e-07	0	0	24	5	2	0.999999999999955	0.999999999999952
YIL066C	P21672	RNR3	97.51369	0	0.282026481657666	subOpt_isoenz	0	0	4.87268751042635e-07	0	0	24	5	2	1.00000000000002	1.00000000000002
YJL026W	P09938	RNR2	46.14681	0	0.282026481657666	subOpt_isoenz	0	0	4.8726875104535e-07	0	0	24	5	2	1.00000000000012	1.00000000000012
YDL052C	P33333	SLC1	33.88654	0	0.236319962901463	subOpt_isoenz	0	0	2.97180862147827e-06	0	1	28	0	2	1.00000000000005	1.00000000000005
YBR218C	P32327	PYC2	130.16549	0	0.230305331706729	subOpt_isoenz	0	0	6.194787576692e-07	0	0	8	6	2	1.00000000000005	1.00000000000005
YDL171C	Q12680	GLT1	238.09944	0	0	subOpt_isoenz	0	0	6.05899139642291e-11	0	1	6	0	2	1.10262484074557	1.04010339171006
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	2.487941749236e-08	0	1	4	0	2	1.00000000000007	1.00000000000007
YJR069C	P47119	HAM1	22.09268	1	1000	opt_isoenz	2	0	0.00128840776211207	7.07329028990237e-12	1	16	0	3	1.00000115409984	1.00000116335786
YPR074C	P23254	TKL1	73.80488	1	383.283191412007	opt_isoenz	2	0	0.000387369919436862	1.69896662636053e-06	0	10	1	3	1.00244770128725	1.00246738478906
YFR053C	P04806	HXK1	53.73784	1	2.70526646965471	opt_isoenz	2	0	8.92854078545858e-07	1.6977889621932e-09	0	12	2	3	1	1
YGR254W	P00924	ENO1	46.81564	1	1.00506940104123	opt_isoenz	2	0	0.000608969662404651	9.58488539513808e-07	0	5	3	3	1.07773832652354	1.08045469267602
YOR283W	Q12040	YOR283W	26.17622	1	1.00506940104123	opt_isoenz	2	0	0.00108768016403136	2.64648802137937e-07	1	4	0	3	1.01230924677563	1.01240921483571
