genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YBL015W	P32316	ACH1	58.71137	1	1000	2	5.55824473675679e-07	0.00125792758816596	5.64269857832538e-07	1.000001000001	1	7	0	1
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.87025422063999e-07	1.87084199453013e-07	1.87042164919645e-07	1.000001000001	1	10	0	1
YDL080C	Q07471	THI3	68.36566	1	1000	2	3.87421138098276e-07	2.19007828383516e-05	3.87791195481013e-07	1.000001000001	1	7	0	1
YDL171C	Q12680	GLT1	238.09944	2	1000	2	3.7953104966442e-08	3.8265928594125e-08	3.81199442352102e-08	1.000001000001	1	6	0	1
YEL046C	P37303	GLY1	42.81463	2	1000	2	9.52592691061469e-08	9.53150441103423e-08	9.52697775853812e-08	1.000001000001	1	4	0	1
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60410997715549e-07	0.0014524974914402	5.60436169711178e-07	1.000001000001	1	10	0	1
YGR155W	P32582	CYS4	56.02121	2	1000	2	1.34258606882141e-05	1.34261316083675e-05	1.34260127837388e-05	1.000001000001	1	4	0	1
YHR037W	P07275	PUT2	64.43444	1	1000	2	5.75355290987789e-06	0.00115143937168974	5.75381134236809e-06	1.000001000001	1	9	0	1
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57621906562739e-07	2.57744402574438e-07	2.57633478172863e-07	1.000001000001	1	4	0	1
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44808987477555e-08	4.45230519528203e-08	4.44848807586346e-08	1.00000100000099	1	4	0	1
YNL241C	P11412	ZWF1	57.5209	2	1000	2	1.05807036751822e-06	1.05816725985697e-06	1.05812984698436e-06	1.000001000001	1	5	0	1
YOR374W	P46367	ALD4	56.72295	2	1000	2	1.12403469235027e-07	1.14263178382654e-07	1.14111365391062e-07	1.000001000001	1	21	0	1
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60379034904747e-05	1.60429438003816e-05	1.6039339232734e-05	1.000001000001	1	4	0	1
YDR380W	Q06408	ARO10	71.38357	2	92.4717113347962	2	7.9504315437677e-09	7.95619790742364e-09	7.95594994490425e-09	1.000001000001	1	4	0	1
YOR095C	Q12189	RKI1	28.25777	1	53.9323980734939	2	2.33314171942369e-05	0.00263576387130619	2.33327240913872e-05	1.00000100000099	1	2	0	1
YDR353W	P29509	TRR1	34.23767	2	48.2914879417877	2	8.51432157330345e-06	8.51441603256283e-06	8.51432157330345e-06	1.000001000001	1	6	0	1
YPR167C	P18408	MET16	30.3799	2	42.6734859823746	2	8.22441812817934e-05	8.22464672578183e-05	8.2246334891278e-05	1.00000100000099	1	7	0	1
YCL050C	P16550	APA1	36.49211	2	42.6734859823746	2	2.99846858589855e-06	2.9985698744138e-06	2.99856504854918e-06	1.00000100000099	1	9	0	1
YOL064C	P32179	MET22	39.14886	2	42.6734859823746	2	2.6168570162684e-05	2.61693102651304e-05	2.61692554012028e-05	1.000001000001	1	4	0	1
YKL001C	Q02196	MET14	23.06018	2	42.6734859823746	2	6.54214772205307e-05	6.54232956097013e-05	6.54231903181844e-05	1.00000100000099	1	5	0	1
YKL069W	P36088	YKL069W	19.73402	1	4.14654889560317	2	3.11747003530071e-07	0.00374114317989161	3.1228540658192e-07	1.000001000001	1	5	0	1
YKL029C	P36013	MAE1	74.37529	2	3.91112322175305	2	6.44050569220998e-08	2.15539042392726e-07	2.15417025403932e-07	1.000001000001	1	7	0	1
YER023W	P32263	PRO3	30.13145	2	3.74272191667038	2	6.23988134348866e-09	6.24541989791163e-09	6.24006547752955e-09	1.000001000001	1	6	0	1
YKL085W	P17505	MDH1	35.64959	1	2.48764186385062	2	6.87198254004501e-08	0.00207092933359018	1.7508314935704e-07	1.00000100000102	1	5	0	1
YOR184W	P33330	SER1	43.41501	2	1.19503784959697	2	0.000121791041200563	0.000129927445678654	0.000121793853392303	1.000001000001	1	4	0	1
YGR208W	P42941	SER2	34.20684	2	1.19503784959697	2	3.77190098152317e-07	4.02388759510746e-07	3.77198807585125e-07	1.000001000001	1	4	0	1
YOR317W	P30624	FAA1	77.86529	0	0.150918724609099	0	0	0.000948159956120361	0	1.00000100000099	1	52	0	1
YBL011W	P32784	SCT1	85.69341	0	0.144789861494223	0	0	3.82286977659283e-06	0	1.00000100000099	1	13	0	1
YPL061W	P54115	ALD6	54.41344	0	0.00180380230667515	0	0	2.78698517288237e-09	0	1.00000100000099	1	8	0	1
YAL054C	Q01574	ACS1	79.13997	0	0.00180380230667515	0	0	9.82588687109925e-10	0	1.000001000001	1	13	0	1
YLR153C	P52910	ACS2	75.49079	0	0.00180380230667515	0	0	9.82588694473161e-10	0	1.000001000001	1	13	0	1
