enzymes	genes	names	CC_lowGlc	CC_highGlc
A0A1L7LMC3	KLMA_90012	KLMA_90012	0	0
W0T294	KLMA_10065	KLMA_10065	0	0
W0T2B8	KLMA_10090	KLMA_10090	0	0
W0T2F2	KLMA_10125	KLMA_10125	0	0
W0T2K0	KLMA_10018	KLMA_10018	0	0
W0T2P5	KLMA_10220	KLMA_10220	0	0
W0T2R0	KLMA_10078	KLMA_10078	0	0
W0T2S9	KLMA_10260	KLMA_10260	0	0
W0T2U3	KLMA_10108	KLMA_10108	0	0
W0T2W9	KLMA_10305	KLMA_10305	0	0
W0T2Z0	KLMA_10153	KLMA_10153	0	0
W0T302	KLMA_10163	KLMA_10163	0	0
W0T382	KLMA_10435	KLMA_10435	0	0
W0T3A2	KLMA_10243	KLMA_10243	0	0
W0T3B0	KLMA_10253	KLMA_10253	0	0
W0T3E2	KLMA_10505	KLMA_10505	0	0
W0T3G4	KLMA_10313	KLMA_10313	0	0
W0T3H5	KLMA_10540	KLMA_10540	0	0
W0T3I1	KLMA_10545	KLMA_10545	0	0
W0T3K1	KLMA_10353	KLMA_10353	0	0
W0T3M6	KLMA_10383	KLMA_10383	0	0
W0T3N4	KLMA_10036	KLMA_10036	0	0
W0T3P9	KLMA_10051	KLMA_10051	0.0311455043451378	0.0311455043451378
W0T3S7	KLMA_10433	KLMA_10433	0	0
W0T3V0	KLMA_10655	KLMA_10655	0	0
W0T3V9	KLMA_10468	KLMA_10468	0	0
W0T3X2	KLMA_10483	KLMA_10483	0	0
W0T3X7	KLMA_10126	KLMA_10126	0	0
W0T3X8	KLMA_10488	KLMA_10488	0	0
W0T3Y2	KLMA_10493	KLMA_10493	0	0
W0T3Y7	KLMA_10498	KLMA_10498	0	0
W0T3Y8	KLMA_10670	KLMA_10670	0	0
W0T3Z8	KLMA_10508	KLMA_10508	0	0
W0T403	KLMA_10513	KLMA_10513	0	0
W0T423	KLMA_10705	KLMA_10705	0	0
W0T427	KLMA_10710	KLMA_10710	0	0
W0T443	KLMA_10735	KLMA_10735	0	0
W0T453	KLMA_10176	KLMA_10176	0	0
W0T462	KLMA_10186	KLMA_10186	0	0
W0T472	KLMA_10196	KLMA_10196	0	0
W0T484	KLMA_10598	KLMA_10598	0	0
W0T491	KLMA_10216	KLMA_10216	0	0
W0T492	KLMA_10024	KLMA_10024	0	0
W0T4A4	KLMA_10231	KLMA_10231	0	0
W0T4C3	KLMA_10633	KLMA_10633	0	0
W0T4E2	KLMA_20009	KLMA_20009	0	0
W0T4E3	KLMA_10653	KLMA_10653	0	0
W0T4E8	KLMA_10658	KLMA_10658	0	0
W0T4F1	KLMA_10079	KLMA_10079	0	0
W0T4F5	KLMA_10663	KLMA_10663	0	0
W0T4G1	KLMA_10089	KLMA_10089	0	0
W0T4H7	KLMA_10316	KLMA_10316	0	0
W0T4J0	KLMA_10336	KLMA_10336	0	0
W0T4J4	KLMA_10341	KLMA_10341	0	0
W0T4J5	KLMA_10124	KLMA_10124	0	0
W0T4J6	KLMA_20074	KLMA_20074	0	0
W0T4J7	KLMA_10678	KLMA_10678	0	0
W0T4K1	KLMA_10683	KLMA_10683	0	0
W0T4M1	KLMA_20099	KLMA_20099	0	0
W0T4N5	KLMA_10159	KLMA_10159	0	0
W0T4N6	KLMA_20114	KLMA_20114	0	0
W0T4P7	KLMA_20129	KLMA_20129	0	0
W0T4R5	KLMA_10763	KLMA_10763	0	0
W0T4S5	KLMA_10436	KLMA_10436	0	0
W0T4T5	KLMA_10179	KLMA_10179	0	0
W0T4U6	KLMA_10189	KLMA_10189	0	0
W0T4W6	KLMA_10818	KLMA_10818	0	0
W0T4W9	KLMA_10481	KLMA_10481	0	0
W0T4Y9	KLMA_10234	KLMA_10234	0	0
W0T4Z5	KLMA_10506	KLMA_10506	0	0
W0T4Z7	KLMA_10244	KLMA_10244	0	0
W0T500	KLMA_10511	KLMA_10511	0	0
W0T503	KLMA_20244	KLMA_20244	0	0
W0T517	KLMA_20259	KLMA_20259	0	0
W0T518	KLMA_20042	KLMA_20042	0	0
W0T533	KLMA_10546	KLMA_10546	0	0
W0T534	KLMA_20057	KLMA_20057	0	0
W0T536	KLMA_10289	KLMA_10289	0	0
W0T537	KLMA_20062	KLMA_20062	0	0
W0T541	KLMA_10294	KLMA_10294	0	0
W0T562	KLMA_20304	KLMA_20304	0	0
W0T570	KLMA_10581	KLMA_10581	0	0
W0T576	KLMA_20319	KLMA_20319	0	0
