enzymes	genes	names	CC_lowGlc	CC_highGlc
B5FVA8	YALI0B01771g	YALI0_B01771g	0	0
B5FVG3	YALI0E32164g	YALI0_E32164g	0	0
B5FVG6	YALI0E32736g	YALI0_E32736g	0	0
F2Z5Z7	YALI0B09361g	YALI0_B09361g	0	0
F2Z650	YALI0E01056g	YALI0_E01056g	0	0
F2Z672	YALI0B22308g	YALI0_B22308g	0	0
F2Z678	YALI0E17787g	ADH2	0.0613359403290706	0.0565885411948415
F2Z699	YALI0F25135g	NDH2	0	0
F2Z6C9	YALI0D04422g	NCP1	0	0
F2Z6G2	YALI0B11330g	YALI0_B11330g	0	0
F2Z6I5	YALI0E15378g	YALI0_E15378g	0	0
F2Z6J4	YALI0A09042g	COQ6	0	0
O74932	YALI0E14685g	TPS1	0	0
O74934	YALI0E32835g	POX1	0	0
O74935	YALI0F10857g	POX2	0	0
O74936	YALI0D24750g	POX3	0	0
P18120	YALI0C00407g	LEU2	0	0
P29407	YALI0D12400g	PGK1	0	0
P30614	YALI0F09185g	PYK1	0.0205281054984485	0
P34229	YALI0B15059g	FAS1	0	0
P38997	YALI0B15444g	LYS5	0	0
P41555	YALI0C16885g	ICL1	0	0
P41923	YALI0F21527g	URA5	0	0
P59680	YALI0D16357g	PFK1	0.0173383902512749	0.0106854342877497
Q05493	YALI0E18568g	POT1	0	0
Q12724	YALI0E26741g	URA3	0	0
Q12725	YALI0F05390g	EXG1	0	0
Q12726	YALI0F31075g	LYS1	0.0141471482886123	0
Q6BZP5	YALI0F31999g	YALI0F31999g	0	0
Q6BZQ3	YALI0F31735g	YALI0_F31735g	0	0
Q6BZS4	YALI0F31273g	YALI0_F31273g	0	0
Q6BZT7	YALI0F30987g	YALI0_F30987g	0	0
Q6BZU4	YALI0F30833g	YALI0_F30833g	0	0
Q6BZU5	YALI0F30811g	YALI0_F30811g	0	0
Q6BZU8	YALI0F30745g	YALI0_F30745g	0	0
Q6BZV1	YALI0F30679g	YALI0_F30679g	0	0
Q6BZW0	YALI0F30481g	YALI0_F30481g	0	0
Q6BZW6	YALI0F30349g	YALI0_F30349g	0	0
Q6BZX6	YALI0F30129g	YALI0_F30129g	0	0
Q6BZY1	YALI0F30019g	YALI0_F30019g	0	0
Q6BZY3	YALI0F29975g	YALI0_F29975g	0	0
Q6BZY8	YALI0F29843g	YALI0_F29843g	0	0
Q6BZZ9	YALI0F29337g	YALI0_F29337g	0	0
Q6C009	YALI0F28765g	YALI0_F28765g	0	0
Q6C012	YALI0F28655g	YALI0_F28655g	0	0
Q6C045	YALI0F27885g	YALI0_F27885g	0	0
Q6C055	YALI0F27665g	YALI0_F27665g	0	0
Q6C071	YALI0F27313g	YALI0_F27313g	0	0
Q6C074	YALI0F27247g	COQ4	0	0
Q6C090	YALI0F26785g	YALI0_F26785g	0	0
Q6C097	YALI0F26609g	HEM3	0	0
Q6C098	YALI0F26587g	YALI0_F26587g	0	0
Q6C0A1	YALI0F26521g	ADK2	0	0
Q6C0A4	YALI0F26455g	YALI0_F26455g	0	0
Q6C0A5	YALI0F26433g	YALI0_F26433g	0	0
Q6C0B4	YALI0F26191g	YALI0_F26191g	0	0
Q6C0B7	YALI0F26125g	YALI0_F26125g	0	0
Q6C0C8	YALI0F25817g	YALI0_F25817g	0	0
Q6C0D6	YALI0F25641g	YALI0_F25641g	0	0
Q6C0G0	YALI0F25047g	YALI0_F25047g	0	0
Q6C0G5	YALI0F24937g	YALI0_F24937g	0	0
Q6C0G7	YALI0F24893g	YALI0_F24893g	0.0837610261454512	0.0208691368151023
