genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YJL121C	P46969	RPE1	25.96689	1	10.0588272557645	essential	2	6.04155851263512e-07	0.00290074079429848	6.04263273892242e-07	1	2	0	1	1.00305796849274	1.00325330015788
YNL241C	P11412	ZWF1	57.5209	2	6.21071402605071	tightly_const	2	1.92021180673317e-07	1.92055119953935e-07	1.92050081915614e-07	1	5	0	1	1.00206003020717	1.00219147801358
YDR007W	P00912	TRP1	24.14425	2	5.02290344406487	tightly_const	2	4.8795793282172e-08	4.88016671708923e-08	4.8795793282172e-08	1	2	0	1	1.00009403742017	1.00010002530162
YGL026C	P00931	TRP5	76.62516	2	5.02290344406487	tightly_const	2	4.34019973254914e-09	4.34072219254896e-09	4.34019973254914e-09	1	5	0	1	1.00002654454518	1.00002823466151
YOL097C	Q12109	WRS1	49.34966	2	5.02290344406487	tightly_const	2	2.4049421059615e-06	2.40494242030148e-06	2.4049421059615e-06	1	6	0	1	1.00950830123224	1.01011981307299
YDR354W	P07285	TRP4	41.37402	2	5.02290344406487	tightly_const	2	1.16100427691918e-06	1.16114412471783e-06	1.16100427691918e-06	1	4	0	1	1.0038397898159	1.00408526471773
YER090W	P00899	TRP2	56.76706	2	5.02290344406487	tightly_const	2	5.8050213845959e-06	5.80513202592412e-06	5.8050213845959e-06	1	6	0	1	1.02657756853156	1.02831765804203
YKL211C	P00937	TRP3	53.48881	2	5.02290344406487	tightly_const	2	6.10834665159799e-06	6.1084630741798e-06	6.10834665159799e-06	1	10	0	1	1.02634890127832	1.02807361004319
YOR095C	Q12189	RKI1	28.25777	1	4.092696233627	essential	2	5.51208741690514e-06	0.0026705311321865	5.51272263887553e-06	1	2	0	1	1.02742853403589	1.02922592420603
YDR341C	Q05506	YDR341C	69.5242	2	3.63645925482934	tightly_const	2	7.90964144056667e-07	7.90964283170527e-07	7.90964144056667e-07	1	6	0	1	1.00516906998698	1.00549999038046
YHR018C	P04076	ARG4	51.9886	1	3.63645925482934	essential	2	4.83217352339168e-09	0.00144854457948778	4.83217352339168e-09	1	3	0	1	1.00002357684152	1.00002507799662
YJL088W	P05150	ARG3	37.84479	2	3.63645925482934	tightly_const	2	1.72661616730974e-07	1.72668423995946e-07	1.72661616730974e-07	1	5	0	1	1.00061336010848	1.00065243770403
YOL058W	P22768	ARG1	46.92715	1	3.63645925482934	essential	2	8.20674421572286e-07	0.0016055948184855	8.20674421572286e-07	1	7	0	1	1.00361833635476	1.00384959961015
YGR264C	P00958	MES1	85.67702	2	3.60413355295413	tightly_const	2	1.08069690535214e-05	1.08069709696791e-05	1.08069690535214e-05	1	6	0	1	1.08968963365577	1.09594800385101
YOR168W	P13188	GLN4	93.13159	2	3.47918355481212	tightly_const	2	2.78813589847117e-06	2.78813640885501e-06	2.78813589847117e-06	1	6	0	1	1.02513323623618	1.02677629575657
YPR167C	P18408	MET16	30.3799	2	3.22286308598714	tightly_const	2	1.2936703014398e-06	1.29388963209172e-06	1.2936703014398e-06	1	7	0	1	1.00393954884652	1.00419142789751
YFR030W	P39692	MET10	114.82714	2	3.22286308598714	tightly_const	2	2.90246991291229e-08	2.90267558662003e-08	2.90246991291229e-08	0	6	5	1	1.00033374692011	1.00035500384629
YKL001C	Q02196	MET14	23.06018	2	3.22286308598714	tightly_const	2	1.0290554400018e-06	1.0292299074848e-06	1.0290554400018e-06	1	5	0	1	1.00237767087081	1.00252943807023
YOL064C	P32179	MET22	39.14886	2	3.22286308598714	tightly_const	2	4.11615180420675e-07	4.11699997408336e-07	4.11621849995887e-07	1	4	0	1	1.00161427165957	1.00171722745874
