genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10172506863555e-07	2.10436189653951e-07	2.10188074822914e-07	1	4	0	1
YOL086C	P00330	ADH1	36.84874	sce00010  Glycolysis / Gluconeogenesis sce00071  Fatty acid degradation sce00350  Tyrosine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	1000	essential	2	1.99965488056068e-09	9.70970633330163e-09	7.60014701363945e-09	1	21	0	1
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72363771297275e-08	2.72792986934814e-08	2.72466152002226e-08	1	6	0	1
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	1.42767511450752e-10	4.24198003492912e-09	1.5728024228112e-10	1	16	0	1
VS	S4SC87	VS	69.219		2	1000	tightly_const	2	0.00126874524723595	0.00126874524723849	0.00126874524723595	1	3	0	1
YLR044C	P06169	PDC1	61.49468	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites	2	12.2415940202229	essential	2	9.81976171474167e-07	1.03682998582333e-06	9.82651449580848e-07	1	17	0	1
YJL167W	P08524	ERG20	40.48289	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	2.92299701528185	tightly_const	2	8.82665805962927e-06	8.82685083829092e-06	8.82665805962927e-06	1	5	0	1
YMR208W	P07277	ERG12	48.45901	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce04146  Peroxisome	2	2.92299701528185	tightly_const	2	6.65021967107405e-07	6.65037067230917e-07	6.65021967107405e-07	1	11	0	1
YMR220W	P24521	ERG8	50.45437	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	2.92299701528185	tightly_const	2	4.28352708530484e-06	4.28362450517243e-06	4.28352708530484e-06	1	4	0	1
YNR043W	P32377	MVD1	44.11544	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	2.92299701528185	tightly_const	2	2.97224274867681e-06	2.97230769894584e-06	2.97224274867681e-06	1	6	0	1
YPL117C	P15496	IDI1	33.35113	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	1	2.92299701528185	essential	2	1.62363495704009e-10	2.87514222969485e-09	1.62363495704009e-10	1	2	0	1
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	2.45470453428689	essential	2	1.90109753806564e-06	2.04057653491861e-06	2.03624786563071e-06	1	6	0	1
YGR254W	P00924	ENO1	46.81564	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	2	2.29800057403768	essential	2	1.90944151420373e-06	2.09351827661065e-06	2.08772547448827e-06	1	5	0	1
YOR283W	Q12040	YOR283W	26.17622	sce00NNN  None	2	2.29800057403768	essential	2	5.70957866468313e-07	5.80968243941977e-07	5.7644303842844e-07	1	4	0	1
YLR354C	P15019	TAL1	37.0359	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.24027370010775	tightly_const	2	3.23393178924191e-06	3.26109851782913e-06	3.23426697640492e-06	1	6	0	1
YCR012W	P00560	PGK1	44.73787	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22638254966876	tightly_const	2	9.11964600773618e-07	9.15641740845013e-07	9.11951909061149e-07	1	4	0	1
YJL052W	P00360	TDH1	35.74956	sce00010  Glycolysis / Gluconeogenesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.22638254966876	tightly_const	2	1.68769654679273e-05	1.69121737707379e-05	1.68773988998863e-05	1	8	0	1
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.2247812879946	essential	2	2.82462982750281e-08	3.17152655370469e-08	2.8243773908122e-08	1	2	0	1
YMR205C	P16862	PFK2	104.61673	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids sce03018  RNA degradation	2	1.21791681005674	tightly_const	2	6.87046587834299e-07	6.9024827808746e-07	6.87422926061415e-07	1	9	0	1
YBR196C	P12709	PGI1	61.29832	sce00010  Glycolysis / Gluconeogenesis sce00030  Pentose phosphate pathway sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	1.15682501547047	essential	2	3.66916946514571e-07	3.72346843254789e-07	3.66971995555496e-07	1	2	0	1
YML075C	P12683	HMG1	115.62448	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	2.92299701528185	opt_isoenz_tight	2	0	3.14910829494401e-07	3.14898563147462e-07	1	7	0	2
YPL023C	P46151	MET12	73.94088	sce00670  One carbon pool by folate sce01200  Carbon metabolism	0	0.293884450454312	subOpt_isoenz	0	0	1.4093216735833e-08	0	0	6	1	2
YDR502C	P19358	SAM2	42.2555	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	0	0.293827460547136	subOpt_isoenz	0	0	2.09035570233142e-09	0	0	7	2	2
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	0	0.292271886118829	subOpt_isoenz	0	0	5.14598211607928e-07	0	0	8	3	2
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	0	0.258201785040242	subOpt_isoenz	0	0	3.6758727373386e-08	0	0	12	5	2
YDR231C	Q04935	COX20	23.75778	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YGR062C	P53239	COX18	35.64994	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YHR116W	P38824	COX23	17.31758	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YJL003W	P47081	COX16	14.07686	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YLL018C-A	Q3E731	COX19	11.10542	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YPL132W	P19516	COX11	34.04384	sce00190  Oxidative phosphorylation	0	0.225405631438596	subOpt_isoenz	0	0	3.38426768803927e-10	0	0	7	8	2
YMR145C	P40215	NDE1	62.77345	sce00NNN  None	0	0.221883618657273	subOpt_isoenz	0	0	8.11500178658788e-08	0	0	6	10	2
YAL062W	P39708	GDH3	49.62653	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00910  Nitrogen metabolism	0	0.129058710711812	subOpt_isoenz	0	0	1.34295915381338e-06	0	0	8	13	2
YER081W	P40054	SER3	51.1927	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	0	0.0284390447736428	subOpt_isoenz	0	0	2.98334619394507e-08	0	0	6	14	2
YLR438W	P07991	CAR2	46.08557	sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	0	0	subOpt_isoenz	0	0	1.58888454363178e-11	0	1	4	0	2
YMR246W	P47912	FAA4	77.26612	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0	subOpt_isoenz	0	0	1.21760790465255e-09	0	1	48	0	2
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0	subOpt_isoenz	0	0	1.20764780539349e-09	0	1	52	0	2
YOR388C	Q08911	FDH1	41.7138	sce00630  Glyoxylate and dicarboxylate metabolism sce01200  Carbon metabolism	0	0	subOpt_isoenz	0	0	1.57754488438269e-09	0	1	4	0	2
YBL015W	P32316	ACH1	58.71137	sce00620  Pyruvate metabolism	1	1000	opt_isoenz	2	0	1.55148039164944e-09	1.2969475940736e-11	1	7	0	3
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000	opt_isoenz	2	0	1.15328673253031e-09	1.59461388661699e-12	1	11	0	3
YOR222W		ODC2	NaN		0	0.259412909906841		0	NaN	NaN	NaN	0	6	4	3
YPL134C		ODC1	NaN		0	0.259412909906841		0	NaN	NaN	NaN	0	6	4	3
YEL039C	P00045	CYC7	12.53211	sce00NNN  None	0	0.225405631438596	unusable	0	0	6.71600859733394e-13	0	0	16	7	3
YJR048W	P00044	CYC1	12.18177	sce00NNN  None	0	0.225405631438596	subOpt_isoenz	0	0	2.27084454194752e-11	0	0	16	7	3
YER053C		PIC2	NaN		0	0.17072302501543		0	NaN	NaN	NaN	0	4	12	3
