genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YKL029C	P36013	MAE1	74.37529	OE	20.4781637712066	tightly_const	2	1.10874469350096e-06	1.10901198922229e-06	1.10877523771367e-06	1	7	0	1	1.01316963813393	1.0138621212028	0.021571177536633
YHR183W	P38720	GND1	53.54274	OE	4.35637202010419	opt_isoenz_tight	2	0	2.74933604578199e-06	2.74924823871501e-06	0	6	3	2	1.04210346962278	1.04438399291821	0
YGL062W	P11154	PYC1	130.09827	OE	3.19718910405991	opt_isoenz_tight	2	0	2.95162686077212e-06	2.95109811607797e-06	0	8	4	2	1.07678613240057	1.08109141468078	0.0847200964905098
YBL039C	P28274	URA7	64.70953	KD	0.291099582514149	subOpt_isoenz	0	0	4.1528900465302e-08	0	0	12	10	2	0.999999999999981	0.999999999999966	0
YER070W	P21524	RNR1	99.56021	KD	0.286059913771319	subOpt_isoenz	0	0	4.87266676414996e-07	0	0	24	11	2	1.00000000000003	1.00000000000002	0
YIL066C	P21672	RNR3	97.51369	KD	0.286059913771319	subOpt_isoenz	0	0	4.87266676415622e-07	0	0	24	11	2	1.00000000000003	1.00000000000002	0
YJL026W	P09938	RNR2	46.14681	KD	0.286059913771319	subOpt_isoenz	0	0	4.87266676416471e-07	0	0	24	11	2	1.00000000000006	1.00000000000005	0
YDR231C	Q04935	COX20	23.75778	KD	0.284834162957928	subOpt_isoenz	0	0	9.73232305815261e-05	0	0	7	15	2	1	0.999999999999988	0
YDL052C	P33333	SLC1	33.88654	KD	0.267614451114499	subOpt_isoenz	0	0	2.9721116284235e-06	0	1	28	0	2	1	0.999999999999991	0
YCL040W	P17709	GLK1	55.37689	KD	0.249729557529769	subOpt_isoenz	0	0	8.9285447313596e-07	0	1	6	0	2	1.00000000000024	1.00000000000024	0
YGL253W	P04807	HXK2	53.9419	KD	0.249729557529769	subOpt_isoenz	0	0	1.93087633488113e-06	0	0	12	16	2	1.00000000000006	1.00000000000005	0
YLR446W	Q06204	YLR446W	48.96875	KD	0.249729557529769	subOpt_isoenz	0	0	0.000146491935489313	0	1	20	0	2	1.00000000000026	1.00000000000026	0
YNR019W	P53629	ARE2	74.022	KD	0.207585615360339	subOpt_isoenz	0	0	0.00115257435982514	0	1	84	0	2	1.00000000000026	1.00000000000026	0
YOR245C	Q08650	DGA1	47.71075	KD	0.164378423040509	subOpt_isoenz	0	0	1.01733999419704e-07	0	1	122	0	2	1.00000000000026	1.00000000000026	0
YER081W	P40054	SER3	51.1927	KD	0.109951533061848	subOpt_isoenz	0	0	2.06405001961769e-07	0	0	6	19	2	1	0.999999999999989	0
YEL039C	P00045	CYC7	12.53211	KD	0.284834162957928	subOpt_isoenz	0	0	2.66652610006081e-12	0	0	16	14	3	1.00000000000026	1.00000000000026	0
