genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10046833036711e-07	2.10438175907417e-07	2.10188074822914e-07	1	4	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.7238909331833e-08	2.72803541875225e-08	2.72466152002226e-08	1	6	0	1
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.42625253489477e-11	4.32647232646463e-09	1.5728024228112e-10	1	16	0	1
C3H	O22203	C3H	57.927	2	1000	tightly_const	2	0.00156120306759124	0.00156120306759436	0.00156120306759124	1	2	0	1
TAL	A0A1M4NET9	TAL	55.539	2	1000	tightly_const	2	1.5655867103803e-08	1.56558671038343e-08	1.5655867103803e-08	1	3	0	1
YLR044C	P06169	PDC1	61.49468	2	12.2021897510826	tightly_const	2	8.28459477761005e-07	8.36539646643189e-07	8.30462950432292e-07	0	17	2	1
YAL038W	P00549	CDC19	54.54404	2	2.44557214185785	essential	2	1.89414058092753e-06	2.03642442897579e-06	2.03595485548979e-06	0	6	3	1
YGR254W	P00924	ENO1	46.81564	2	2.29369562182564	essential	2	1.90535170532576e-06	2.09316910501892e-06	2.09120094035649e-06	0	5	4	1
YOR283W	Q12040	YOR283W	26.17622	2	2.29369562182564	essential	2	5.70693384756637e-07	5.80921447321931e-07	5.77402651236499e-07	1	4	0	1
YLR354C	P15019	TAL1	37.0359	2	1.26300492556299	tightly_const	2	3.26545159063355e-06	3.27016526751703e-06	3.26547364649884e-06	0	6	5	1
YMR205C	P16862	PFK2	104.61673	2	1.22717464524081	tightly_const	2	6.87864732061702e-07	6.9118193211508e-07	6.90876775628755e-07	1	9	0	1
YDR050C	P00942	TPI1	26.79508	2	1.22572987047234	essential	2	2.83802666402367e-08	3.18236350581187e-08	2.83861143832103e-08	1	2	0	1
YJL052W	P00360	TDH1	35.74956	2	1.22410910749159	tightly_const	2	1.69014869404031e-05	1.69088650846159e-05	1.69049629157155e-05	0	8	6	1
YCR012W	P00560	PGK1	44.73787	2	1.22410910749159	tightly_const	2	9.13346766998023e-07	9.15460360021968e-07	9.13441300702947e-07	1	4	0	1
YBR196C	P12709	PGI1	61.29832	2	1.19220130567723	tightly_const	2	3.72791637340663e-07	3.74508643834015e-07	3.73005193260158e-07	1	2	0	1
YPL023C	P46151	MET12	73.94088	0	0.293884450454307	subOpt_isoenz	0	0	1.40932977874634e-08	0	0	6	7	2
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.13799422867053e-09	0	0	7	8	2
YBR218C	P32327	PYC2	130.16549	0	0.278021491791982	subOpt_isoenz	0	0	5.0731227301249e-07	0	0	8	11	2
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67434750980943e-08	0	0	12	13	2
YMR145C	P40215	NDE1	62.77345	0	0.212400468372957	subOpt_isoenz	0	0	8.27811734467204e-08	0	0	6	14	2
YAL062W	P39708	GDH3	49.62653	0	0.126823910873898	subOpt_isoenz	0	0	1.35109721640243e-06	0	0	8	20	2
YER081W	P40054	SER3	51.1927	0	0.0284390260234178	subOpt_isoenz	0	0	2.98374532870111e-08	0	0	6	21	2
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	1.61535263942424e-11	0	1	4	0	2
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.27112683527112e-09	0	1	48	0	2
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.23668031545239e-09	0	1	52	0	2
YOR388C	Q08911	FDH1	41.7138	0	0	subOpt_isoenz	0	0	2.19296551846787e-09	0	1	4	0	2
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.15592343088768e-09	1.59461388661699e-12	1	11	0	3
YKL060C	P14540	FBA1	39.62024	2	1.22717464524081	opt_isoenz	2	0	3.90765879290388e-09	3.86295560903249e-09	1	7	0	3
YLL052C		AQY2	NaN	0	0.28541372477532		0	NaN	NaN	NaN	0	2	10	3
YPR192W		AQY1	NaN	0	0.28541372477532		0	NaN	NaN	NaN	0	2	10	3
YOR222W		ODC2	NaN	0	0.261179255594251		0	NaN	NaN	NaN	0	6	12	3
YPL134C		ODC1	NaN	0	0.261179255594251		0	NaN	NaN	NaN	0	6	12	3
YER053C		PIC2	NaN	0	0.151183565622509		0	NaN	NaN	NaN	0	4	19	3
YJR077C		MIR1	NaN	0	0.151183565622509		0	NaN	NaN	NaN	0	4	19	3
YER070W	P21524	RNR1	99.56021	0	0	subOpt_isoenz	0	0	9.2121130797447e-10	0	0	24	23	3
YGR180C	P49723	RNR4	40.05407	0	0	subOpt_isoenz	0	0	2.39120279400398e-09	0	0	24	23	3
YIL066C	P21672	RNR3	97.51369	0	0	subOpt_isoenz	0	0	9.59177553981997e-10	0	0	24	23	3
