genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YEL046C	P37303	GLY1	42.81463	2	1000	tightly_const	2	2.40659430608091e-07	2.40714433961392e-07	2.40659676297973e-07	1	4	0	1
YLR174W	P41939	IDP2	46.56172	1	28.4394448571368	essential	2	2.49376607660419e-06	0.0018880399635869	2.53539461239899e-06	1	5	0	1
YOL126C	P22133	MDH2	40.7305	1	8.30160413189807	essential	2	2.3680128045935e-08	0.00215546734384058	2.36805613587305e-08	1	5	0	1
YKL085W	P17505	MDH1	35.64959	1	8.18832890735154	essential	2	1.07984753369167e-06	0.0024637245244413	1.07988410481524e-06	1	5	0	1
YCR053W	P16120	THR4	57.47349	2	6.18425114050428	tightly_const	2	4.08195112214115e-09	4.10299979410114e-09	4.10242269132889e-09	1	6	0	1
YDR158W	P13663	HOM2	39.54334	2	6.18425114050428	tightly_const	2	8.81869560565674e-08	8.81994130401125e-08	8.81870117186804e-08	1	6	0	1
YER052C	P10869	HOM3	58.10913	2	6.18425114050428	tightly_const	2	7.37350763270044e-08	7.37454918880926e-08	7.37351228673358e-08	1	4	0	1
YHR025W	P17423	THR1	38.71215	2	6.18425114050428	tightly_const	2	4.08195112216227e-07	4.10299959558389e-07	4.10242269132889e-07	1	5	0	1
YJR139C	P31116	HOM6	38.50163	2	6.18425114050428	tightly_const	2	7.41267425138023e-07	7.41372169873351e-07	7.41267893013491e-07	1	7	0	1
YBR221C	P32473	PDB1	40.0532	2	2.92968353267045	tightly_const	2	3.08439580276031e-06	3.08504780345183e-06	3.08495237497024e-06	0	6	5	1
YER178W	P16387	PDA1	46.34261	2	2.92968353267045	tightly_const	2	3.08439580276031e-06	3.08504780345183e-06	3.08495237497024e-06	0	6	5	1
YGR193C	P16451	PDX1	45.36125	2	2.92968353267045	tightly_const	2	3.08439580276031e-06	3.08504780345183e-06	3.08495237497024e-06	0	6	5	1
YNL071W	P12695	LAT1	51.81762	2	2.92968353267045	tightly_const	2	3.08439580276031e-06	3.08504780345183e-06	3.08495237497024e-06	0	6	5	1
YDR050C	P00942	TPI1	26.79508	1	1.25317127298016	essential	2	2.85685432494273e-08	0.00327645963843636	2.8568935737245e-08	1	2	0	1
YMR205C	P16862	PFK2	104.61673	2	1.24609743991872	essential	2	3.86644830064502e-07	6.95327451954403e-07	6.95313000057271e-07	1	9	0	1
YCR012W	P00560	PGK1	44.73787	1	1.2404818880844	essential	2	9.17198307933949e-07	0.00196328687733591	9.17204455855478e-07	1	4	0	1
YBR196C	P12709	PGI1	61.29832	1	1.23864052054595	essential	2	3.79297647718545e-07	0.00143259351235595	3.79301356001525e-07	1	2	0	1
YDR516C	Q04409	EMI2	55.92028	2	1.00066848178423	tightly_const	2	1.86174705667086e-07	1.86215335775266e-07	1.86178000000186e-07	1	4	0	1
YER073W	P40047	ALD5	56.69214	2	1000	opt_isoenz_tight	2	0	5.63873915735333e-07	5.62790172929178e-07	1	17	0	2
YNR001C	P00890	CIT1	53.35945	2	8.18832890735153	opt_isoenz_tight	2	0	1.45513786818446e-06	1.4551255484421e-06	1	7	0	2
YAL038W	P00549	CDC19	54.54404	2	2.51079849060966	opt_isoenz_tight	2	0	2.07164064727631e-06	2.07162064722524e-06	0	6	6	2
YMR145C	P40215	NDE1	62.77345	0	0.290572814503725	subOpt_isoenz	0	0	7.86329157890951e-05	0	0	6	11	2
YGR087C	P26263	PDC6	61.57964	0	0.27194219627139	subOpt_isoenz	0	0	1.59591782899002e-07	0	0	17	12	2
YLR134W	P16467	PDC5	61.91138	0	0.27194219627139	subOpt_isoenz	0	0	1.59591782898769e-07	0	0	17	12	2
YBL039C	P28274	URA7	64.70953	0	0.258201785040242	subOpt_isoenz	0	0	4.15923533013876e-08	0	0	12	13	2
YOR317W	P30624	FAA1	77.86529	0	0.252579281344393	subOpt_isoenz	0	0	0.00112766755808543	0	1	52	0	2
YDL052C	P33333	SLC1	33.88654	0	0.247978693804359	subOpt_isoenz	0	0	3.00782518819743e-06	0	1	28	0	2
YER070W	P21524	RNR1	99.56021	0	0.195999999999986	subOpt_isoenz	0	0	4.87321829511939e-07	0	0	24	14	2
YIL066C	P21672	RNR3	97.51369	0	0.195999999999986	subOpt_isoenz	0	0	4.87321829512862e-07	0	0	24	14	2
YJL026W	P09938	RNR2	46.14681	0	0.195999999999986	subOpt_isoenz	0	0	4.87321829512789e-07	0	0	24	14	2
YLR438W	P07991	CAR2	46.08557	0	0.0359531482734496	subOpt_isoenz	0	0	2.49280262122331e-08	0	1	4	0	2
YPL061W	P54115	ALD6	54.41344	0	0.0348673192113106	subOpt_isoenz	0	0	3.45280054382721e-10	0	1	8	0	2
YER081W	P40054	SER3	51.1927	0	0.000140026528864874	subOpt_isoenz	0	0	1.24922285069227e-08	0	0	6	16	2
YCL040W	P17709	GLK1	55.37689	0	0	subOpt_isoenz	0	0	1.79385423923977e-11	0	1	6	0	2
YMR267W	P28239	PPA2	35.57213	0	0	subOpt_isoenz	0	0	2.92160254778484e-11	0	1	4	0	2
YNL241C	P11412	ZWF1	57.5209	0	0	subOpt_isoenz	0	0	4.71586016321498e-12	0	1	5	0	2
YOR388C	Q08911	FDH1	41.7138	0	0	subOpt_isoenz	0	0	7.48723051337972e-11	0	1	4	0	2
YLR446W	Q06204	YLR446W	48.96875	0	0	subOpt_isoenz	0	0	2.94320275349982e-09	0	1	20	0	2
YBL015W	P32316	ACH1	58.71137	1	1000	opt_isoenz	2	0	0.00149531946010153	1.2969475940736e-11	1	7	0	3
YJR069C	P47119	HAM1	22.09268	1	1000	opt_isoenz	2	0	0.00397381495358588	1.5728024228112e-10	1	16	0	3
YGL062W	P11154	PYC1	130.09827	2	4.96842582450226	opt_isoenz	2	0	3.90507301117411e-06	3.86403750069901e-06	0	8	4	3
YNL036W	P53615	NCE103	24.85889	1	3.42644662953785	opt_isoenz	2	0	0.00353162441327748	2.640666838734e-10	1	4	0	3
YGR254W	P00924	ENO1	46.81564	1	2.35002645231279	opt_isoenz	2	0	0.00187740212034147	2.12340580181527e-06	0	5	7	3
YOR283W	Q12040	YOR283W	26.17622	1	2.35002645231279	opt_isoenz	2	0	0.00335448404111832	5.86294753391845e-07	1	4	0	3
YML120C	P32340	NDI1	57.24915	1	1.75435923555651	opt_isoenz	2	0	9.09874262388666e-05	9.56933129849323e-07	1	5	0	3
YLR354C	P15019	TAL1	37.0359	1	1.29902417358705	opt_isoenz	2	0	0.00237377412462038	3.30917912931489e-06	0	6	9	3
YKL060C	P14540	FBA1	39.62024	1	1.24609743991872	opt_isoenz	2	0	0.00221894036632946	3.92835168705624e-10	1	7	0	3
YJL052W	P00360	TDH1	35.74956	1	1.2404818880844	opt_isoenz	2	0	0.00247273065401983	1.69746072357727e-05	0	8	10	3
YDR148C	P19262	KGD2	50.43011	0	0	subOpt_isoenz	0	0	1.80925687919383e-07	0	0	11	17	3
YFR053C	P04806	HXK1	53.73784	0	0	subOpt_isoenz	0	0	1.79299278788643e-11	0	0	12	18	3
YGL253W	P04807	HXK2	53.9419	0	0	subOpt_isoenz	0	0	3.87936749221956e-11	0	0	12	18	3
YGR248W	P53315	SOL4	28.44737	0	0	subOpt_isoenz	0	0	2.98419972781965e-10	0	0	5	19	3
YGR256W	P53319	GND2	53.92235	0	0	subOpt_isoenz	0	0	8.19834688839539e-11	0	0	6	20	3
YHR163W	P38858	SOL3	27.78417	0	0	subOpt_isoenz	0	0	2.98419970061576e-10	0	0	5	19	3
YHR183W	P38720	GND1	53.54274	0	0	subOpt_isoenz	0	0	8.19834679156817e-11	0	0	6	20	3
YIL125W	P20967	KGD1	114.41496	0	0	subOpt_isoenz	0	0	1.80925687919383e-07	0	0	11	17	3
