genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YBL015W	P32316	ACH1	58.71137	1	1000	2	5.56085435522119e-07	0.00138960788734792	5.64269857832538e-07	1.000001000001
YBR208C	P32528	DUR1,2	201.82994	2	1000	2	1.86987755694707e-07	1.87079358356084e-07	1.87042164919645e-07	1.000001000001
YBR249C	P32449	ARO4	39.74874	2	1000	2	0	1.12494209583505e-06	1.12493887509129e-06	1.000001000001
YDR035W	P14843	ARO3	41.06952	1	1000	2	0	1.12494209583505e-06	0	1.000001000001
YDR127W	P08566	ARO1	174.75305	2	1000	2	8.6892502631232e-06	8.68927514078475e-06	8.6892502631232e-06	1.000001000001
YDR148C	P19262	KGD2	50.43011	2	1000	2	1.91176049868817e-06	7.82884276607582e-06	3.99098520856204e-06	1.000001000001
YEL046C	P37303	GLY1	42.81463	2	1000	2	9.52562222052919e-08	9.53136453773448e-08	9.52697775853812e-08	1.000001000001
YEL047C	P32614	FRD1	50.84351	1	1000	2	5.60354368325948e-07	0.00160455495786103	5.60436169711178e-07	1.00000100000098
YGL148W	P28777	ARO2	40.83793	2	1000	2	0.00015774994124984	0.000157750392894059	0.00015774994124984	1.000001000001
YGR244C	P53312	LSC2	46.90018	1	1000	2	1.11825022365337e-07	0.00099562246346926	2.55612256593187e-07	1.000001000001
YGR248W	P53315	SOL4	28.44737	1	1000	2	0	8.55133503995566e-06	0	1.000001000001
YGR256W	P53319	GND2	53.92235	1	1000	2	0	2.34926671791666e-06	0	1.000001000001
YHR037W	P07275	PUT2	64.43444	1	1000	2	5.75297151481293e-06	0.00127142394194982	5.75381134236809e-06	1.000001000001
YHR163W	P38858	SOL3	27.78417	2	1000	2	0	8.55133503995025e-06	8.54891987535093e-06	1.000001000001
YHR183W	P38720	GND1	53.54274	2	1000	2	0	2.34926671791914e-06	2.34860321148437e-06	1.000001000001
YIL125W	P20967	KGD1	114.41496	2	1000	2	1.91176049868817e-06	7.82884276607582e-06	3.99098520856204e-06	1.000001000001
YLR142W	P09368	PUT1	53.27087	2	1000	2	2.57595879754168e-07	2.57740958379871e-07	2.57633478172863e-07	1.000001000001
YLR438W	P07991	CAR2	46.08557	2	1000	2	4.44719404257125e-08	4.45218724648578e-08	4.44848807586346e-08	1.000001000001
YNL241C	P11412	ZWF1	57.5209	2	1000	2	1.35040825658887e-07	1.35134724029511e-07	1.35096557754872e-07	1.000001000001
YNL316C	P32452	PHA2	38.22484	2	1000	2	7.10362632227579e-08	7.10363430334776e-08	7.10362632227579e-08	1.000001000001
YOR142W	P53598	LSC1	35.03207	1	1000	2	1.11825022365337e-07	0.00099562246346926	2.55612256593187e-07	1.000001000001
YOR374W	P46367	ALD4	56.72295	2	1000	2	1.12456243130066e-07	1.14258487369929e-07	1.14111365391062e-07	1.000001000001
YPL111W	P00812	CAR1	35.66162	2	1000	2	1.60346735039262e-05	1.60425286640866e-05	1.6039339232734e-05	1.000001000001
YPR060C	P32178	ARO7	29.7468	2	1000	2	3.80172985870404e-07	3.80174074320452e-07	3.80172985870404e-07	1.000001000001
PAL	P11544	PAL	76.88	2	1000	2	5.5166248759073e-06	5.51662487590731e-06	5.5166248759073e-06	1.000001000001
YPR021C		AGC1	NaN	1	21.9794492566934	2	NaN	NaN	NaN	1.000001000001
YJR051W	P21375	OSM1	55.06455	1	21.0307534142536	2	0	0.00148113508327518	9.83642128369579e-08	1.00000100000085
YOR095C	Q12189	RKI1	28.25777	1	18.0661029865404	2	7.81575210441259e-06	0.00289384120585367	7.81697666344577e-06	1.000001000001
YOR303W	P07258	CPA1	45.36103	2	17.3294702118151	2	2.69089665999848e-08	2.69132504504823e-08	2.69103185472173e-08	1.000001000001
YJR109C	P03965	CPA2	123.91392	2	17.3294702118144	2	2.69089665999848e-08	2.69132504504823e-08	2.69103185472173e-08	1.000001000001
YBR296C		PHO89	NaN	1	11.3940223771741	2	NaN	NaN	NaN	1.000001000001
YCR037C		PHO87	NaN	1	11.3940223771741	2	NaN	NaN	NaN	1.000001000001
YJL198W		PHO90	NaN	1	11.3940223771741	2	NaN	NaN	NaN	1.000001000001
YML123C		PHO84	NaN	1	11.3940223771741	2	NaN	NaN	NaN	1.000001000001
YNR013C		PHO91	NaN	1	11.3940223771741	2	NaN	NaN	NaN	1.000001000001
YPR035W	P32288	GLN1	41.7656	2	6.53363955382075	2	1.29584584915805e-06	1.29617092968112e-06	1.295914108974e-06	1.000001000001
YKL029C	P36013	MAE1	74.37529	2	4.77325459028731	2	0	2.15535272074544e-07	2.15417025403932e-07	1.000001000001
YKL069W	P36088	YKL069W	19.73402	1	4.30787216376955	2	3.68964162567497e-07	0.00413296755237036	3.69221387672006e-07	1.000001000001
