genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10045192970517e-07	2.10422958873776e-07	2.10188074822914e-07	1	4	0	1	1.00386301137764	1.00386738952356
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72280888917368e-08	2.72782587401358e-08	2.72466152002226e-08	1	6	0	1	1.00052813930015	1.00052873587641
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.67971180616798e-11	4.25348119751746e-09	1.5728024228112e-10	1	16	0	1	1.00000135411095	1.00000135563974
Haur_4629	A9B0P2	Haur_4629	56.397	2	1000	tightly_const	2	7.82593792668125e-05	7.8259379266969e-05	7.82593792668125e-05	1	3	0	1	1.02503702056571	1.02506599549407
4CL1	Q42524	4CL1	61.053	2	1000	tightly_const	2	4.67610278510253e-07	4.67610278511189e-07	4.67610278510253e-07	1	6	0	1	1.00015801938717	1.00015819781682
VST1	P28343	VST1	42.84	2	1000	tightly_const	2	0.00198257094142592	0.00198257094142988	0.00198257094142592	1	6	0	1	1.88691203022178	1.88880330738336
YLR044C	P06169	PDC1	61.49468	2	10.4697389092449	tightly_const	2	1.00394776989024e-06	1.00691056318277e-06	1.00519029518571e-06	0	17	1	1	1.0870590394691	1.16852989116908
YAL038W	P00549	CDC19	54.54404	2	2.3688958278812	essential	2	1.86376007931202e-06	2.00290998187022e-06	2.00287214679603e-06	0	6	2	1	1.03912173830907	1.10037371476049
YBR166C	P20049	TYR1	50.92272	2	2.33969499316912	tightly_const	2	2.83142103298373e-07	2.83191313196945e-07	2.83142103298373e-07	1	5	0	1	1.00119481407309	1.00119616461296
YGR254W	P00924	ENO1	46.81564	2	2.27567198299178	essential	2	1.92347087650059e-06	2.10767384519871e-06	2.1057788379253e-06	0	5	3	1	1.02689778875707	1.08741236903686
YLR354C	P15019	TAL1	37.0359	2	1.24998782784642	tightly_const	2	3.25478613129629e-06	3.25889327354575e-06	3.25481592264131e-06	0	6	4	1	1.04446298413244	1.10603729136445
YDR050C	P00942	TPI1	26.79508	2	1.22947538836394	essential	2	2.8336265711343e-08	3.17171426587173e-08	2.83398035593706e-08	1	2	0	1	1.00062000098039	1.00062070138626
YMR205C	P16862	PFK2	104.61673	2	1.22257629697853	tightly_const	2	6.86798430375903e-07	6.89786139890357e-07	6.89753057172829e-07	1	9	0	1	1.00401912263936	1.06315465185215
YJL052W	P00360	TDH1	35.74956	2	1.21360250424796	tightly_const	2	1.66975750264848e-05	1.67035215358405e-05	1.67009901469873e-05	0	8	5	1	1.43496676007032	1.54326831996923
YCR012W	P00560	PGK1	44.73787	2	1.21360250424796	tightly_const	2	9.0236275188878e-07	9.04402868258652e-07	9.0241985379981e-07	1	4	0	1	0.983381434944688	1.03572408271281
YPR060C	P32178	ARO7	29.7468	2	1.17854536467996	tightly_const	2	2.60784948376169e-08	2.60820085569077e-08	2.60784948376169e-08	1	2	0	1	1.0001140319029	1.00011416065786
YDR516C	Q04409	EMI2	55.92028	2	1.00066826441661	tightly_const	2	1.85810221280646e-07	1.86183050061089e-07	1.86178000000186e-07	1	4	0	1	1.00820473275182	1.00821407185327
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40930847722673e-08	0	0	6	6	2	0.999999999999988	1.00000000000001
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.14196270470007e-09	0	0	7	7	2	1	1.00000000000002
YMR145C	P40215	NDE1	62.77345	0	0.277713411645278	subOpt_isoenz	0	0	8.12038152225465e-08	0	0	6	8	2	1	1.00000000000002
YBR218C	P32327	PYC2	130.16549	0	0.262398767755734	subOpt_isoenz	0	0	4.74990485294341e-07	0	0	8	9	2	0.999999999999919	0.999999999999941
