genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	subOpt_isoenz	2	0	1.55355065811213e-09	0
YBR145W	P38113	ADH5	37.64764	1	1000	subOpt_isoenz	2	0	7.88747728222985e-10	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	6.09878564807776e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10056734129482e-07	2.10433918456828e-07	2.10188074822914e-07
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	3.59846016855929e-09	0
YOL086C	P00330	ADH1	36.84874	1	1000	subOpt_isoenz	2	0	3.24709017541935e-10	0
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.7243133747347e-08	2.72797567797023e-08	2.72466152002226e-08
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.66178367308701e-11	4.25911166716115e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.158305284788e-09	1.59461388661699e-12
PAL	P45730	PAL	77.919	2	1000	tightly_const	2	2.54629698474492e-08	2.54629687894654e-08	2.54629698474492e-08
C4H	C0LUU6	C4H	58.011	2	1000	tightly_const	2	3.46220850830583e-09	3.46220836445142e-09	3.46220850830583e-09
4CL	C0LUU7	4CL	60.994	2	1000	tightly_const	2	5.51038104115565e-06	5.51038081220011e-06	5.51038104115565e-06
CHS	Q6X0M9	CHS	42.488	2	1000	tightly_const	2	9.33642227739805e-05	9.33642227741673e-05	9.33642227739805e-05
CHI	C0LUV0	CHI	24.679	2	1000	tightly_const	2	4.00568144233965e-09	4.00568127590402e-09	4.00568144233965e-09
F3H	Q53B69	F3H	42.673	2	1000	tightly_const	2	0.00201666721191798	0.00201666721192201	0.00201666721191798
F3"H	Q8W3Y5	F3"H	56.982	2	1000	tightly_const	2	4.48148269315107e-08	4.48148250694561e-08	4.48148269315107e-08
FLS	C0LUV3	FLS	40.041	2	1000	tightly_const	2	1.43637265806124e-07	1.43637259838012e-07	1.43637265806124e-07
YGR087C	P26263	PDC6	61.57964	1	12.1920102194435	subOpt_isoenz	2	0	2.56408366689535e-09	0
YLR044C	P06169	PDC1	61.49468	2	12.1920102194435	tightly_const	2	8.73094591733774e-07	8.81028478827412e-07	8.75059408285309e-07
YLR134W	P16467	PDC5	61.91138	1	12.1920102194435	subOpt_isoenz	2	0	2.54019732199686e-09	0
YAL038W	P00549	CDC19	54.54404	2	2.44666337500339	essential	2	1.89889512069832e-06	2.03865995791661e-06	2.03819832549427e-06
YOR347C	P52489	PYK2	55.19478	1	2.44666337500339	subOpt_isoenz	2	0	1.39303205172826e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.29592598181853	essential	2	1.91200562248037e-06	2.09646242144896e-06	2.09456407144796e-06
YHR174W	P00925	ENO2	46.91368	1	2.29592598181853	subOpt_isoenz	2	0	2.73675499920199e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.29592598181853	subOpt_isoenz	2	0	9.53492110340133e-09	0
YMR323W	P42222	ERR3	47.31216	1	2.29592598181853	subOpt_isoenz	2	0	1.82558449173416e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.29592598181853	subOpt_isoenz	2	0	1.77240519686235e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.29592598181853	subOpt_isoenz	2	0	1.77240519762463e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.29592598181853	essential	2	5.71751448711223e-07	5.81787612400826e-07	5.7833124722706e-07
YLR354C	P15019	TAL1	37.0359	2	1.26504425228096	tightly_const	2	3.28948529760954e-06	3.29411282489274e-06	3.28950542449552e-06
YGR043C	P53228	NQM1	37.25314	1	1.26504425228096	subOpt_isoenz	2	0	3.49282260893644e-09	0
YMR205C	P16862	PFK2	104.61673	2	1.22932873904012	tightly_const	2	6.90443968892804e-07	6.93697434311449e-07	6.93397889390877e-07
YGR240C	P16861	PFK1	107.96906	1	1.22932873904012	subOpt_isoenz	2	0	3.70615273637576e-09	0
YKL060C	P14540	FBA1	39.62024	2	1.22932873904012	opt_isoenz	2	0	3.83832862285977e-09	3.79188190403067e-09
YDR050C	P00942	TPI1	26.79508	2	1.22637982035736	essential	2	2.84842615863903e-08	3.18665465858196e-08	2.84900148350556e-08
YCR012W	P00560	PGK1	44.73787	2	1.22528701638045	tightly_const	2	9.14789692767382e-07	9.16868346823695e-07	9.1488255189857e-07
YGR192C	P00359	TDH3	35.74626	1	1.22528701638045	subOpt_isoenz	2	0	3.69452727884843e-09	0
YJL052W	P00360	TDH1	35.74956	2	1.22528701638045	tightly_const	2	1.69282216972062e-05	1.6935469089954e-05	1.69316360013265e-05
YJR009C	P00358	TDH2	35.84645	1	1.22528701638045	subOpt_isoenz	2	0	5.93860310196359e-09	0
YBR196C	P12709	PGI1	61.29832	2	1.19452478113365	tightly_const	2	3.76913781481405e-07	3.78608452113524e-07	3.77131661399249e-07
YER091C	P05694	MET6	85.85892	0	0.293884450454309	tightly_const	0	6.44187024208966e-07	6.44435568517366e-07	6.44226117841574e-07
YGL125W	P53128	MET13	68.55958	0	0.293884450454309	opt_isoenz_tight	0	0	1.40971370536938e-08	1.4092433644586e-08
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40932040934522e-08	0
YER043C	P39954	SAH1	49.12498	0	0.293827460547136	tightly_const	0	1.91089302836964e-06	1.91163921996805e-06	1.91105956507182e-06
YJR105W	P47143	ADO1	36.37191	0	0.293827460547136	essential	0	5.90908068613822e-08	5.97182736609592e-08	5.92051978551671e-08
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.1449069666548e-09	0
YLR180W	P10659	SAM1	41.81793	0	0.293827460547136	tightly_const	0	2.58937053240886e-06	2.59039068795056e-06	2.58960509176977e-06
YLL052C		AQY2	NaN	0	0.292667947890444		0	NaN	NaN	NaN
YPR192W		AQY1	NaN	0	0.292667947890444		0	NaN	NaN	NaN
YHR002W		LEU5	NaN	0	0.27783		0	NaN	NaN	NaN
YBR218C	P32327	PYC2	130.16549	0	0.276572139927619	subOpt_isoenz	0	0	5.05196161373296e-07	0
YGL062W	P11154	PYC1	130.09827	0	0.276572139927619	opt_isoenz_tight	0	0	5.05365834110174e-07	5.04929571446298e-07
YDL066W	P21954	IDP1	48.18986	0	0.275061693385094	tightly_const	0	4.14446664787218e-07	4.16468102371333e-07	4.15418350703249e-07
YOR222W		ODC2	NaN	0	0.270668115637002		0	NaN	NaN	NaN
YPL134C		ODC1	NaN	0	0.270668115637002		0	NaN	NaN	NaN
YMR267W	P28239	PPA2	35.57213	0	0.263800480800694	tightly_const	0	4.3431043328549e-07	4.34909689374556e-07	4.34833865587389e-07
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67361602909495e-08	0
YJR103W	P38627	URA8	64.50989	0	0.258201785040243	opt_isoenz	0	0	3.6768878468359e-08	3.63823566410981e-08
YOL126C	P22133	MDH2	40.7305	0	0.235506467077691	essential	0	1.36982359560271e-09	3.59170122999424e-09	1.37040500488129e-09
YMR145C	P40215	NDE1	62.77345	0	0.214702200442187	subOpt_isoenz	0	0	8.13153878081369e-08	0
YDL085W	Q07500	NDE2	61.65854	0	0.214702200442187	essential	0	9.01761345359368e-07	9.84833745041712e-07	9.83076733219289e-07
YDR503C	Q04396	LPP1	31.58604	0	0.207961799935178	essential	0	8.52311766512912e-10	1.12270060624503e-09	9.53795898879539e-10
Q0045	P00401	COX1	58.79755	0	0.193523383002159	tightly_const	0	1.57485989020883e-06	1.57522008168371e-06	1.57488695061787e-06
Q0250	P00410	COX2	28.5669	0	0.193523383002159	tightly_const	0	1.57485989020883e-06	1.57522008168371e-06	1.57488695061787e-06
Q0275	P00420	COX3	30.35941	0	0.193523383002159	tightly_const	0	1.57485989020883e-06	1.57522008168371e-06	1.57488695061787e-06
YDL067C	P07255	COX9	6.96313	0	0.193523383002159	tightly_const	0	1.57485989020883e-06	1.57522008168371e-06	1.57488695061787e-06
YGL187C	P04037	COX4	17.1424	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YGL191W	P32799	COX13	15.02097	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YHR051W	P00427	COX6	17.34139	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YIL111W	P00425	COX5B	17.1965	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YLR038C	Q01519	COX12	9.78778	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YLR395C	P04039	COX8	8.90656	0	0.193523383002159	tightly_const	0	3.14926432799754e-06	3.14995559169138e-06	3.14976996937553e-06
YMR256C	P10174	COX7	6.9323	0	0.193523383002159	tightly_const	0	1.57463412961328e-06	1.5749797229944e-06	1.57488695061787e-06
YBL045C	P07256	COR1	50.22724	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
YDR529C	P00128	QCR7	14.56466	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
YEL024W	P08067	RIP1	23.36479	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
YFR033C	P00127	QCR6	17.25682	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
YGR183C	P22289	QCR9	7.47622	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
YHR001W-A	P37299	QCR10	8.59285	0	0.191856482388836	tightly_const	0	4.96369823569248e-06	4.96474586462381e-06	4.96446500648839e-06
