Row	s_4207	Growth		yield (u=0.05)	FC (0.05/0.1)
YBR196C	2.532675624	1	PGI1	1.335097253	2.975754727
YMR205C	2.113120822	1	PFK2	1.16463626	2.595819777
YKL060C	2.113120822	1	FBA1	1.16463626	2.595819777
YCR012W	2.073163543	1	PGK1	1.118854278	2.493777812
YJL052W	1.624567887	1	TDH1	0.912258911	2.033304135
YLR044C	1.497074399	1		0.827713563	1.844863766
YLR354C	1.464555009	1		0.80232401	1.78827382
YDR050C	1.222326983	1		0.671096881	1.495785952
YDL171C	1.0132547	1		0.533279217	1.188608655
YLR174W	1.003384311	1		0.532993197	1.187971154
YAR035W	1.003160875	1		0.531096678	1.183744065
YNL241C	1.002328833	1		0.545663991	1.216212674
YOL086C	1.001654192	1		0.532167197	1.18613011
YKL085W	1.000814933	1		0.530776404	1.183030217
YML042W	1.000654403	1		0.529777837	1.180804543
YLR348C	1.000434185	1		0.529923452	1.1811291
YER005W	1.000395072	1		0.531883823	1.185498507
YJR103W	1.00039455	1		0.531445947	1.18452254
YOR283W	1.000149333	1		0.529895102	1.181065912
YOR108W	1.000130467	1		0.529832557	1.180926508
YLR284C	1.000106148	1		0.529817163	1.180892195
YJR149W	1.000105834	1		0.531441624	1.184512904
YKR072C	1.000105834	1		0.529798831	1.180851337
YNR001C	1.000105419	1	CIT1	0.529817067	1.180891982
YLR153C	1.000081796	1		0.531444255	1.184518768
YAL038W	1.000026753	1		0.531446758	1.184524347
YGR254W	1.000014964	1		0.529829741	1.180920231
YDR403W	1.000010112	1		0.52979852	1.180850644
YKL188C	1.000009714	1		0.529821152	1.180901087
YPL147W	1.000009714	1		0.529821152	1.180901087
YJR019C	1.000009432	1		0.53188371	1.185498256
YBR036C	1.000008921	1		0.529798467	1.180850524
YBR058C-A	1.000008662	1		0.529816827	1.180891446
YGR227W	1.000006253	1		0.53023443	1.181822229
YER037W	1.000005938	1		0.529821044	1.180900846
YPL036W	1.000005938	1		0.529797971	1.18084942
YKL104C	1.000005938	1		0.529797914	1.180849293
YAL035W	1.000005938	1		0.529801284	1.180856805
YHR067W	1.000005938	1		0.529797913	1.180849289
YDR272W	1.000005938	1		0.532879172	1.187717008
YGL196W	1.000005938	1		0.529798008	1.180849502
YGR247W	1.000005938	1		0.529816827	1.180891446
YGR202C	1.000005061	1		0.529797938	1.180849347
YDL090C	1.000004747	1		0.529797923	1.180849312
YKL019W	1.000004747	1		0.529797923	1.180849312
YBR208C	1.000004747	1		0.529797913	1.180849289
YMR084W	1.000004747	1		0.529804762	1.180864555
YDL078C	1.000003505	1		0.52979786	1.180849171
YDR294C	1.000003505	1		0.530221859	1.18179421
YJL046W	1.000003505	1		0.529798467	1.180850524
YGL248W	1.000003505	1		0.529797915	1.180849294
YKR058W	1.000003505	1		0.529797913	1.180849289
YJR131W	1.000003505	1		0.529797913	1.18084929
YBR295W	1.000003505	1		0.529817462	1.180892862
YDR009W	1.000003505	1		0.529817462	1.180892862
YGL169W	1.000003505	1		0.529817462	1.180892862
YLR057W	1.000003505	1		0.530228578	1.181809186
YLR143W	1.000003505	1		0.529817462	1.180892862
YMR162C	1.000003505	1		0.529817462	1.180892862
YMR210W	1.000003505	1		0.529798469	1.180850529
YDR270W	1.000003505	1		0.529817462	1.180892862
YLR047C	1.000003505	1		0.529817882	1.180893799
YCL047C	1.000003505	1		0.531879528	1.185488935
YEL070W	1.000003505	1		0.529798778	1.180851219
YNR073C	1.000003505	1		0.529798778	1.180851219
YGL038C	1.000003505	1		0.529799153	1.180852054
YLR028C	1.000003505	1		0.529798033	1.180849557
YLR286C	1.000003505	1		0.529797913	1.180849289
YPL268W	1.000003505	1		0.529797923	1.180849311
YDR058C	1.000003505	1		0.529798467	1.180850524
YDL178W	1.000003505	1		0.530226744	1.181805098
YJL091C	1.000003505	1		0.531429481	1.184485838
YDR071C	1.000003505	1		0.529817118	1.180892096
YGR260W	1.000003505	1		0.531445873	1.184522375
YHR013C	1.000003458	1		0.529817117	1.180892093
YMR120C	1.000003321	1		0.529797903	1.180849268
YEL047C	1.00000319	1		0.531441979	1.184513694
YNR030W	1.00000319	1		0.530955042	1.183428377
YER081W	1.00000319	1		0.529798491	1.180850578
YPL110C	1.00000319	1		0.529816816	1.180891423
YCR098C	1.000002313	1		0.529797939	1.180849348
YER073W	1.000002266	1		0.529797923	1.180849311
YJL137C	1.0000016	1		0.529816589	1.180890916
YPL273W	1	1		0.529798897	1.180851484
YIR037W	1	1		0.529816827	1.180891446
YDR242W	1	1		0.529798033	1.180849557
YDR001C	1	1		0.530233595	1.181820367
YBR192W	1	1		0.529826634	1.180913306
