Row	s_4208	Growth
WT_yields	1.02189824341807	0.0405534124829963
Q0045	1.00777908393145	1
Q0080	1.00013663724389	1
Q0085	1.00221045410081	1
Q0105	1.01977222754848	1
Q0130	1.47524234842101	1
Q0250	1.00359043272103	1
Q0275	1.0038619657522	1
YAL012W	0.999999994462439	1
YAL022C	0.999999994462436	1
YAL023C	0.999998482948696	1
YAL038W	1.00924100016902	1
YAL044C	0.999999293646517	1
YAL054C	1.00070086099119	1
YAL060W	1.00403628621963	1
YAL062W	1.02680625676485	1
YAR015W	1.00000569271596	1
YAR035W	0.999868873045904	1
YAR071W	0.999998341505125	1
YBL011W	1.00725156549208	1
YBL013W	1	1
YBL015W	1.0000000030492	1
YBL030C	1.00000046482137	1
YBL033C	0.99999895279028	1
YBL039C	1.00002494396307	1
YBL042C	0.999998488510346	1
YBL045C	1.02083633925298	1
YBL064C	1	1
YBL068W	1.00232501388297	1
YBL076C	1.00004732485155	1
YBL098W	0.99999999446225	1
YBL099W	1.00061443810952	1
YBR002C	0.999999853018213	1
YBR003W	0.999999994462313	1
YBR004C	1.00000000666126	1
YBR006W	1.00000046482141	1
YBR011C	0.999999994462134	1
YBR018C	1.00009348177297	1
YBR019C	0.999999994462161	1
YBR020W	0.999998495147534	1
YBR021W	1.00000000666139	1
YBR023C	0.999999994462225	1
YBR026C	0.999998488486388	1
YBR029C	1.00004146339265	1
YBR034C	1	1
YBR035C	1.00000046482117	1
YBR036C	1.00000000666127	1
YBR038W	0.999999994462207	1
YBR039W	1.0033825622742	1
YBR041W	0.999999804975845	1
YBR042C	0.999998341505235	1
YBR058C-A	1.00000000666153	1
YBR068C	0.999999804975742	1
YBR069C	0.999998482948694	1
YBR084W	1.00000046482144	1
YBR085W	1.00000046482137	1
YBR092C	1.00000000666139	1
YBR093C	0.999999853018284	1
YBR097W	0.999998482948721	1
YBR110W	1	1
YBR115C	1.00017662368469	1
YBR117C	1.01625794736836	1
YBR121C	0.999998482948536	1
YBR126C	1.00001213093301	1
YBR127C	1.0000004648213	1
YBR132C	1.00000000112378	1
YBR145W	1.00008303907103	1
YBR149W	1	1
YBR153W	1.00541635251215	1
YBR159W	0.999998378813322	1
YBR161W	0.999998341504937	1
YBR166C	1.00003120865851	1
YBR176W	0.999999994462273	1
YBR180W	1.00000000000002	1
YBR183W	0.999999994462173	1
YBR192W	0.99999985301826	1
YBR196C	1.00053955164316	1
YBR199W	1.00000000112399	1
YBR204C	1.00002175134547	1
YBR205W	1.00000000112399	1
YBR208C	0.99999999446215	1
YBR213W	1	1
YBR218C	1.04059518541646	1
YBR221C	1.01209110154974	1
YBR244W	1.00000046482129	1
YBR248C	1.00000485625175	1
YBR249C	1.00001426384886	1
YBR252W	0.999999994462258	1
YBR256C	1.00025531764613	1
YBR263W	1.00010162777171	1
YBR265W	1.00000046482126	1
YBR291C	0.99999999446225	1
YBR293W	0.999998488486284	1
YBR294W	0.999998941107198	1
YBR296C	0.999998953306431	1
YBR298C	1	1
YBR299W	0.999999999999661	1
YCL004W	1.00000045928372	1
YCL009C	0.999998482948658	1
YCL018W	1.00021132990779	1
YCL025C	0.999998482948633	1
YCL030C	1.00002820342627	1
YCL035C	1.00429163932162	1
YCL038C	0.999998488486386	1
YCL040W	0.999576179780132	1
YCL050C	1.00000346241421	1
YCL052C	0.999998488486388	1
YCL064C	0.999999979989264	1
YCL069W	0.999999999999921	1
YCR005C	0.999999890326469	1
YCR010C	0.999998482948619	1
YCR012W	1.0026880043972	1
YCR024C	1	1
YCR024C-A	0.999999994462336	1
YCR028C	1.00421701880834	1
YCR034W	0.999998482948704	1
YCR036W	0.99999848294875	1
YCR037C	0.999998953306431	1
YCR048W	0.999998678844885	1
YCR053W	1.00000147979026	1
YCR075C	0.999999999999921	1
YCR083W	0.999999999999721	1
YCR098C	1.00421702814746	1
YCR105W	0.999999994462236	1
YDL004W	1.00051361430258	1
YDL015C	0.999999994462311	1
YDL022W	1.0000020381857	1
YDL042C	1	1
YDL045C	1	1
YDL052C	1.00000046482142	1
YDL055C	1.00001812850156	1
YDL066W	0.999999994462247	1
YDL067C	1.00087408118886	1
YDL078C	0.999998482948621	1
YDL080C	0.999998482948775	1
YDL085W	1.00556919844518	1
YDL090C	0.999998488486164	1
YDL093W	1.00010462558412	1
YDL095W	0.999998482948526	1
YDL100C	1.00000046482153	1
YDL103C	0.999998482948576	1
YDL131W	1.00378854906309	1
YDL141W	0.999999914737116	1
YDL142C	0.999999994462349	1
YDL168W	0.999999994462187	1
YDL171C	1.00280746964911	1
YDL174C	0.999999994462278	1
YDL178W	1.00000027533483	1
YDL182W	1	1
YDL185W	1.00000046482125	1
YDL198C	0.999999994462176	1
YDL205C	0.999998560853064	1
YDL210W	0.999999994462406	1
YDL215C	1.00000046482137	1
YDL238C	0.999998482948769	1
YDL245C	0.999998378813201	1
YDL247W	0.999999994462183	1
YDR001C	0.999998482948795	1
YDR007W	1.00000164122958	1
YDR017C	0.999998482948591	1
YDR019C	1.00000081555754	1
YDR023W	1.00039538143987	1
YDR035W	1.00001425109262	1
YDR037W	1.00006900116749	1
YDR044W	0.999999242188828	1
YDR046C	0.999999994462214	1
YDR047W	1.0000006994557	1
YDR050C	0.999984998599441	1
YDR058C	1	1
YDR062W	0.999998482948386	1
YDR072C	1.00000000666139	1
YDR074W	1.0000207412728	1
YDR098C	0.999998341505365	1
YDR127W	1.00048269301595	1
YDR135C	0.999999817175034	1
YDR147W	0.999998482948771	1
YDR148C	0.999998482972606	1
YDR158W	1.00001500550967	1
YDR173C	0.999998378813399	1
YDR178W	0.999999994462164	1
YDR191W	1	1
YDR196C	0.999999890326465	1
YDR204W	0.999999994462492	1
YDR208W	0.999999994462144	1
YDR226W	1.00040300854648	1
YDR232W	0.999999036896772	1
YDR234W	1.00289058478396	1
YDR236C	0.999999994462243	1
YDR256C	0.999999994462361	1
YDR261C	0.999998495147592	1
YDR268W	1	1
YDR272W	0.999998378813504	1
YDR284C	0.99999999446235	1
YDR287W	1.00006954454221	1
YDR294C	1	1
YDR297W	0.999999853018515	1
YDR298C	1.00108695864388	1
