Row	sensitivities
"YDL174C"	0
"YEL039C"	0
"YJR048W"	0
"YEL071W"	0
"YDL178W"	0
"YAL060W"	0
"YML054C"	0
"YGR032W"	0
"YMR306W"	0.00384961945072664
"YLR342W"	0
"YCR034W"	0
"YIL020C"	0
"YHR037W"	0
"YEL038W"	0
"YMR009W"	0
"YOL066C"	0.000145066830688895
"YBR153W"	0.0146208587871145
"YCL009C"	0
"YMR108W"	0.00269308536136534
"YNL256W"	0
"YER152C"	0
"YGL202W"	0.00228345993063107
"YJL060W"	0
"YHR063C"	0
"YDR035W"	0
"YBR249C"	0
"YDR204W"	0
"YGL119W"	0
"YGR255C"	0
"YLR201C"	0
"YML110C"	0
"YOL096C"	0
"YOR125C"	0
"YGL009C"	0.00240423044739426
"YNL104C"	0.000571140066989159
"YOR108W"	0
"YHR208W"	0
"YJR148W"	0
"YHR137W"	0.001839020135114
"YDR234W"	0.00775379360646522
"YPR001W"	0
"YOL064C"	0
"YGL248W"	0
"YOR360C"	0
"YDR487C"	0
"YDR127W"	0.00123477251160438
"YBR265W"	0
"YPL252C"	0
"YDR376W"	0
"YDR538W"	0
"YDR539W"	0
"YLR231C"	0
"YKR009C"	0
"YJR025C"	0
"YER175C"	0
"YCL018W"	0.000482314921767384
"YGR087C"	0
"YLR044C"	0.0136744424133594
"YLR134W"	0
"YBR176W"	0
"YDL080C"	0
"YNR033W"	0
"YMR289W"	0
"YGR019W"	0
"YCR053W"	0
"YLR410W"	0
"YOR163W"	0
"YDR017C"	0
"YLR017W"	0
"YER037W"	0
"YGL224C"	0
"YOR155C"	0
"YGR061C"	0.000931900254065733
"YGL125W"	0
"YPL023C"	0
"YDR232W"	0
"YER183C"	0
"YER091C"	0.00161805430407453
"YJR024C"	0
"YPR118W"	0
"YIL107C"	0
"YOL136C"	0
"YGR248W"	0
"YHR163W"	0.0734475336484081
"YLR355C"	0.0045029784869056
"YIL160C"	0
"YPL028W"	0
"YMR207C"	0
"YDL141W"	0
"YNR016C"	0.00293621032596695
"YBL015W"	0
"YAL054C"	0
"YLR153C"	0.00044559219741057
"YER069W"	0.00170745709095284
"YBR093C"	0
"YAR071W"	0
"YBR092C"	0
"YHR215W"	0
"YPR002W"	0
"YOL140W"	0.00210909276659938
"YPL148C"	0
"YGL205W"	0
"YCR048W"	0
"YNR019W"	0
"YJL091C"	0
"YNL141W"	0
"YDR441C"	0
"YML022W"	0
"YJR105W"	0
"YML035C"	0
"YER043C"	0.00281601682934782
"YOL052C"	0
"YNR058W"	0
"YJL005W"	0
"YDL166C"	0.00109225610027268
"YDR226W"	0
"YER170W"	0
"YLR359W"	0.000503076111387615
"YNL220W"	0.000320110025237423
"YKL001C"	3.70745213343333e-05
"YGR247W"	0
"YFL030W"	0
"YOR335C"	9.2068051296038e-05
"YGR177C"	0
"YOR377W"	0
"YMR303C"	0
"YDR368W"	0
"YHR104W"	0
"YGL256W"	0
"YMR083W"	0
"YBR145W"	0
"YDL168W"	0
"YOL086C"	0.00121130150058526
"YCR105W"	0
"YMR318C"	0
"YMR110C"	0
"YMR169C"	0
"YMR170C"	0
"YPL061W"	0.00101543144487044
"YOR374W"	0
"YER073W"	0
"YDR481C"	0
"YIR029W"	0
"YIR027C"	0
"YBR208C"	0
"YBR199W"	0
"YBR205W"	0
"YDR483W"	0
"YJL139C"	0
"YKR061W"	0
"YNL029C"	0
"YOR099W"	0
"YPL053C"	0
"YPR026W"	0
"YBR001C"	0
"YDR001C"	0
"YBR126C"	0
"YDR074W"	0
"YML100W"	0
"YMR261C"	0
"YBR299W"	0
"YGR287C"	0
"YGR292W"	0
"YIL172C"	0
"YJL216C"	0
"YJL221C"	0
"YDR242W"	0
"YMR293C"	0
"YDR354W"	8.49436224648616e-05
"YER090W"	0.00116875732124117
"YKL211C"	0.00115795342218039
"YDR305C"	0
"YPL111W"	0
"YHR018C"	0
"YOL058W"	9.9523424556202e-05
"YDR341C"	0.000184899144095093
"YHR091C"	0
"YGR124W"	0
"YPR145W"	0.00166044219362949
"YHR019C"	0.000185908199453478
"YCR024C"	0
"YJL130C"	0
"YER052C"	0
"YLR027C"	0.00405688733539979
"YKL106W"	0
"YDR158W"	0
"YLL018C"	0.00118729957390974
"YPL104W"	0
"YDR530C"	0
"YCL050C"	0
"YER055C"	0.000261651105861697
"Q0080"	0
"Q0085"	0
"Q0130"	2.54349384733799e-05
"YBL099W"	0
"YBR039W"	0
"YDL004W"	0
"YDR298C"	0
"YDR322C-A"	0
"YDR377W"	0
"YJR121W"	0
"YKL016C"	0
"YLR295C"	0
"YML081C-A"	0
"YPL078C"	0
"YPL271W"	0
"YPR020W"	0
"YOL077W-A"	0
"YCR024C-A"	0
"YEL017C-A"	0
"YGL008C"	0
"YPL036W"	0
"YER005W"	0
"YBR110W"	0
"YGR286C"	0
"YNL280C"	0.00954735725034736
"YMR015C"	0
"YGL001C"	0
"YLR100W"	0.00124317638794698
"YGR060W"	0
"YLR056W"	0
"YMR202W"	0
"YGL012W"	0.000901362669256533
"YDL090C"	0
"YKL019W"	0
"YJR109C"	0
"YOR303W"	0
"YAR035W"	0
"YER024W"	0
"YML042W"	0
"YGR088W"	0
"YDR256C"	0
"YDR297W"	0
"YMR272C"	0
"YHL003C"	0
"YMR298W"	0
"YKL008C"	0
"YLR307W"	0
"YLR308W"	0
"YBR023C"	0
"YBR038W"	0
"YNL192W"	0
