Row	s_4207	Growth		mutant_yield (u=0.05)	FC (0.05/0.1)
Q0130	1.549512576	1	OLI1	0.846112353	1.88587223
YBR039W	1.423974585	1	ATP3	0.778102186	1.734286586
Q0085	1.392875945	1	ATP6	0.757590672	1.688569143
YPL078C	1.373489857	1	ATP4	0.744824975	1.660116096
YDR298C	1.314490435	1	ATP5	0.706277694	1.574199318
YKL016C	1.22862643	1	ATP7	0.651251587	1.451553423
YBL099W	1.132435022	1	ATP1	0.591207941	1.317724098
YNR016C	1.071567856	1	ACC1	0.550166705	1.226248627
MCRca	1.054640696	1		0.545530705	1.215915597
YDL004W	1.042066109	1	ATP16	0.537219728	1.197391531
YHR163W	1.034477649	1	SOL3	0.541072747	1.205979399
YGR248W	1.034455709	1		0.541064891	1.205961891
YHR183W	1.024408015	1	GND1	0.537003947	1.196910584
YGR256W	1.024401922	1		0.537001714	1.196905608
YJR121W	1.023663936	1		0.536250237	1.195230666
YOR375C	1.019918659	1		0.535333637	1.193187685
YAL062W	1.019918216	1		0.53533326	1.193186845
YOR095C	1.018066648	1		0.535114744	1.192699801
YBL045C	1.016935416	1		0.53475234	1.191892052
Q0105	1.01472642	1		0.534376646	1.191054678
YPR191W	1.013560216	1		0.534096821	1.190430985
YPL061W	1.013032832	1	ALD6	0.533623303	1.189375578
YPR074C	1.0128648	1	TKL1	0.533797039	1.189762812
YBR117C	1.012853727	1		0.533816804	1.189806866
YOR065W	1.011282505	1		0.53351099	1.189125247
YEL024W	1.007999354	1		0.532465894	1.186795865
Q0045	1.006520805	1		0.531755587	1.185212685
YFR033C	1.006070505	1		0.531824728	1.185366793
YKR067W	1.005556688	1		0.530483888	1.182378237
YBL011W	1.005246764	1		0.530422752	1.182241973
YDR529C	1.005187129	1		0.531529805	1.184709448
YFL018C	1.005079095	1		0.531835155	1.185390032
YNL071W	1.004962334	1		0.531751092	1.185202667
YDL085W	1.004803721	1		0.531394021	1.184406802
YMR145C	1.004799357	1		0.531392532	1.184403484
YER178W	1.004657549	1		0.531544119	1.184741352
YAL054C	1.004602765	1		0.531107046	1.183767173
YGR193C	1.004598112	1		0.53150701	1.18465864
YBR221C	1.004277244	1		0.531306521	1.184211778
YNL169C	1.004134446	1		0.530297023	1.18196174
YJL166W	1.003976248	1		0.531125679	1.183808704
YGR170W	1.003849017	1		0.53074536	1.182961025
YBR153W	1.003833558	1		0.530699503	1.182858815
Q0275	1.003514066	1		0.530837441	1.183166259
Q0250	1.00331181	1		0.530768244	1.18301203
YOR347C	1.003233103	1		0.529567488	1.180335704
YJL121C	1.003216101	1		0.530654079	1.18275757
YAL038W	1.003200103	1		0.529569204	1.180339527
YHR001W-A	1.003146696	1		0.530849756	1.183193709
YGR254W	1.002959069	1		0.530179697	1.181700236
YOR393W	1.002950422	1		0.52963297	1.180481654
YMR323W	1.00294264	1		0.529633169	1.180482099
YPL281C	1.002940659	1		0.52963297	1.180481654
YGR183C	1.002752205	1		0.530719036	1.182902352
YHR174W	1.002708243	1		0.529669106	1.180562196
YDL131W	1.002706127	1		0.530142234	1.181616736
YML126C	1.002590293	1		0.530133119	1.18159642
YNL280C	1.002538321	1		0.53010281	1.181528865
YGR175C	1.002356131	1		0.530080917	1.181480068
YER073W	1.002241985	1		0.531055193	1.183651601
YFL045C	1.002234682	1		0.530066547	1.181448041
YOR374W	1.002210161	1		0.531035858	1.183608505
YKL181W	1.002206186	1		0.532145352	1.186081421
YOL061W	1.002198061	1		0.531693214	1.185073664
YKL182W	1.002190697	1		0.530061042	1.18143577
YGL245W	1.002109713	1		0.5300705	1.181456849
YLR395C	1.002100778	1		0.53203728	1.185840541
YDR234W	1.002067393	1		0.530065512	1.181445732
YHR051W	1.002044366	1		0.530375838	1.182137409
YGL187C	1.002021495	1		0.53036866	1.18212141
YIL111W	1.001997976	1		0.530370515	1.182125543
YPL231W	1.001983064	1		0.530036086	1.181380146
YNL241C	1.001892327	1		0.531942115	1.185628432
YDL171C	1.001855881	1		0.529995756	1.181290256
YGL191W	1.001776787	1		0.531948286	1.185642186
YLR153C	1.001665302	1		0.530327994	1.182030771
YER099C	1.001639251	1		0.529993911	1.181286144
YHL011C	1.001630605	1		0.530012936	1.181328549
YBL068W	1.001629134	1		0.529993594	1.181285438
YMR205C	1.001605177	1		0.531056013	1.183653429
YCR012W	1.001596517	1		0.529736634	1.180712707
YGL148W	1.001491383	1		0.529977277	1.181249068
YGL055W	1.001414483	1		0.529968968	1.181230548
YOR184W	1.001294932	1		0.529819107	1.18089653
YGR264C	1.001282263	1		0.52997973	1.181254535
YLR355C	1.001213025	1		0.529962846	1.181216904
YLR038C	1.001166008	1		0.531768603	1.185241697
YGR240C	1.001132721	1		0.529476934	1.180133869
YMR306W	1.00103992	1		0.529923007	1.181128108
YGR032W	1.001008563	1		0.529922706	1.181127437
YJL200C	1.000928205	1	ACO2	0.529913075	1.18110597
YLR180W	1.000856323	1		0.529904436	1.181086717
YMR256C	1.00083576	1		0.530029457	1.181365371
YDL067C	1.000832039	1		0.530052528	1.181416793
YLR342W	1.000826405	1		0.529897463	1.181071174
YML120C	1.000767998	1		0.530053216	1.181418327
YER043C	1.000767791	1		0.529890854	1.181056444
YMR108W	1.000734501	1		0.529887582	1.18104915
YGL009C	1.000658979	1		0.529896466	1.181068951
YMR217W	1.000625984	1		0.529873976	1.181018823
YOL140W	1.000588674	1		0.52986792	1.181005326
YIL078W	1.000584894	1		0.529887596	1.181049181
YDR226W	1.000568087	1		0.529829084	1.180918766
YDL166C	1.000567631	1		0.531508572	1.184662122
YOR283W	1.000554192	1		0.529743418	1.180727828
YKL152C	1.000531648	1		0.529743459	1.18072792
YER069W	1.000482442	1		0.529875092	1.181021311
YJL167W	1.000476238	1		0.529855559	1.180977776
YLR295C	1.000473374	1		0.530018579	1.181341126
YPR145W	1.000466486	1		0.529853774	1.180973797
YGR124W	1.000466084	1		0.529853768	1.180973785
YBR218C	1.00046145	1		0.52969531	1.180620601
YGL062W	1.000457044	1		0.52969539	1.18062078
YER091C	1.000451316	1		0.531483503	1.184606247
YOL086C	1.000439442	1	ADH1	0.529516676	1.18022245
YBR196C	1.000411985	1		0.529431459	1.180032512
YEL039C	1.000395435	1		0.529777952	1.180804799
YDR513W	1.000395331	1		0.529817117	1.180892093
YKL026C	1.000394613	1		0.529817117	1.180892093
YOR168W	1.000366845	1		0.5298615	1.180991016
YBR145W	1.000351424	1	ADH5	0.529545699	1.180287139
YLR100W	1.000350852	1		0.529840491	1.180944191
YDR127W	1.00034866	1		0.529840252	1.180943658
YPR035W	1.000339469	1	GLN1	0.531760805	1.185224315
YLL018C	1.000336947	1		0.529867435	1.181004246
YER090W	1.000331157	1		0.529857333	1.18098173
YKL211C	1.00032834	1		0.529856991	1.180980966
YNL104C	1.000304899	1		0.529853208	1.180972536
YHR011W	1.000293359	1		0.529833077	1.180927666
YDR516C	1.000291994	1		0.529727388	1.1806921
YDR023W	1.000283822	1		0.529833025	1.18092755
YGR061C	1.000273229	1		0.529849832	1.18096501
YHR020W	1.000271144	1		0.52985005	1.180965497
YGL012W	1.000268981	1		0.529830317	1.180921515
YLR028C	1.000259217	1		0.529829926	1.180920643
YMR120C	1.000258805	1		0.529848574	1.180962206
YMR220W	1.000256343	1		0.52983275	1.180926937
YGL234W	1.000224698	1		0.531456693	1.184546491
YJR016C	1.000224251	1		0.52984425	1.18095257
YPR020W	1.000212854	1		0.529874673	1.181020377
YGL256W	1.00020434	1	ADH4	0.531451027	1.184533862
YDR322C-A	1.000178334	1		0.52986556	1.181000066
YFR053C	1.000177078	1	HXK1	0.53016383	1.18166487
YCL040W	1.000173905	1		0.531843693	1.185409063
YNR043W	1.000172511	1		0.529819669	1.18089778
YLR420W	1.000169034	1		0.529819069	1.180896444
YMR083W	1.000164818	1	ADH3	0.529846553	1.180957702
YPR081C	1.000156654	1		0.529835888	1.180933932
YDR377W	1.000155762	1		0.529867505	1.181004402
YLR359W	1.000155654	1		0.53146524	1.18456554
YCL018W	1.00015442	1		0.529835578	1.18093324
YBR256C	1.000151621	1		0.529820735	1.180900157
YLR304C	1.000150444	1	ACO1	0.5298161	1.180889828
YJL153C	1.000146809	1		0.529815922	1.18088943
YBR115C	1.000132577	1		0.529832548	1.180926488
YOL077W-A	1.000121947	1		0.529831467	1.180924078
YOL097C	1.000117227	1		0.529831605	1.180924384
YGR185C	1.000113884	1		0.529831242	1.180923577
YPL160W	1.000113636	1		0.53118172	1.183933613
YHR216W	1.000110016	1		0.52982986	1.180920496
YML081C-A	1.000107673	1		0.529846905	1.180958488
YNL220W	1.000107145	1		0.529811382	1.180879311
YLR432W	1.000106151	1		0.529811201	1.180878906
YHR190W	1.000098326	1		0.529810182	1.180876635
YLR058C	1.000095835	1		0.529944258	1.181175474
Q0080	1.000094262	1		0.52984305	1.180949895
YLR174W	1.000094229	1		0.53145778	1.184548913
YJR139C	1.000093258	1		0.531765588	1.185234976
YER055C	1.00009164	1		0.529828584	1.180917652
YHL012W	1.000080763	1		0.529836288	1.180934822
YPL271W	1.000078736	1		0.52984715	1.180959032
YIL094C	1.000077705	1		0.529808231	1.180872287
YBR263W	1.000077548	1		0.53200165	1.185761127
