genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage
YAR035W	P80235	YAT1	77.76483	2	1000	2	0	8.60078337709275e-07	8.59291514845472e-07
YBL015W	P32316	ACH1	58.71137	1	1000	2	0	0.00137364492810063	6.72736422096e-12
YBR252W	P33317	DUT1	15.30716	1	1000	2	0	5.50131973798531e-09	0
YCL064C	P25379	CHA1	39.30093	2	1000	2	0	2.00781437407788e-05	1.98995769035281e-05
YDL171C	Q12680	GLT1	238.09944	2	1000	2	0	2.87067340408541e-06	2.22628741618192e-06
YEL046C	P37303	GLY1	42.81463	2	1000	2	3.92070066335969e-06	3.92086247920448e-06	3.92070066335973e-06
YER024W	P40017	YAT2	103.33286	1	1000	2	0	2.28427483448891e-06	0
YER065C	P28240	ICL1	62.40816	2	1000	2	4.14218045269587e-05	4.14220088472197e-05	4.14218045269587e-05
YER170W	P26364	ADK2	25.19373	1	1000	2	0	0.00320114220806104	4.17441764088e-13
YGL256W	P10127	ADH4	41.14161	1	1000	2	0	0.000124317839474286	3.99899652919336e-07
YLR138W		NHA1	NaN	1	1000	2	0	0	0
YML042W	P32796	CAT2	77.24096	2	1000	2	6.03400178474978e-07	8.67494397507338e-07	8.66700790232201e-07
YMR083W	P07246	ADH3	40.36903	1	1000	2	0	0.000348891331611111	0
YMR303C	P00331	ADH2	36.73148	1	1000	2	9.53215931142789e-07	0.0018962838407812	2.51684824423057e-06
YOR100C		CRC1	NaN	1	1000	2	0	0	0
YOR108W	Q12166	LEU9	67.19951	2	1000	2	0	1.6386262461977e-07	1.6383786303264e-07
YJR069C	P47119	HAM1	22.09268	1	1000	2	0	0.00365046455251645	8.15824385982e-11
YDR456W		NHX1	NaN	1	1000	2	0	0	0
YDR038C	Q12691	ENA5	120.29497	1	1000	2	0	3.90774971711496e-07	4.0828792144529e-11
YDR039C	Q01896	ENA2	120.31602	1	1000	2	0	3.90774971711885e-07	0
YDR040C	P13587	ENA1	120.35609	1	1000	2	0	3.90774971712015e-07	0
YNL274C	P53839	GOR1	38.83095	1	1000	2	4.20589631259464e-05	0.00211897751089906	4.20589631259464e-05
