genes	enzymes	shortNames	MWs	actions	k_scores
YDR300C	P32264	PRO1	47.16164	1	1000
YOR323C	P54885	PRO2	49.73991	1	1000
MCRca	Q6QQP7	MCRca	300	1	1000
YBR117C	P33315	TKL2	75.02862	1	47.2783799358508
YPR074C	P23254	TKL1	73.80488	1	39.9507103302123
YDL141W	P48445	BPL1	76.36203	1	12.2327081563059
YNR016C	Q00955	ACC1	250.35091	1	12.2327081541427
YAL054C	Q01574	ACS1	79.13997	1	10.7833486546559
YGR087C	P26263	PDC6	61.57964	1	10.7833486546559
YLR044C	P06169	PDC1	61.49468	1	10.7833486546559
YLR134W	P16467	PDC5	61.91138	1	10.7833486546559
YLR153C	P52910	ACS2	75.49079	1	10.7833486546559
YPL061W	P54115	ALD6	54.41344	1	10.7833486546559
YJL121C	P46969	RPE1	25.96689	1	10.6400319076584
YGR248W	P53315	SOL4	28.44737	1	5.82202671505486
YGR256W	P53319	GND2	53.92235	1	5.82202671505486
YHR163W	P38858	SOL3	27.78417	1	5.82202671505486
YHR183W	P38720	GND1	53.54274	1	5.82202671505486
YNL241C	P11412	ZWF1	57.5209	1	5.82202671505486
YNL036W	P53615	NCE103	24.85889	1	3.36076021413437
YOR095C	Q12189	RKI1	28.25777	1	3.164642678199
YDR226W	P07170	ADK1	24.2546	1	2.09855417187931
YAL038W	P00549	CDC19	54.54404	1	1.82712450837546
YOR347C	P52489	PYK2	55.19478	1	1.82712450837546
YGR254W	P00924	ENO1	46.81564	1	1.71593537195105
YHR174W	P00925	ENO2	46.91368	1	1.71593537195105
YKL152C	P00950	GPM1	27.60828	1	1.71593537195105
YMR323W	P42222	ERR3	47.31216	1	1.71593537195105
YOR393W	P0CX10	ERR1	47.32712	1	1.71593537195105
YPL281C	P0CX11	ERR2	47.32712	1	1.71593537195105
YOR283W	Q12040	YOR283W	26.17622	1	1.71593537195105
YMR267W	P28239	PPA2	35.57213	1	1.42416561498382
YCR012W	P00560	PGK1	44.73787	1	1.12239422886787
YGR192C	P00359	TDH3	35.74626	1	1.12239422886787
YJL052W	P00360	TDH1	35.74956	1	1.12239422886787
YJR009C	P00358	TDH2	35.84645	1	1.12239422886787
YDR050C	P00942	TPI1	26.79508	1	1.01532807089214
YDR516C	Q04409	EMI2	55.92028	1	1.00062263963008
YOR222W		ODC2	NaN	0	0.293659288690627
YPL134C		ODC1	NaN	0	0.293659288690627
YBR218C	P32327	PYC2	130.16549	0	0.293595735286908
YGL062W	P11154	PYC1	130.09827	0	0.293595735286908
YKL067W	P36010	YNK1	17.16647	0	0.293491461298706
YOL126C	P22133	MDH2	40.7305	0	0.293086415244622
YPR021C		AGC1	NaN	0	0.291999950776946
YKL029C	P36013	MAE1	74.37529	0	0.291189317051328
YER069W	Q01217	ARG5,6	94.86823	0	0.291186778815388
YMR062C	Q04728	ARG7	47.84821	0	0.291186778815388
YOL140W	P18544	ARG8	46.68082	0	0.291186778815388
YOR130C		ORT1	NaN	0	0.291186778815388
YLR438W	P07991	CAR2	46.08557	0	0.288441877817687
YBR029C	P38221	CDS1	51.82218	0	0.279258015874425
YOR175C	Q08548	ALE1	72.22714	0	0.266628921705321
YDL052C	P33333	SLC1	33.88654	0	0.242456137060881
YCR048W	P25628	ARE1	71.61215	0	0.22000355869291
YDR503C	Q04396	LPP1	31.58604	0	0.207961800384867
YNR019W	P53629	ARE2	74.022	0	0.207585615886628
YOR245C	Q08650	DGA1	47.71075	0	0.164378423829942
YCL040W	P17709	GLK1	55.37689	0	0.0685767350466726
YGL253W	P04807	HXK2	53.9419	0	0.0685767350466726
YLR446W	Q06204	YLR446W	48.96875	0	0.0685767350466726
YFR053C	P04806	HXK1	53.73784	0	0.0685767350466713
