Chemicals	rxns	rxnNames	formulas	grRules	c	lb	ub	proteins	kcats	MWs	EC_number	¦Ì	qO2	ATP	Medium	Carbon source	deletion	
Lactic acid	Lactic acid_1	L-lactate dehydrogenase	pyruvate[c] + NADH[c] + H+[c] => (S)-lactate[c] + NAD[c]	LDHA 	0	0	1000	P19858	7.0146	36.598	1.1.1.27	0.29			YEP	glucose	YDL022W,YML054C,YLR044C,YOL086C,YPL061W	
Lactic acid	Lactic acid_2	acetaldehyde dehydrogenase	acetaldehyde[c] + coenzyme A[c] + NAD[c] => acetyl-CoA[c] + NADH[c] + H+[c]	EutE 	0	0	1000	P77445	15.7	49.022	1.2.1.10							
Lactic acid	Lactic acid_3	L-lactate transport	(S)-lactate[c] => (S)-lactate[e]		0	0	1000											
Lactic acid	Lactic acid_4	L-lactate exchange	(S)-lactate[e] =>		1	0	1000											
																		
Malate	r_0958No1	pyruvate carboxylase (No1)	pmet_r_0958[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	YBR218C	0	0	1000	P32327	0.52	130.166		0.1			Min	glucose	YLR044C,YLR134W,YGR087C,YDL078C	
Malate	r_0958No2	pyruvate carboxylase (No2)	pmet_r_0958[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c]	YGL062W	0	0	1000	P11154	0.52	130.098								
Malate	r_0714_REVNo1	malate dehydrogenase, cytoplasmic (reversible) (No1)	H+[c] + NADH[c] + oxaloacetate[c] => (S)-malate[c] + NAD[c]	YOL126C	0	0	1000	P22133	20.70467083	40.7305								
Malate	r_1901_REV	L-malate transport (reversible)	(S)-malate[c] => (S)-malate[e]	mae1 	0	0	1000	P50537		49.304	2.A.16.2.1							
			 															
cis,cis-muconic acid	cis,cis-muconic acid_1	dehydroshikimate dehydratase	3-dehydroshikimate[c] => 3,4-Dihydroxybenzoate[c] + H2O[c]	Pa_5_5120 	0	0	1000	3DSD	121.44	40.48	4.2.1.118	0.1			YEP	glucose	YDR035W,YBR249C,YNL241C	
cis,cis-muconic acid	cis,cis-muconic acid_2	protocatechuic acid decarboxylase	3,4-Dihydroxybenzoate[c] + H+[c] => carbon dioxide[c] + Catechol[c]	ECL_01944 	0	0	1000	A0A0H3CJN8	90	53.541	4.1.1.63							
cis,cis-muconic acid	cis,cis-muconic acid_3	catechol 1,2-dioxygenase	Catechol[c] + oxygen[c] => 2 H+[c] + cis,cis-muconate[c]	HQD2 	0	0	1000	P86029	157.7333333	33.8	1.13.11.1							
cis,cis-muconic acid	cis,cis-muconic acid_4	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	D-erythrose 4-phosphate[c] + H2O[c] + phosphoenolpyruvate[c] => 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c] + phosphate[c]	ARO4K229L 	0	0	1000	P32449ly	0.082809792	39.7487	2.5.1.54							
