genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBL015W	P32316	ACH1	58.71137	1	1000	opt_isoenz	2	0	1.58477227181372e-09	1.2969475940736e-11
YBR145W	P38113	ADH5	37.64764	1	1000	subOpt_isoenz	2	0	3.54106500840645e-09	0
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	6.22067689363364e-09	0
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10045174992638e-07	2.10441771446621e-07	2.10188074822914e-07
YER170W	P26364	ADK2	25.19373	1	1000	subOpt_isoenz	2	0	3.66953019947627e-09	8.04772974408912e-13
YOL086C	P00330	ADH1	36.84874	1	1000	opt_isoenz	2	0	2.40069491084098e-09	2.44186201551405e-10
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72281255924922e-08	2.72795018151845e-08	2.72466152002226e-08
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.40664595175606e-11	4.34095937063093e-09	1.5728024228112e-10
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.18138622195394e-09	1.59461388661699e-12
LUP	A0A3B1EU92	LUP	86.705	2	1000	tightly_const	2	0.00103968921220358	0.00103968921220566	0.00103968921220358
YGR087C	P26263	PDC6	61.57964	1	12.3381392622409	subOpt_isoenz	2	0	2.61532982017681e-09	0
YLR134W	P16467	PDC5	61.91138	1	12.3381392622409	subOpt_isoenz	2	0	2.59096607743771e-09	0
YLR044C	P06169	PDC1	61.49468	2	12.3381392622409	essential	2	7.95389602412686e-07	8.51428691904758e-07	7.96064880579916e-07
YAL038W	P00549	CDC19	54.54404	2	2.45763991176785	essential	2	1.89809413765739e-06	2.04058686299501e-06	2.03616309637466e-06
YOR347C	P52489	PYK2	55.19478	1	2.45763991176785	subOpt_isoenz	2	0	1.42023306643076e-07	0
YGR254W	P00924	ENO1	46.81564	2	2.30072305559084	essential	2	1.90550552355342e-06	2.09356498584332e-06	2.08763996821291e-06
YHR174W	P00925	ENO2	46.91368	1	2.30072305559084	subOpt_isoenz	2	0	2.79245833686011e-09	0
YKL152C	P00950	GPM1	27.60828	1	2.30072305559084	subOpt_isoenz	2	0	9.72110455559952e-09	0
YMR323W	P42222	ERR3	47.31216	1	2.30072305559084	subOpt_isoenz	2	0	1.86123173283711e-07	0
YOR393W	P0CX10	ERR1	47.32712	1	2.30072305559084	subOpt_isoenz	2	0	1.80701403397361e-07	0
YPL281C	P0CX11	ERR2	47.32712	1	2.30072305559084	subOpt_isoenz	2	0	1.80701403508872e-07	0
YOR283W	Q12040	YOR283W	26.17622	2	2.30072305559084	essential	2	5.70809455977742e-07	5.81046203904444e-07	5.76419429243336e-07
YLR354C	P15019	TAL1	37.0359	2	1.26499645993214	tightly_const	2	3.23340735143252e-06	3.26122342390675e-06	3.23374253867127e-06
YGR043C	P53228	NQM1	37.25314	1	1.26499645993214	subOpt_isoenz	2	0	3.56251818459018e-09	0
YGR240C	P16861	PFK1	107.96906	1	1.22931783701697	subOpt_isoenz	2	0	3.78010508230168e-09	0
YKL060C	P14540	FBA1	39.62024	1	1.22931783701697	subOpt_isoenz	2	0	3.91504202816227e-09	0
YMR205C	P16862	PFK2	104.61673	2	1.22931783701697	tightly_const	2	6.86924647985974e-07	6.90242661904672e-07	6.87367838010041e-07
YDR050C	P00942	TPI1	26.79508	2	1.22859428930561	essential	2	2.82400525842659e-08	3.17914248184718e-08	2.82415036125427e-08
YCR012W	P00560	PGK1	44.73787	2	1.22781951371661	tightly_const	2	9.11891845793536e-07	9.15650826751796e-07	9.11915265820597e-07
YGR192C	P00359	TDH3	35.74626	1	1.22781951371661	subOpt_isoenz	2	0	3.76824766190506e-09	0
YJL052W	P00360	TDH1	35.74956	2	1.22781951371661	tightly_const	2	1.68762873152607e-05	1.6912256395179e-05	1.68767207472539e-05
YJR009C	P00358	TDH2	35.84645	1	1.22781951371661	subOpt_isoenz	2	0	6.05710161840245e-09	0
YBR196C	P12709	PGI1	61.29832	2	1.19169666406965	essential	2	3.66837250760768e-07	3.72409176662622e-07	3.66885865185504e-07
YER091C	P05694	MET6	85.85892	0	0.293884450454309	tightly_const	0	6.44176828941812e-07	6.44255530773328e-07	6.44226117841574e-07
YGL125W	P53128	MET13	68.55958	0	0.293884450454309	opt_isoenz_tight	0	0	1.40973795608068e-08	1.4092433644586e-08
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40931303928774e-08	0
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.18770631066401e-09	0
YLR180W	P10659	SAM1	41.81793	0	0.293827460547136	tightly_const	0	2.58929339491779e-06	2.59040893869588e-06	2.58960509176977e-06
YER043C	P39954	SAH1	49.12498	0	0.293827460547136	tightly_const	0	1.91083806382526e-06	1.91165278268658e-06	1.91105956507182e-06
YJR105W	P47143	ADO1	36.37191	0	0.293827460547136	essential	0	5.90950281646503e-08	5.97588994541128e-08	5.92051978551671e-08
YLL052C		AQY2	NaN	0	0.287631232145379		0	NaN	NaN	NaN
YPR192W		AQY1	NaN	0	0.287631232145379		0	NaN	NaN	NaN
YNL036W	P53615	NCE103	24.85889	0	0.286620240588634	opt_isoenz	0	0	3.71813587484716e-09	5.02516968738897e-11
YBR218C	P32327	PYC2	130.16549	0	0.282987457510794	subOpt_isoenz	0	0	5.14610597238086e-07	0
YGL062W	P11154	PYC1	130.09827	0	0.282987457510794	opt_isoenz_tight	0	0	5.14829169611993e-07	5.14265994470623e-07
