genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YEL046C	P37303	GLY1	42.81463	2	1000	tightly_const	2	1.67417146610177e-06	1.67422949034333e-06	1.67417324737715e-06	1	4	0	1	1.0235588526874	1.02875308636298
YER065C	P28240	ICL1	62.40816	2	1000	tightly_const	2	2.02915924610034e-06	2.02943988767779e-06	2.02916506378435e-06	1	3	0	1	0.999999999999947	0.999999999999936
YFL030W	P43567	AGX1	41.90679	2	1000	tightly_const	2	2.04455034720119e-07	2.04492796710881e-07	2.0446510458429e-07	1	4	0	1	0.999999999999957	0.999999999999951
YML042W	P32796	CAT2	77.24096	2	1000	tightly_const	2	1.78823341925127e-07	1.79011548366334e-07	1.78842162569255e-07	1	8	0	1	0.999999999999994	1
YMR205C	P16862	PFK2	104.61673	2	400.747607505605	essential	2	3.86642296931506e-07	6.95327400703628e-07	6.95312541672204e-07	1	9	0	1	1.01004164468155	1.0745965894818
YPL262W	P08417	FUM1	53.15125	1	340.410413355192	essential	2	3.07417733955184e-08	0.00146784695162837	3.07420055941719e-08	1	6	0	1	1.00008305171642	1.00010076894798
YJR139C	P31116	HOM6	38.50163	2	10.504252446229	tightly_const	2	3.471152596434e-06	3.47126309350337e-06	3.47115598813172e-06	1	7	0	1	1.04464185393557	1.05473301078744
YCR053W	P16120	THR4	57.47349	2	10.504252446229	tightly_const	2	1.92087517219199e-08	1.92111227487127e-08	1.92105299920154e-08	1	6	0	1	1.00035462563876	1.00043066059849
YDR158W	P13663	HOM2	39.54334	2	10.504252446229	tightly_const	2	4.12955393975759e-07	4.12968539431693e-07	4.12955797341094e-07	1	6	0	1	1.00526819557699	1.00640448941266
YER052C	P10869	HOM3	58.10913	2	10.504252446229	tightly_const	2	3.45281194136222e-07	3.45292185344463e-07	3.45281531398963e-07	1	4	0	1	1.00648001018356	1.00787972833481
YHR025W	P17423	THR1	38.71215	2	10.504252446229	tightly_const	2	1.92087517219255e-06	1.92111227487113e-06	1.92105299920154e-06	1	5	0	1	1.02440495773132	1.02979116943254
YOR184W	P33330	SER1	43.41501	2	1.75634807140548	tightly_const	2	0.000143921832597531	0.000143925172170031	0.000143923775119237	1	4	0	1	1.05168102088293	1.06346002159372
YGR208W	P42941	SER2	34.20684	2	1.75634807140548	tightly_const	2	4.45729748498896e-07	4.45740089561336e-07	4.45735764540287e-07	1	4	0	1	1.00012751871547	1.00015485234926
YDR050C	P00942	TPI1	26.79508	1	1.25317201691984	essential	2	2.85687136100879e-08	0.0029116183634186	2.85689217214267e-08	1	2	0	1	1.00060553391237	1.00073540543475
YCR012W	P00560	PGK1	44.73787	1	1.24048225370576	essential	2	9.17199418588099e-07	0.00174477061909453	9.17203924729366e-07	1	4	0	1	0.991057289943126	1.04267718815321
YDR516C	Q04409	EMI2	55.92028	2	1.00066848171674	essential	2	2.22053009012918e-08	1.86180431412892e-07	1.86178000000186e-07	1	4	0	1	1.00819653533755	1.00997070557137
YAR035W	P80235	YAT1	77.76483	2	1000	opt_isoenz_tight	2	0	1.77481209552611e-07	1.77313271805375e-07	0	5	1	2	0.99999999999995	0.999999999999941
YDL171C	Q12680	GLT1	238.09944	2	1000	opt_isoenz_tight	2	0	3.05056413956587e-06	3.05034812879728e-06	1	6	0	2	1.02776628532852	1.09734817697818
YOR108W	Q12166	LEU9	67.19951	2	1000	opt_isoenz_tight	2	0	3.15867129440029e-07	3.15857912994073e-07	1	7	0	2	0.998735176275261	1.00557175824715
YLR153C	P52910	ACS2	75.49079	2	4.4932380614019	opt_isoenz_tight	2	0	1.15379383916846e-06	1.15367756760141e-06	1	13	0	2	1.00563285552169	1.00684833845601
YNR001C	P00890	CIT1	53.35945	2	3.76378086193795	opt_isoenz_tight	2	0	2.95542132314718e-07	2.95516458812625e-07	1	7	0	2	1.00181453527946	1.00220427786732
YGL062W	P11154	PYC1	130.09827	2	2.35233213944238	opt_isoenz_tight	2	0	1.93919600823725e-06	1.93895416352475e-06	0	8	3	2	1.0829575619515	1.10256019844927
YIL074C	P40510	SER33	51.18777	2	1.75634807140548	opt_isoenz_tight	2	0	1.15233028477059e-06	1.15231909934742e-06	0	6	4	2	1.00049327508269	1.00059905554544
YBL039C	P28274	URA7	64.70953	0	0.286103201319345	subOpt_isoenz	0	0	4.15993107793844e-08	0	0	12	7	2	0.999999999999937	0.999999999999929
