genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange
YDR300C	P32264	PRO1	47.16164	2	1000	2	0	2.71761830698438e-09	2.53324773910762e-09	1.00000100000101
YOR323C	P54885	PRO2	49.73991	2	1000	2	0	3.52284023544013e-10	3.28384121755963e-10	1.00000100000101
YBR117C	P33315	TKL2	75.02862	1	115.798887231714	2	0	0.00109411284120091	0	1.00000100000097
YPR074C	P23254	TKL1	73.80488	1	97.7632605116333	2	0	0.00111225345088642	2.97618239057249e-06	1.00000100000104
YJL121C	P46969	RPE1	25.96689	1	25.6207536494109	2	1.8091362855243e-06	0.00315467306666066	1.80931035606679e-06	1.00000100000111
YER086W	P00927	ILV1	63.83052	2	23.8753818931066	2	0	5.42467220851312e-07	5.42466394537197e-07	1.00000100000102
YGR248W	P53315	SOL4	28.44737	1	13.7606335396799	2	0	3.11019758386622e-05	0	1.00000100000101
YGR256W	P53319	GND2	53.92235	1	13.7606335396799	2	0	8.54449467339342e-06	0	1.00000100000101
YHR163W	P38858	SOL3	27.78417	2	13.7606335396799	2	0	3.11019758386622e-05	3.11018100504627e-05	1.00000100000101
YHR183W	P38720	GND1	53.54274	2	13.7606335396799	2	0	8.54449467339085e-06	8.54444912720569e-06	1.00000100000101
YNL241C	P11412	ZWF1	57.5209	2	13.7606335396799	2	4.91447711868866e-07	4.91497157494439e-07	4.91494544226376e-07	1.00000100000101
YJR139C	P31116	HOM6	38.50163	2	13.4326951135204	2	6.95952893282706e-06	6.95962104017647e-06	6.95953442229689e-06	1.00000100000101
YCR053W	P16120	THR4	57.47349	2	13.4326951135204	2	3.8514840729099e-08	3.85168540919764e-08	3.85163747198688e-08	1.00000100000101
YDR158W	P13663	HOM2	39.54334	2	13.4326951135204	2	8.27959858156906e-07	8.27970815965845e-07	8.27960511227059e-07	1.000001000001
YER052C	P10869	HOM3	58.10913	2	13.4326951135204	2	6.92275661467838e-07	6.92284823535721e-07	6.92276207514325e-07	1.00000100000101
YHR025W	P17423	THR1	38.71215	2	13.4326951135204	2	3.8514840729106e-06	3.85168540919767e-06	3.85163747198688e-06	1.00000100000101
YDL066W	P21954	IDP1	48.18986	2	7.8167145040206	2	5.69837278404729e-06	5.70023548588198e-06	5.69911786478132e-06	1.00000100000101
YOR095C	Q12189	RKI1	28.25777	1	7.21907972888493	2	1.10040733896357e-05	0.00290826171345891	1.10051024014772e-05	1.00000100000102
YLR027C	P23542	AAT2	46.05711	1	4.72654477140982	2	0	0.0017778629465105	2.84764985484131e-07	1.00000100000085
YBR218C	P32327	PYC2	130.16549	1	2.70201875178052	2	0	2.85190034465727e-06	0	1.00000100000102
YGL062W	P11154	PYC1	130.09827	2	2.702018750936	2	0	2.85190034465496e-06	2.85106646711896e-06	1.00000100000102
YNL036W	P53615	NCE103	24.85889	1	1.86099317459301	2	0	0.00329339181797848	1.91021904130378e-10	1.00000100000101
YAL038W	P00549	CDC19	54.54404	2	1.86088873822813	2	0	1.54827570033092e-06	1.54824872321166e-06	1.000001000001
YOR347C	P52489	PYK2	55.19478	1	1.86088873822813	2	0	1.54827570033092e-06	0	1.000001000001
YGR254W	P00924	ENO1	46.81564	1	1.73698862659066	2	0	0.00175035734910611	1.57922847332889e-06	1.00000100000097
YHR174W	P00925	ENO2	46.91368	1	1.73698862659066	2	0	0.00174669720336256	0	1.00000100000101
YKL152C	P00950	GPM1	27.60828	1	1.73698862659066	2	0	0.00296582954425781	0	1.00000100000101
YMR323W	P42222	ERR3	47.31216	1	1.73698862659066	2	0	0.00173198520470652	0	1.00000100000101
YOR393W	P0CX10	ERR1	47.32712	1	1.73698862659066	2	0	0.00173143992347114	0	1.000001000001
YPL281C	P0CX11	ERR2	47.32712	1	1.73698862659066	2	0	0.00173143992347114	0	1.00000100000101
YOR283W	Q12040	YOR283W	26.17622	1	1.73698862659066	2	0	0.00312809005537016	4.36041649470963e-07	1.00000100000102
YAL062W	P39708	GDH3	49.62653	1	1.24689923739197	2	0	7.42265365225652e-06	0	1.00000100000101
YOR375C	P07262	GDH1	49.56931	2	1.24689923739197	2	0	7.42265365225514e-06	7.42240056773998e-06	1.00000100000101
YCR012W	P00560	PGK1	44.73787	1	1.00550823470693	2	7.80795106388015e-07	0.00183077500300634	7.80795106388042e-07	1.00000100000042
YGR192C	P00359	TDH3	35.74626	1	1.00550823470693	2	0	0.00230476113418982	0	1.00000100000101
YJL052W	P00360	TDH1	35.74956	1	1.00550823470693	2	0	0.00230454836002169	1.44500936273675e-05	1.00000100000104
YJR009C	P00358	TDH2	35.84645	1	1.00550823470693	2	0	0.00229832515791658	0	1.0000010000011
YDR516C	Q04409	EMI2	55.92028	2	1.00031999716331	2	1.15147127761523e-08	1.86180097411776e-07	1.86106187996958e-07	1.00000100000102
YOR222W		ODC2	NaN	0	0.152140731303596	0	0	0	0	1.00000100000101
YPL134C		ODC1	NaN	0	0.152140731303596	0	0	0	0	1.00000100000101
YER141W	P40086	COX15	54.65792	0	0.145891666666667	0	0	2.3847993981e-13	2.3847993981e-13	1.00000100000101
YCR048W	P25628	ARE1	71.61215	0	0.11411749186004	0	0	0.00114324233321021	1.02030632497861e-11	1.00000100000102
YLR304C	P19414	ACO1	85.36736	0	0.112987593498183	0	0	0.00095914072183429	1.08387177431219e-07	1.00000100000101
YDR503C	Q04396	LPP1	31.58604	0	0.107871341655734	0	0	5.36001146417409e-10	4.9474106999704e-10	1.00000100000102
YNR019W	P53629	ARE2	74.022	0	0.107676211952292	0	0	0.00110602384184333	0	1.00000100000101
YDL052C	P33333	SLC1	33.88654	0	0.106348247925119	0	0	1.56314568516375e-06	0	1.00000100000102
YOR245C	Q08650	DGA1	47.71075	0	0.0852643179284383	0	0	5.45220187272234e-08	0	1.00000100000101
