genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YBR252W	P33317	DUT1	15.30716	1	1000	subOpt_isoenz	2	0	4.476698092601e-10	0
YEL063C		CAN1	NaN	1	1000		2	NaN	NaN	NaN
YKR039W		GAP1	NaN	1	1000		2	NaN	NaN	NaN
YJR069C	P47119	HAM1	22.09268	1	1000	opt_isoenz	2	0	0.00236776815972645	7.74842998528065e-12
YKL029C	P36013	MAE1	74.37529	2	39.6184616697705	tightly_const	2	1.05243706326209e-06	1.05270432887689e-06	1.05259742263012e-06
YER069W	Q01217	ARG5,6	94.86823	2	39.5751006193374	tightly_const	2	3.66290920644014e-05	3.66347094151958e-05	3.66346733938371e-05
YMR062C	Q04728	ARG7	47.84821	1	39.5751006193374	essential	2	8.03804229724586e-06	0.0011012964888761	8.03926708769623e-06
YOL140W	P18544	ARG8	46.68082	2	39.5751006193374	tightly_const	2	9.09817909625613e-05	9.09957437145763e-05	9.09956542423138e-05
ORT1	Q12375	ORT1	31.52	2	39.5751006193374	tightly_const	2	0.000776553664483147	0.000776672754913416	0.000776671991243978
YLR174W	P41939	IDP2	46.56172	1	24.1490389380302	essential	2	2.44529723855877e-06	0.00112590961608586	2.44566581749053e-06
YPR021C		AGC1	NaN	1	21.8704471431061		2	NaN	NaN	NaN
YOL126C	P22133	MDH2	40.7305	1	15.3946086139013	essential	2	3.37978032662084e-08	0.00128433896261438	3.38003106330167e-08
YBR117C	P33315	TKL2	75.02862	1	13.7723829611976	subOpt_isoenz	2	0	0.000698028485624332	0
YPR074C	P23254	TKL1	73.80488	1	12.3535415363032	opt_isoenz	2	0	0.000709601937493548	8.36129165157911e-07
YJL121C	P46969	RPE1	25.96689	1	6.67817583672532	essential	2	5.08261808860854e-07	0.00201501105618357	5.08307945884545e-07
YKL085W	P17505	MDH1	35.64959	1	6.49024705411986	essential	2	8.06978429191262e-07	0.00146815559417868	8.07006829169354e-07
YPR001W	P43635	CIT3	53.81073	1	6.49024705411986	subOpt_isoenz	2	0	1.08745843479405e-06	0
YNR001C	P00890	CIT1	53.35945	2	6.49024705411986	opt_isoenz_tight	2	0	1.08745845429233e-06	1.08742803941214e-06
YBR218C	P32327	PYC2	130.16549	1	6.315810502065	subOpt_isoenz	2	0	5.1372415833753e-06	0
YGL062W	P11154	PYC1	130.09827	2	6.31581050136267	opt_isoenz_tight	2	0	5.13724158337531e-06	5.13700282624641e-06
YNL036W	P53615	NCE103	24.85889	1	4.22758377146937	opt_isoenz	2	0	0.00210429228369746	3.4531970785628e-10
YGR248W	P53315	SOL4	28.44737	1	4.01428942537486	subOpt_isoenz	2	0	9.23032420274937e-06	0
YGR256W	P53319	GND2	53.92235	1	4.01428942537486	subOpt_isoenz	2	0	2.53580211087609e-06	0
YHR163W	P38858	SOL3	27.78417	2	4.01428942537486	opt_isoenz_tight	2	0	9.2303242027707e-06	9.22896087092422e-06
YHR183W	P38720	GND1	53.54274	2	4.01428942537486	opt_isoenz_tight	2	0	2.53580211087637e-06	2.53542756934851e-06
YNL241C	P11412	ZWF1	57.5209	2	4.01428942537486	tightly_const	2	1.45830680827664e-07	1.45864616283946e-07	1.45843084681513e-07
YBR221C	P32473	PDB1	40.0532	2	3.31722757685689	tightly_const	2	2.42294687810633e-06	2.42305648379019e-06	2.42299500128848e-06
YER178W	P16387	PDA1	46.34261	2	3.31722757685689	tightly_const	2	2.42294687810633e-06	2.42305648379019e-06	2.42299500128848e-06
YGR193C	P16451	PDX1	45.36125	2	3.31722757685689	tightly_const	2	2.42294687810633e-06	2.42305648379019e-06	2.42299500128848e-06
YNL071W	P12695	LAT1	51.81762	2	3.31722757685689	tightly_const	2	2.42294687810633e-06	2.42305648379019e-06	2.42299500128848e-06
YDR384C		ATO3	NaN	1	2.60939155863759		2	NaN	NaN	NaN
YGR121C		MEP1	NaN	1	2.60939155863759		2	NaN	NaN	NaN
YNL142W		MEP2	NaN	1	2.60939155863759		2	NaN	NaN	NaN
YPR138C		MEP3	NaN	1	2.60939155863759		2	NaN	NaN	NaN
YOR095C	Q12189	RKI1	28.25777	1	2.32755115560889	essential	2	3.60110911934223e-06	0.00185478552971021	3.60138185672445e-06
YAL038W	P00549	CDC19	54.54404	2	2.16171289876221	opt_isoenz_tight	2	0	1.62374385753988e-06	1.6237253332506e-06
YOR347C	P52489	PYK2	55.19478	1	2.16171289876221	subOpt_isoenz	2	0	1.62374384630474e-06	0
YGR254W	P00924	ENO1	46.81564	1	2.02625795455092	opt_isoenz	2	0	0.00111904252755452	1.67161629897009e-06
YHR174W	P00925	ENO2	46.91368	1	2.02625795455092	subOpt_isoenz	2	0	0.00111670253933466	0
YKL152C	P00950	GPM1	27.60828	1	2.02625795455092	subOpt_isoenz	2	0	0.00189517185411487	0
YMR323W	P42222	ERR3	47.31216	1	2.02625795455092	subOpt_isoenz	2	0	0.00110729680546623	0
YOR393W	P0CX10	ERR1	47.32712	1	2.02625795455092	subOpt_isoenz	2	0	0.00110694819499993	0
YPL281C	P0CX11	ERR2	47.32712	1	2.02625795455092	subOpt_isoenz	2	0	0.00110694819499989	0
YOR283W	Q12040	YOR283W	26.17622	1	2.02625795455092	opt_isoenz	2	0	0.00199885671189721	4.61550903238852e-07
YCL040W	P17709	GLK1	55.37689	1	1.58627449793762	subOpt_isoenz	2	0	8.92854489713256e-07	0
YGL253W	P04807	HXK2	53.9419	1	1.58627449793762	subOpt_isoenz	2	0	1.93087632723951e-06	0
YLR446W	Q06204	YLR446W	48.96875	1	1.58627449793762	subOpt_isoenz	2	0	0.000146491934909555	0
YFR053C	P04806	HXK1	53.73784	1	1.58627449793758	opt_isoenz	2	0	8.92854489713028e-07	9.82824634396478e-10
YML120C	P32340	NDI1	57.24915	1	1.55710343179294	opt_isoenz	2	0	5.41453006334486e-05	7.92631197927677e-07
