genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YOR184W	P33330	SER1	43.41501	OE	2.06293280058989	tightly_const	2	0.000127971324620842	0.00012797427675565	0.000127971324620846	1	4	0	1	1.47903401785394	1.51189502994521	0.593268717563327
YHR183W	P38720	GND1	53.54274	OE	5.48454516522288	opt_isoenz_tight	2	0	5.48140028862238e-06	5.48131248154976e-06	0	6	2	2	1.04057040270217	1.04248939797998	0.0257457452542992
YHR163W	P38858	SOL3	27.78417	OE	5.48454516522288	opt_isoenz_tight	2	0	1.99523068192226e-05	1.99519872013262e-05	0	5	3	2	1.07737571380438	1.08117141629192	0.0485518439319092
YIL074C	P40510	SER33	51.18777	OE	2.06293280058989	opt_isoenz_tight	2	0	1.024620166218e-06	1.02459653665435e-06	0	6	5	2	1.00325882790665	1.00340719294638	0
YBL039C	P28274	URA7	64.70953	KD	0.287686697795216	subOpt_isoenz	0	0	4.15289004657359e-08	0	0	12	7	2	0.999999999999924	0.999999999999924	0
YER070W	P21524	RNR1	99.56021	KD	0.276716914327592	subOpt_isoenz	0	0	4.87266676416559e-07	0	0	24	8	2	0.999999999999681	0.99999999999967	0
YIL066C	P21672	RNR3	97.51369	KD	0.276716914327592	subOpt_isoenz	0	0	4.87266676415001e-07	0	0	24	8	2	0.999999999999863	0.999999999999857	0
YJL026W	P09938	RNR2	46.14681	KD	0.276716914327592	subOpt_isoenz	0	0	4.87266676417121e-07	0	0	24	8	2	0.999999999999859	0.999999999999857	0
YDL052C	P33333	SLC1	33.88654	KD	0.220979527502916	subOpt_isoenz	0	0	2.97211162863599e-06	0	1	28	0	2	0.999999999999991	0.999999999999994	0
YNR019W	P53629	ARE2	74.022	KD	0.207585615328778	subOpt_isoenz	0	0	0.00110822540372786	0	1	84	0	2	0.999999999999961	0.999999999999968	0
YOR245C	Q08650	DGA1	47.71075	KD	0.164378422993167	subOpt_isoenz	0	0	1.01733999423999e-07	0	1	122	0	2	0.999999999999784	0.99999999999978	0
YCL040W	P17709	GLK1	55.37689	KO	0	subOpt_isoenz	0	0	8.92854493246929e-07	0	1	6	0	2	0.999999999999853	0.999999999999854	0
YLR446W	Q06204	YLR446W	48.96875	KO	0	subOpt_isoenz	0	0	0.000146491935489316	0	1	20	0	2	0.999999999999855	0.999999999999851	0
YFR053C	P04806	HXK1	53.73784	KO	0	subOpt_isoenz	0	0	8.9285449324667e-07	0	0	12	11	3	0.999999999999929	0.999999999999925	0
