genes	shortNames	enzymes	subSystems	acetate_fam_oAc	adipic_acid_fam_oAc	alanine_fam_AAs	amorphadiene_fam_ter	ara_fam_FAL	arginine_fam_AAs	artemisinic_acid_fam_ter	asparagine_fam_AAs	aspartate_fam_AAs	astaxanthin_fam_ter	beta_amyrin_fam_ter	beta_carotene_fam_ter	beta_ionone_fam_aro	betaxanthin_fam_ter	caffeic_acid_fam_oAc	catechin_fam_fla	choline_fam_alk	cinnamate_fam_aro	cinnamoyltropine_fam_alk	cis_muconate_fam_oAc	citrate_fam_oAc	citrulline_fam_AAs	coumaric_acid_fam_aro	cysteine_fam_AAs	dha_fam_FAL	docosanol_fam_alc	epa_fam_FAL	ergosterol_fam_FAL	ergothioneine_fam_AAs	farnesene_fam_ter	ffas_fam_FAL	fumaric_acid_fam_oAc	genistein_fam_fla	geraniol_fam_ter	glutamate_fam_AAs	glutamine_fam_AAs	glutathione_fam_AAs	glycerol_fam_alc	glycine_fam_AAs	glycolate_fam_oAc	glycyrrhetinic_acid_fam_ter	hexanoate_fam_oAc	histidine_fam_AAs	homoserine_fam_AAs	hydroxymandelic_acid_fam_aro	hypoxanthine_fam_alk	isobutanol_fam_alc	isoleucine_fam_AAs	itaconic_acid_fam_oAc	kaempferol_fam_fla	l_pac_fam_alc	lactate_fam_oAc	laurate_fam_FAL	leucine_fam_AAs	limonene_fam_ter	linalool_fam_ter	lupeol_fam_ter	lycopene_fam_ter	lysine_fam_AAs	malate_fam_oAc	mandelic_acid_fam_aro	methionine_fam_AAs	methylbutanol_fam_alc	miltiradiene_fam_ter	n_butanol_fam_alc	naringenin_fam_fla	nicotianamine_fam_AAs	nootkatone_fam_ter	oleanolate_fam_ter	oleate_fam_FAL	ornithine_fam_AAs	oxoglutarate_fam_oAc	palmitoleate_fam_FAL	patchoulol_fam_ter	phenylalanine_fam_AAs	phenylethanol_fam_alc	proline_fam_AAs	protopanaxadiol_fam_ter	psilocybin_fam_alk	putrescine_fam_bio	pyruvate_fam_oAc	quercetin_fam_fla	resveratrol_fam_stb	rosmarinic_acid_fam_aro	rrbutanediol_fam_alc	s_reticuline_fam_alk	salidroside_fam_aro	santalene_fam_ter	serine_fam_AAs	spermine_fam_bio	squalene_fam_ter	succinate_fam_oAc	taxadien_alpha_yl_acetate_fam_ter	threonine_fam_AAs	triacylglycerol_fam_FAL	tryptophan_fam_AAs	tyrosine_fam_AAs	tyrosol_fam_aro	valencene_fam_ter	valine_fam_AAs	vanillin_beta_glucoside_fam_aro	xanthine_fam_alk
Q0045	COX1	P00401	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	1	1	1	0.193887112398567	1	1	1	1	0.189608075459052	1	0.19196218823342	0.190492920541763	0.192652700517822	0.188806311796554	0.193285952408119	1	1	0.188538005073601	1	1	1	1	1	0.196846122207889	0.195302932096553	0.193981565310761	1	0.195253847289931	1	1	1	0.191012704601542	1	1	1	1	1	1	1	0.190985100747588	1	1	1	1	1.40940949388818	0.231702637361586	1	1	0.193552644053549	1	0.195342879613032	1	1	1	1	0.192120329940896	0.190100508549334	1	1	1	1	1	0.189267291937909	1	0.193590540598992	0.195106555468964	0.225387366329821	0.194960575757434	1	1	1	1	0.192362390564051	1	1	1	0.190347820049168	0.189380397941294	1	1000	0.193527448782972	0.240630078249146	1	0.229345720355649	0.190875191970698	0.199549457452016	1	1	1	1	1	0.199565654496614	1	1	1	1	0.19936149331519	0.225405619567068	0.284834162957891	0.189335077296071	1.60064232142088
Q0080	ATP8	P00856	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1	1	0.285362876915711	1	0.185650559588641	1	1	1	1	0.180501670241225	1	0.182025134145191	0.181063133048259	0.183754923576082	0.180253870888581	0.184364955349116	1	1	0.179971171485151	1	1	1	0.291350271711916	1	0.188671601621423	0.187139957702468	0.185710618460857	1	0.187114547043948	1	1	1	0.182633131490351	1	1	1	1	1	1	1	0.181402190072562	1	1	1	1	1.35156105538076	0.273473290698247	1	1	0.183920329278842	0.218456293565767	0.171642387786475	1	1	1	1	0.182158570139433	0.182084887907551	1	1	1	1	1	0.180244830373176	1	0.185127240874499	0.187269090291228	0.200897898839907	0.183969659131717	1	1	1	1	0.182286251415792	1	1	1	0.180979480114449	0.180975844325835	1	0.244564296616692	0.183933275177394	0.233573551658035	1	0.227107683606542	0.182435978009127	0.192151721520261	1	1	1	1	1	0.192939305093773	1	1	1	1	0.191960200033032	0.200908676406821	1	0.180997741892385	1.53899095542896
Q0085	ATP6	P00854	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1	1	0.285362876915711	1	0.185650559588641	1	1	1	1	0.180501670241225	1	0.182025134145191	0.181063133048259	0.183754923576082	0.180253870888581	0.184364955349116	1	1	0.179971171485151	1	1	1	0.291350271711916	1	0.188671601621423	0.187139957702468	0.185710618460857	1	0.187114547043948	1	1	1	0.182633131490351	1	1	1	1	1	1	1	0.181402190072562	1	1	1	1	1.35156105538076	0.273473290698247	1	1	0.183920329278842	0.218456293565767	0.171642387786475	1	1	1	1	0.182158570139433	0.182084887907551	1	1	1	1	1	0.180244830373176	1	0.185127240874499	0.187269090291228	0.200897898839907	0.183969659131717	1	1	1	1	0.182286251415792	1	1	1	0.180979480114449	0.180975844325835	1	0.244564296616692	0.183933275177394	0.233573551658035	1	0.227107683606542	0.182435978009127	0.192151721520261	1	1	1	1	1	0.192939305093773	1	1	1	1	0.191960200033032	0.200908676406821	1	0.180997741892385	1.53899095542896
Q0105	COB	P00163	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	1	1	1	0.192615615782132	1	1	1	1	0.188259909320715	1	0.190633243444382	0.189151843147989	0.191102755727773	0.18739539020619	0.191841494739213	1	1	0.18712222675686	1	1	1	1	1	0.195597376790809	0.194027052433366	0.192689142380536	1	0.194122644291468	1	1	1	0.189636292522411	1	1	1	1	1	1	1	0.189668189262285	1	1	1	1	1.40940949388818	0.231702637176988	1	1	0.191851733836063	1	0.146695613909576	1	1	1	1	0.190828052637694	0.188928478099547	1	1	1	1	1	0.187896377485237	1	0.192119861032962	0.194087663987971	0.225387366329826	0.193731088043668	1	1	1	1	0.191037011867455	1	1	1	0.189011789645883	0.188026018114913	1	1000	0.191860548169647	0.240630078249153	1	0.229345720355649	0.189545193369988	0.199549458008579	1	1	1	1	1	0.198212192510984	1	1	1	1	0.199361493693351	0.225405619567068	0.284834162957891	0.187975427558376	1.60064232142088
Q0130	OLI1	P61829	sce00190  Oxidative phosphorylation // sce00190  Oxidative phosphorylation	1	1	0.285362876915711	1	0.185650559588641	1	1	1	1	0.180501670241225	1	0.182025134145191	0.181063133048259	0.183754923576082	0.180253870888581	0.184364955349116	1	1	0.179971171485151	1	1	1	0.291350271711916	1	0.188671601621423	0.187139957702468	0.185710618460857	1	0.187114547043948	1	1	1	0.182633131490351	1	1	1	1	1	1	1	0.181402190072562	1	1	1	1	1.35156105538076	0.273473290698247	1	1	0.183920329278842	0.218456293565767	0.171642387786475	1	1	1	1	0.182158570139433	0.182084887907551	1	1	1	1	1	0.180244830373176	1	0.185127240874499	0.187269090291228	0.200897898839907	0.183969659131717	1	1	1	1	0.182286251415792	1	1	1	0.180979480114449	0.180975844325835	1	0.244564296616692	0.183933275177394	0.233573551658035	1	0.227107683606542	0.182435978009127	0.192151721520261	1	1	1	1	1	0.192939305093773	1	1	1	1	0.191960200033032	0.200908676406821	1	0.180997741892385	1.53899095542896
Q0250	COX2	P00410	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	1	1	1	0.193887112398567	1	1	1	1	0.189608075459052	1	0.19196218823342	0.190492920541763	0.192652700517822	0.188806311796554	0.193285952408119	1	1	0.188538005073601	1	1	1	1	1	0.196846122207889	0.195302932096553	0.193981565310761	1	0.195253847289931	1	1	1	0.191012704601542	1	1	1	1	1	1	1	0.190985100747588	1	1	1	1	1.40940949388818	0.231702637361586	1	1	0.193552644053549	1	0.195342879613032	1	1	1	1	0.192120329940896	0.190100508549334	1	1	1	1	1	0.189267291937909	1	0.193590540598992	0.195106555468964	0.225387366329821	0.194960575757434	1	1	1	1	0.192362390564051	1	1	1	0.190347820049168	0.189380397941294	1	1000	0.193527448782972	0.240630078249146	1	0.229345720355649	0.190875191970698	0.199549457452016	1	1	1	1	1	0.199565654496614	1	1	1	1	0.19936149331519	0.225405619567068	0.284834162957891	0.189335077296071	1.60064232142088
Q0275	COX3	P00420	sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism // sce00190  Oxidative phosphorylation // sce00920  Sulfur metabolism	1	1	1	1	0.193887112398567	1	1	1	1	0.189608075459052	1	0.19196218823342	0.190492920541763	0.192652700517822	0.188806311796554	0.193285952408119	1	1	0.188538005073601	1	1	1	1	1	0.196846122207889	0.195302932096553	0.193981565310761	1	0.195253847289931	1	1	1	0.191012704601542	1	1	1	1	1	1	1	0.190985100747588	1	1	1	1	1.40940949388818	0.231702637361586	1	1	0.193552644053549	1	0.195342879613032	1	1	1	1	0.192120329940896	0.190100508549334	1	1	1	1	1	0.189267291937909	1	0.193590540598992	0.195106555468964	0.225387366329821	0.194960575757434	1	1	1	1	0.192362390564051	1	1	1	0.190347820049168	0.189380397941294	1	1000	0.193527448782972	0.240630078249146	1	0.229345720355649	0.190875191970698	0.199549457452016	1	1	1	1	1	0.199565654496614	1	1	1	1	0.19936149331519	0.225405619567068	0.284834162957891	0.189335077296071	1.60064232142088
YAL012W	CYS3	P31373	sce00260  Glycine, serine and threonine metabolism // sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00260  Glycine, serine and threonine metabolism // sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids // sce00260  Glycine, serine and threonine metabolism // sce00270  Cysteine and methionine metabolism // sce00450  Selenocompound metabolism // sce01130  Biosynthesis of antibiotics // sce01230  Biosynthesis of amino acids	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1
YAL022C	FUN26			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YAL023C	PMT2	P31382	sce00514  Other types of O-glycan biosynthesis // sce00515  Mannose type O-glycan biosynthesis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
