genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority
YDR300C	P32264	PRO1	47.16164	2	1000	tightly_const	2	2.10051161486212e-07	2.10413658046462e-07	2.10188074822914e-07	1	4	0	1
YOR323C	P54885	PRO2	49.73991	2	1000	tightly_const	2	2.72334603329118e-08	2.72769644349567e-08	2.72466152002226e-08	1	6	0	1
YJR069C	P47119	HAM1	22.09268	1	1000	essential	2	2.69822665780258e-11	4.24938626368082e-09	1.5728024228112e-10	1	16	0	1
Gmd	O85339	Gmd	41.674	2	1000	tightly_const	2	7.67513766865022e-08	7.67513766866557e-08	7.67513766865022e-08	1	3	0	1
WcaG	P32055	WcaG	36.141	2	1000	tightly_const	2	2.55837922288341e-07	2.55837922288852e-07	2.55837922288341e-07	1	5	0	1
WbgL	A6M9C2	WbgL	34.942	2	1000	tightly_const	2	9.69083038970987e-08	9.69083038972926e-08	9.69083038970987e-08	1	4	0	1
Lac12	P07921	Lac12	65.383	2	1000	tightly_const	2	0.00138152478035704	0.0013815247803598	0.00138152478035704	1	2	0	1
YAL038W	P00549	CDC19	54.54404	2	2.40904245538566	essential	2	1.82620799487262e-06	1.96516701723661e-06	1.96487620592097e-06	1	6	0	1
YGR254W	P00924	ENO1	46.81564	2	2.2556496821753	essential	2	1.83393261044048e-06	2.01787415010886e-06	2.01573327976903e-06	1	5	0	1
YOR283W	Q12040	YOR283W	26.17622	2	2.2556496821753	essential	2	5.50061847411054e-07	5.60082660716227e-07	5.56565233624021e-07	1	4	0	1
YLR354C	P15019	TAL1	37.0359	2	1.23942104095245	tightly_const	2	2.71583881190515e-06	2.71993765022609e-06	2.71780507933359e-06	1	6	0	1
YCR012W	P00560	PGK1	44.73787	2	1.21658355508777	tightly_const	2	8.74769736911986e-07	8.76752241796318e-07	8.74793406633836e-07	1	4	0	1
YJL052W	P00360	TDH1	35.74956	2	1.21658355508777	tightly_const	2	1.61859057551163e-05	1.61918412604758e-05	1.61897103696504e-05	1	8	0	1
YDR050C	P00942	TPI1	26.79508	2	1.21052389009455	essential	2	2.59835904364477e-08	2.93536609003002e-08	2.59858553255164e-08	1	2	0	1
YPL023C	P46151	MET12	73.94088	0	0.293884450454309	subOpt_isoenz	0	0	1.40929703779002e-08	0	0	6	1	2
YDR502C	P19358	SAM2	42.2555	0	0.293827460547136	subOpt_isoenz	0	0	2.13675366792888e-09	0	0	7	2	2
YBR218C	P32327	PYC2	130.16549	0	0.282987457510794	subOpt_isoenz	0	0	5.14430857869975e-07	0	0	8	4	2
YBL039C	P28274	URA7	64.70953	0	0.258201785040243	subOpt_isoenz	0	0	3.67165522008903e-08	0	0	12	6	2
YMR145C	P40215	NDE1	62.77345	0	0.216795876517465	subOpt_isoenz	0	0	8.10885913894931e-08	0	0	6	7	2
YAL062W	P39708	GDH3	49.62653	0	0.127114504369397	subOpt_isoenz	0	0	1.40769888925471e-06	0	0	8	13	2
YER081W	P40054	SER3	51.1927	0	0.0290745905856852	subOpt_isoenz	0	0	1.88849031650508e-08	0	0	6	14	2
YLR438W	P07991	CAR2	46.08557	0	0	subOpt_isoenz	0	0	1.20035582128494e-11	0	1	4	0	2
YMR246W	P47912	FAA4	77.26612	0	0	subOpt_isoenz	0	0	1.25498954858096e-09	0	1	48	0	2
YOR317W	P30624	FAA1	77.86529	0	0	subOpt_isoenz	0	0	1.24461903351472e-09	0	1	52	0	2
YDR452W	Q04119	PPN1	78.34335	1	1000	opt_isoenz	2	0	1.15390835485003e-09	1.59461388661699e-12	1	11	0	3
YOR222W		ODC2	NaN	0	0.26526130671434		0	NaN	NaN	NaN	0	6	5	3
YPL134C		ODC1	NaN	0	0.26526130671434		0	NaN	NaN	NaN	0	6	5	3
YER053C		PIC2	NaN	0	0.156462317442169		0	NaN	NaN	NaN	0	4	12	3
YJR077C		MIR1	NaN	0	0.156462317442169		0	NaN	NaN	NaN	0	4	12	3
YER070W	P21524	RNR1	99.56021	0	0	subOpt_isoenz	0	0	9.23866418634599e-10	0	0	24	16	3
YGR180C	P49723	RNR4	40.05407	0	0	subOpt_isoenz	0	0	2.36210599221267e-09	0	0	24	16	3
YIL066C	P21672	RNR3	97.51369	0	0	subOpt_isoenz	0	0	9.43619396669302e-10	0	0	24	16	3
